Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,COL,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,COL,1,1,8.0,2.0,1.0,0.0,1.0
3,2018-03-31,COL,1,0,17.0,10.0,2.0,0.0,2.0
4,2018-04-02,LAD,1,1,18.0,12.0,2.0,1.0,-1.0
5,2018-04-03,LAD,1,1,26.0,19.0,3.0,1.0,1.0
6,2018-04-04,LAD,1,1,32.0,20.0,4.0,1.0,2.0
7,2018-04-05,STL,0,1,35.0,20.0,5.0,1.0,3.0
8,2018-04-07,STL,0,0,38.0,21.0,6.0,1.0,4.0
9,2018-04-08,STL,0,1,41.0,26.0,6.0,2.0,-1.0
10,2018-04-09,SFG,0,1,45.0,27.0,7.0,2.0,1.0
11,2018-04-10,SFG,0,0,47.0,28.0,8.0,2.0,2.0
12,2018-04-11,SFG,0,1,51.0,33.0,8.0,3.0,-1.0
13,2018-04-13,LAD,0,1,58.0,36.0,9.0,3.0,1.0
14,2018-04-14,LAD,0,1,66.0,43.0,10.0,3.0,2.0
15,2018-04-15,LAD,0,0,75.0,44.0,11.0,3.0,3.0
16,2018-04-17,SFG,1,1,77.0,51.0,11.0,4.0,-1.0
17,2018-04-18,SFG,1,0,78.0,51.0,12.0,4.0,1.0
18,2018-04-19,SFG,1,1,81.0,55.0,12.0,5.0,-1.0
19,2018-04-20,SDP,1,0,84.0,56.0,13.0,5.0,1.0
20,2018-04-21,SDP,1,1,85.0,60.0,13.0,6.0,-1.0
21,2018-04-22,SDP,1,1,91.0,62.0,14.0,6.0,1.0
22,2018-04-24,PHI,0,1,95.0,64.0,15.0,6.0,2.0
23,2018-04-25,PHI,0,0,103.0,68.0,16.0,6.0,3.0
24,2018-04-26,PHI,0,1,106.0,73.0,16.0,7.0,-1.0
25,2018-04-27,WSN,0,1,114.0,75.0,17.0,7.0,1.0
26,2018-04-28,WSN,0,1,119.0,79.0,18.0,7.0,2.0
27,2018-04-29,WSN,0,0,123.0,82.0,19.0,7.0,3.0
28,2018-04-30,LAD,1,1,124.0,85.0,19.0,8.0,-1.0
29,2018-05-01,LAD,1,1,132.0,90.0,20.0,8.0,1.0
30,2018-05-02,LAD,1,0,136.0,93.0,21.0,8.0,2.0
31,2018-05-03,LAD,1,0,137.0,95.0,21.0,9.0,-1.0
32,2018-05-04,HOU,1,0,139.0,100.0,21.0,10.0,-2.0
33,2018-05-05,HOU,1,1,139.0,108.0,21.0,11.0,-3.0
34,2018-05-06,HOU,1,1,143.0,111.0,22.0,11.0,1.0
35,2018-05-08,LAD,0,1,146.0,112.0,23.0,11.0,2.0
36,2018-05-09,LAD,0,0,154.0,117.0,24.0,11.0,3.0
37,2018-05-10,WSN,1,0,157.0,123.0,24.0,12.0,-1.0
38,2018-05-11,WSN,1,0,158.0,125.0,24.0,13.0,-2.0
39,2018-05-12,WSN,1,0,159.0,128.0,24.0,14.0,-3.0
