Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,PHI,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,PHI,1,0,8.0,5.0,1.0,0.0,1.0
3,2018-03-31,PHI,1,1,12.0,10.0,1.0,1.0,-1.0
4,2018-04-02,WSN,1,0,27.0,12.0,2.0,1.0,1.0
5,2018-04-03,WSN,1,1,28.0,20.0,2.0,2.0,-1.0
6,2018-04-04,WSN,1,1,41.0,26.0,3.0,2.0,1.0
7,2018-04-06,COL,0,1,48.0,27.0,4.0,2.0,2.0
8,2018-04-07,COL,0,0,56.0,30.0,5.0,2.0,3.0
9,2018-04-08,COL,0,1,58.0,33.0,5.0,3.0,-1.0
10,2018-04-09,WSN,0,0,62.0,33.0,6.0,3.0,1.0
11,2018-04-10,WSN,0,0,62.0,35.0,6.0,4.0,-1.0
12,2018-04-11,WSN,0,1,63.0,39.0,6.0,5.0,-2.0
13,2018-04-13,CHC,0,1,68.0,42.0,7.0,5.0,1.0
14,2018-04-14,CHC,0,0,72.0,42.0,8.0,5.0,2.0
15,2018-04-16,PHI,1,1,82.0,56.0,8.0,6.0,-1.0
16,2018-04-17,PHI,1,0,84.0,57.0,9.0,6.0,1.0
17,2018-04-18,PHI,1,1,85.0,62.0,9.0,7.0,-1.0
18,2018-04-19,NYM,1,1,92.0,65.0,10.0,7.0,1.0
19,2018-04-20,NYM,1,0,104.0,69.0,11.0,7.0,2.0
20,2018-04-21,NYM,1,1,107.0,74.0,11.0,8.0,-1.0
21,2018-04-23,CIN,0,0,111.0,77.0,12.0,8.0,1.0
22,2018-04-24,CIN,0,0,115.0,87.0,12.0,9.0,-1.0
23,2018-04-25,CIN,0,1,122.0,96.0,12.0,10.0,-2.0
24,2018-04-26,CIN,0,1,127.0,100.0,13.0,10.0,1.0
25,2018-04-27,PHI,0,0,134.0,104.0,14.0,10.0,2.0
26,2018-04-28,PHI,0,1,137.0,111.0,14.0,11.0,-1.0
27,2018-04-29,PHI,0,1,141.0,112.0,15.0,11.0,1.0
28,2018-05-01,NYM,0,1,151.0,113.0,16.0,11.0,2.0
29,2018-05-02,NYM,0,1,154.0,115.0,17.0,11.0,3.0
30,2018-05-03,NYM,0,1,161.0,115.0,18.0,11.0,4.0
31,2018-05-04,SFG,1,0,172.0,115.0,19.0,11.0,5.0
32,2018-05-05,SFG,1,0,176.0,124.0,19.0,12.0,-1.0
33,2018-05-06,SFG,1,0,178.0,135.0,19.0,13.0,-2.0
34,2018-05-08,TBR,0,1,181.0,139.0,19.0,14.0,-3.0
35,2018-05-09,TBR,0,1,182.0,139.0,20.0,14.0,1.0
36,2018-05-10,MIA,0,1,187.0,141.0,21.0,14.0,2.0
37,2018-05-11,MIA,0,0,196.0,143.0,22.0,14.0,3.0
38,2018-05-12,MIA,0,1,199.0,149.0,22.0,15.0,-1.0
39,2018-05-13,MIA,0,1,209.0,154.0,23.0,15.0,1.0
40,2018-05-14,CHC,0,1,213.0,157.0,24.0,15.0,2.0
41,2018-05-15,CHC,1,0,219.0,162.0,25.0,15.0,3.0
42,2018-05-16,CHC,1,1,221.0,165.0,25.0,16.0,-1.0
43,2018-05-18,MIA,1,0,225.0,166.0,26.0,16.0,1.0
44,2018-05-19,MIA,1,1,225.0,168.0,26.0,17.0,-1.0
45,2018-05-20,MIA,1,1,233.0,169.0,27.0,17.0,1.0
46,2018-05-21,PHI,0,0,243.0,178.0,28.0,17.0,2.0
47,2018-05-22,PHI,0,1,243.0,181.0,28.0,18.0,-1.0
48,2018-05-23,PHI,0,0,246.0,182.0,29.0,18.0,1.0
49,2018-05-25,BOS,0,0,246.0,186.0,29.0,19.0,-1.0
50,2018-05-26,BOS,0,0,248.0,192.0,29.0,20.0,-2.0
51,2018-05-27,BOS,0,1,254.0,200.0,29.0,21.0,-3.0
52,2018-05-28,NYM,1,1,261.0,201.0,30.0,21.0,1.0
53,2018-05-28,NYM,1,0,265.0,204.0,31.0,21.0,2.0
54,2018-05-29,NYM,1,1,270.0,212.0,31.0,22.0,-1.0
55,2018-05-30,NYM,1,0,277.0,218.0,32.0,22.0,1.0
56,2018-05-31,WSN,1,1,278.0,222.0,32.0,23.0,-1.0
57,2018-06-01,WSN,1,1,282.0,224.0,33.0,23.0,1.0
58,2018-06-02,WSN,1,0,286.0,224.0,34.0,23.0,2.0
59,2018-06-03,WSN,1,1,289.0,229.0,34.0,24.0,-1.0
