Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIN,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,MIN,1,0,3.0,2.0,1.0,0.0,1.0
3,2018-04-01,MIN,1,0,5.0,8.0,1.0,1.0,-1.0
4,2018-04-02,HOU,0,0,5.0,15.0,1.0,2.0,-2.0
5,2018-04-03,HOU,0,0,6.0,21.0,1.0,3.0,-3.0
6,2018-04-04,HOU,0,0,12.0,31.0,1.0,4.0,-4.0
7,2018-04-05,NYY,0,1,14.0,34.0,1.0,5.0,-5.0
8,2018-04-06,NYY,0,1,19.0,36.0,2.0,5.0,1.0
9,2018-04-07,NYY,0,0,26.0,39.0,3.0,5.0,2.0
10,2018-04-08,NYY,0,1,29.0,47.0,3.0,6.0,-1.0
11,2018-04-09,TOR,1,0,37.0,54.0,4.0,6.0,1.0
12,2018-04-10,TOR,1,0,38.0,61.0,4.0,7.0,-1.0
13,2018-04-11,TOR,1,1,39.0,63.0,4.0,8.0,-2.0
14,2018-04-13,BOS,0,0,44.0,66.0,5.0,8.0,1.0
15,2018-04-14,BOS,0,0,47.0,73.0,5.0,9.0,-1.0
16,2018-04-15,BOS,0,0,50.0,83.0,5.0,10.0,-2.0
17,2018-04-17,DET,0,0,51.0,86.0,5.0,11.0,-3.0
18,2018-04-18,DET,0,0,53.0,90.0,5.0,12.0,-4.0
19,2018-04-19,DET,0,0,58.0,96.0,5.0,13.0,-5.0
20,2018-04-20,CLE,1,1,66.0,109.0,5.0,14.0,-6.0
21,2018-04-21,CLE,1,0,69.0,110.0,6.0,14.0,1.0
22,2018-04-22,CLE,1,0,69.0,114.0,6.0,15.0,-1.0
23,2018-04-23,CLE,1,0,72.0,121.0,6.0,16.0,-2.0
24,2018-04-25,TBR,1,0,73.0,123.0,6.0,17.0,-3.0
25,2018-04-26,TBR,1,0,77.0,131.0,6.0,18.0,-4.0
26,2018-04-27,DET,1,1,82.0,140.0,6.0,19.0,-5.0
27,2018-04-28,DET,1,0,88.0,140.0,7.0,19.0,1.0
28,2018-04-29,DET,1,1,93.0,149.0,7.0,20.0,-1.0
29,2018-05-01,LAA,0,0,98.0,152.0,8.0,20.0,1.0
30,2018-05-02,LAA,0,0,100.0,155.0,8.0,21.0,-1.0
31,2018-05-03,LAA,0,0,107.0,165.0,8.0,22.0,-2.0
32,2018-05-04,OAK,0,0,110.0,177.0,8.0,23.0,-3.0
33,2018-05-05,OAK,0,0,114.0,183.0,8.0,24.0,-4.0
34,2018-05-06,OAK,0,0,114.0,185.0,8.0,25.0,-5.0
35,2018-05-08,KCR,1,0,115.0,187.0,8.0,26.0,-6.0
36,2018-05-09,KCR,1,1,122.0,202.0,8.0,27.0,-7.0
37,2018-05-10,KCR,1,1,127.0,205.0,9.0,27.0,1.0
38,2018-05-11,TBR,1,1,138.0,211.0,10.0,27.0,2.0
39,2018-05-12,TBR,1,1,147.0,215.0,11.0,27.0,3.0
40,2018-05-12,TBR,1,0,153.0,218.0,12.0,27.0,4.0
41,2018-05-13,TBR,1,1,156.0,228.0,12.0,28.0,-1.0
42,2018-05-16,PHI,1,0,173.0,229.0,13.0,28.0,1.0
43,2018-05-17,BOS,0,0,174.0,233.0,13.0,29.0,-1.0
44,2018-05-18,BOS,0,1,176.0,239.0,13.0,30.0,-2.0
45,2018-05-19,BOS,0,0,183.0,243.0,14.0,30.0,1.0
46,2018-05-20,BOS,0,0,186.0,249.0,14.0,31.0,-1.0
47,2018-05-21,CHW,0,1,186.0,254.0,14.0,32.0,-2.0
