Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TBR,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,TBR,0,1,4.0,6.0,0.0,1.0,-1.0
3,2018-03-31,TBR,0,1,5.0,6.0,1.0,1.0,1.0
4,2018-04-01,TBR,0,1,8.0,8.0,2.0,1.0,2.0
5,2018-04-02,MIA,0,1,10.0,9.0,3.0,1.0,3.0
6,2018-04-03,MIA,0,1,17.0,12.0,4.0,1.0,4.0
7,2018-04-05,TBR,1,1,21.0,14.0,5.0,1.0,5.0
8,2018-04-07,TBR,1,1,24.0,16.0,6.0,1.0,6.0
9,2018-04-08,TBR,1,1,34.0,19.0,7.0,1.0,7.0
10,2018-04-10,NYY,1,1,42.0,26.0,8.0,1.0,8.0
11,2018-04-11,NYY,1,0,56.0,27.0,9.0,1.0,9.0
12,2018-04-12,NYY,1,1,63.0,37.0,9.0,2.0,-1.0
13,2018-04-13,BAL,1,1,69.0,40.0,10.0,2.0,1.0
14,2018-04-14,BAL,1,1,76.0,43.0,11.0,2.0,2.0
15,2018-04-15,BAL,1,1,86.0,46.0,12.0,2.0,3.0
16,2018-04-17,LAA,0,1,89.0,47.0,13.0,2.0,4.0
17,2018-04-18,LAA,0,1,99.0,48.0,14.0,2.0,5.0
18,2018-04-19,LAA,0,1,108.0,48.0,15.0,2.0,6.0
19,2018-04-20,OAK,0,1,116.0,50.0,16.0,2.0,7.0
20,2018-04-21,OAK,0,0,123.0,53.0,17.0,2.0,8.0
21,2018-04-22,OAK,0,0,123.0,56.0,17.0,3.0,-1.0
22,2018-04-24,TOR,0,0,124.0,60.0,17.0,4.0,-2.0
23,2018-04-25,TOR,0,1,127.0,64.0,17.0,5.0,-3.0
24,2018-04-26,TOR,0,1,131.0,67.0,18.0,5.0,1.0
25,2018-04-27,TBR,1,0,136.0,71.0,19.0,5.0,2.0
26,2018-04-28,TBR,1,0,139.0,75.0,19.0,6.0,-1.0
27,2018-04-29,TBR,1,1,145.0,87.0,19.0,7.0,-2.0
28,2018-04-30,KCR,1,1,149.0,90.0,20.0,7.0,1.0
29,2018-05-01,KCR,1,0,159.0,96.0,21.0,7.0,2.0
30,2018-05-02,KCR,1,1,165.0,103.0,21.0,8.0,-1.0
31,2018-05-03,TEX,0,0,170.0,107.0,22.0,8.0,1.0
32,2018-05-04,TEX,0,1,175.0,118.0,22.0,9.0,-1.0
33,2018-05-05,TEX,0,1,180.0,119.0,23.0,9.0,1.0
34,2018-05-06,TEX,0,1,186.0,124.0,24.0,9.0,2.0
35,2018-05-08,NYY,0,0,192.0,125.0,25.0,9.0,3.0
36,2018-05-09,NYY,0,0,194.0,128.0,25.0,10.0,-1.0
37,2018-05-10,NYY,0,1,200.0,137.0,25.0,11.0,-2.0
38,2018-05-11,TOR,0,0,205.0,141.0,26.0,11.0,1.0
39,2018-05-12,TOR,0,1,208.0,146.0,26.0,12.0,-1.0
40,2018-05-13,TOR,0,1,213.0,148.0,27.0,12.0,1.0
41,2018-05-14,OAK,1,0,218.0,151.0,28.0,12.0,2.0
42,2018-05-15,OAK,1,0,223.0,157.0,28.0,13.0,-1.0
43,2018-05-16,OAK,1,1,226.0,162.0,28.0,14.0,-2.0
44,2018-05-17,BAL,1,1,232.0,166.0,29.0,14.0,1.0
45,2018-05-18,BAL,1,0,238.0,168.0,30.0,14.0,2.0
46,2018-05-19,BAL,1,1,242.0,175.0,30.0,15.0,-1.0
47,2018-05-20,BAL,1,1,248.0,178.0,31.0,15.0,1.0
48,2018-05-22,TBR,0,1,253.0,178.0,32.0,15.0,2.0
49,2018-05-23,TBR,0,1,257.0,180.0,33.0,15.0,3.0
50,2018-05-24,TBR,0,0,261.0,181.0,34.0,15.0,4.0
51,2018-05-25,ATL,1,1,264.0,187.0,34.0,16.0,-1.0
52,2018-05-26,ATL,1,1,270.0,189.0,35.0,16.0,1.0
53,2018-05-27,ATL,1,0,278.0,195.0,36.0,16.0,2.0
54,2018-05-28,TOR,1,1,279.0,202.0,36.0,17.0,-1.0
55,2018-05-29,TOR,1,1,287.0,205.0,37.0,17.0,1.0
56,2018-05-30,TOR,1,1,295.0,208.0,38.0,17.0,2.0
57,2018-05-31,HOU,0,0,301.0,212.0,39.0,17.0,3.0
58,2018-06-01,HOU,0,0,303.0,216.0,39.0,18.0,-1.0
59,2018-06-02,HOU,0,1,306.0,223.0,39.0,19.0,-2.0
60,2018-06-03,HOU,0,1,311.0,227.0,40.0,19.0,1.0
61,2018-06-05,DET,1,1,320.0,230.0,41.0,19.0,2.0
62,2018-06-06,DET,1,1,326.0,230.0,42.0,19.0,3.0
63,2018-06-07,DET,1,0,333.0,231.0,43.0,19.0,4.0
64,2018-06-08,CHW,1,0,335.0,238.0,43.0,20.0,-1.0
65,2018-06-09,CHW,1,1,335.0,239.0,43.0,21.0,-2.0
66,2018-06-10,CHW,1,0,339.0,241.0,44.0,21.0,1.0
67,2018-06-11,BAL,0,1,341.0,246.0,44.0,22.0,-1.0
68,2018-06-12,BAL,0,1,343.0,246.0,45.0,22.0,1.0
69,2018-06-13,BAL,0,1,349.0,250.0,46.0,22.0,2.0
70,2018-06-14,SEA,0,1,354.0,251.0,47.0,22.0,3.0
71,2018-06-15,SEA,0,0,356.0,252.0,48.0,22.0,4.0
72,2018-06-16,SEA,0,0,362.0,259.0,48.0,23.0,-1.0
73,2018-06-17,SEA,0,1,362.0,260.0,48.0,24.0,-2.0
74,2018-06-19,MIN,0,0,371.0,263.0,49.0,24.0,1.0
75,2018-06-20,MIN,0,0,373.0,269.0,49.0,25.0,-1.0
76,2018-06-21,MIN,0,1,374.0,273.0,49.0,26.0,-2.0
77,2018-06-22,SEA,1,1,383.0,275.0,50.0,26.0,1.0
78,2018-06-23,SEA,1,0,397.0,285.0,51.0,26.0,2.0
79,2018-06-24,SEA,1,1,399.0,292.0,51.0,27.0,-1.0
80,2018-06-26,LAA,1,1,404.0,292.0,52.0,27.0,1.0
81,2018-06-27,LAA,1,1,413.0,293.0,53.0,27.0,2.0
