Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIA,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,MIA,0,0,8.0,4.0,1.0,0.0,1.0
3,2018-03-31,MIA,0,1,9.0,6.0,1.0,1.0,-1.0
4,2018-04-01,MIA,0,0,19.0,12.0,2.0,1.0,1.0
5,2018-04-02,CIN,0,0,19.0,18.0,2.0,2.0,-1.0
6,2018-04-05,MIL,0,1,19.0,19.0,2.0,3.0,-2.0
7,2018-04-06,MIL,0,0,27.0,19.0,3.0,3.0,1.0
8,2018-04-07,MIL,0,1,31.0,24.0,3.0,4.0,-1.0
9,2018-04-08,MIL,0,1,36.0,26.0,4.0,4.0,1.0
10,2018-04-10,PIT,1,0,39.0,26.0,5.0,4.0,2.0
11,2018-04-11,PIT,1,1,44.0,34.0,5.0,5.0,-1.0
12,2018-04-12,PIT,1,0,57.0,39.0,6.0,5.0,1.0
13,2018-04-13,ATL,1,0,58.0,45.0,6.0,6.0,-1.0
14,2018-04-14,ATL,1,1,58.0,49.0,6.0,7.0,-2.0
15,2018-04-17,STL,1,0,72.0,59.0,7.0,7.0,1.0
16,2018-04-19,STL,1,1,75.0,64.0,7.0,8.0,-1.0
17,2018-04-20,COL,0,1,83.0,69.0,8.0,8.0,1.0
18,2018-04-21,COL,0,0,99.0,74.0,9.0,8.0,2.0
19,2018-04-22,COL,0,1,101.0,79.0,9.0,9.0,-1.0
20,2018-04-24,CLE,0,1,110.0,86.0,10.0,9.0,1.0
21,2018-04-25,CLE,0,0,120.0,89.0,11.0,9.0,2.0
22,2018-04-26,MIL,1,1,121.0,93.0,11.0,10.0,-1.0
23,2018-04-27,MIL,1,1,122.0,93.0,12.0,10.0,1.0
24,2018-04-28,MIL,1,1,125.0,95.0,13.0,10.0,2.0
25,2018-04-29,MIL,1,1,128.0,95.0,14.0,10.0,3.0
26,2018-04-30,COL,1,1,130.0,95.0,15.0,10.0,4.0
27,2018-05-01,COL,1,0,133.0,97.0,16.0,10.0,5.0
28,2018-05-02,COL,1,0,134.0,100.0,16.0,11.0,-1.0
