Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,KCR,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,KCR,0,1,14.0,7.0,1.0,0.0,1.0
3,2018-04-02,TOR,0,0,18.0,10.0,2.0,0.0,2.0
4,2018-04-03,TOR,0,0,20.0,14.0,2.0,1.0,-1.0
5,2018-04-04,TOR,0,1,25.0,28.0,2.0,2.0,-2.0
6,2018-04-05,DET,1,0,29.0,31.0,3.0,2.0,1.0
7,2018-04-07,DET,1,0,36.0,40.0,3.0,3.0,-1.0
8,2018-04-08,DET,1,0,37.0,46.0,3.0,4.0,-2.0
9,2018-04-09,TBR,1,0,37.0,47.0,3.0,5.0,-3.0
10,2018-04-10,TBR,1,0,41.0,52.0,3.0,6.0,-4.0
11,2018-04-11,TBR,1,1,46.0,58.0,3.0,7.0,-5.0
12,2018-04-12,MIN,0,0,48.0,59.0,4.0,7.0,1.0
13,2018-04-16,OAK,0,0,48.0,63.0,4.0,8.0,-1.0
14,2018-04-17,OAK,0,0,49.0,71.0,4.0,9.0,-2.0
15,2018-04-18,OAK,0,0,51.0,81.0,4.0,10.0,-3.0
16,2018-04-20,HOU,1,0,62.0,93.0,4.0,11.0,-4.0
17,2018-04-21,HOU,1,0,62.0,103.0,4.0,12.0,-5.0
18,2018-04-22,HOU,1,0,63.0,113.0,4.0,13.0,-6.0
19,2018-04-23,SEA,1,1,64.0,120.0,4.0,14.0,-7.0
20,2018-04-24,SEA,1,0,74.0,124.0,5.0,14.0,1.0
21,2018-04-25,SEA,1,0,74.0,125.0,5.0,15.0,-1.0
22,2018-04-26,KCR,0,1,77.0,129.0,5.0,16.0,-2.0
23,2018-04-27,KCR,0,1,83.0,132.0,6.0,16.0,1.0
24,2018-04-28,KCR,0,1,90.0,136.0,7.0,16.0,2.0
25,2018-04-28,KCR,0,0,98.0,136.0,8.0,16.0,3.0
26,2018-04-29,KCR,0,0,100.0,141.0,8.0,17.0,-1.0
27,2018-05-01,STL,0,0,104.0,146.0,8.0,18.0,-2.0
28,2018-05-02,STL,0,0,106.0,149.0,8.0,19.0,-3.0
29,2018-05-03,MIN,1,1,108.0,152.0,8.0,20.0,-4.0
30,2018-05-04,MIN,1,0,114.0,157.0,9.0,20.0,1.0
31,2018-05-05,MIN,1,0,118.0,163.0,9.0,21.0,-1.0
32,2018-05-06,MIN,1,0,122.0,171.0,9.0,22.0,-2.0
33,2018-05-08,PIT,1,0,125.0,176.0,9.0,23.0,-3.0
34,2018-05-09,PIT,1,0,131.0,186.0,9.0,24.0,-4.0
35,2018-05-11,CHC,0,0,136.0,192.0,9.0,25.0,-5.0
36,2018-05-12,CHC,0,0,138.0,203.0,9.0,26.0,-6.0
37,2018-05-13,CHC,0,1,142.0,211.0,9.0,27.0,-7.0
38,2018-05-15,PIT,0,0,147.0,214.0,10.0,27.0,1.0
39,2018-05-16,PIT,0,0,147.0,221.0,10.0,28.0,-1.0
40,2018-05-17,TEX,1,1,149.0,224.0,10.0,29.0,-2.0
41,2018-05-18,TEX,1,0,153.0,226.0,11.0,29.0,1.0
42,2018-05-19,TEX,1,1,158.0,238.0,11.0,30.0,-1.0
43,2018-05-20,TEX,1,1,163.0,241.0,12.0,30.0,1.0
44,2018-05-21,BAL,1,0,166.0,241.0,13.0,30.0,2.0
45,2018-05-22,BAL,1,1,168.0,244.0,13.0,31.0,-1.0
46,2018-05-23,BAL,1,1,171.0,246.0,14.0,31.0,1.0
47,2018-05-24,BAL,1,0,182.0,247.0,15.0,31.0,2.0
48,2018-05-25,DET,0,0,185.0,256.0,15.0,32.0,-1.0
49,2018-05-26,DET,0,1,189.0,261.0,15.0,33.0,-2.0
50,2018-05-27,DET,0,0,197.0,265.0,16.0,33.0,1.0
51,2018-05-28,CLE,0,0,199.0,268.0,16.0,34.0,-1.0
52,2018-05-29,CLE,0,0,205.0,277.0,16.0,35.0,-2.0
53,2018-05-30,CLE,0,0,208.0,284.0,16.0,36.0,-3.0
54,2018-06-01,MIL,1,1,209.0,293.0,16.0,37.0,-4.0
55,2018-06-02,MIL,1,0,217.0,296.0,17.0,37.0,1.0
56,2018-06-03,MIL,1,1,217.0,301.0,17.0,38.0,-1.0
57,2018-06-05,MIN,0,0,223.0,302.0,18.0,38.0,1.0
58,2018-06-05,MIN,0,1,225.0,306.0,18.0,39.0,-1.0
59,2018-06-06,MIN,0,1,231.0,309.0,19.0,39.0,1.0
60,2018-06-07,MIN,0,0,236.0,311.0,20.0,39.0,2.0
61,2018-06-08,BOS,0,1,238.0,318.0,20.0,40.0,-1.0
62,2018-06-09,BOS,0,0,239.0,318.0,21.0,40.0,1.0
