Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,WSN,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,WSN,1,0,0.0,2.0,0.0,1.0,-1.0
3,2018-04-01,WSN,1,0,7.0,15.0,0.0,2.0,-2.0
4,2018-04-02,CHC,1,1,12.0,21.0,0.0,3.0,-3.0
5,2018-04-05,PIT,0,0,13.0,21.0,1.0,3.0,1.0
6,2018-04-06,PIT,0,0,15.0,26.0,1.0,4.0,-1.0
7,2018-04-07,PIT,0,1,18.0,40.0,1.0,5.0,-2.0
8,2018-04-08,PIT,0,0,25.0,44.0,2.0,5.0,1.0
9,2018-04-09,PHI,0,0,25.0,49.0,2.0,6.0,-1.0
10,2018-04-10,PHI,0,0,30.0,55.0,2.0,7.0,-2.0
11,2018-04-11,PHI,0,0,31.0,61.0,2.0,8.0,-3.0
12,2018-04-12,STL,1,0,34.0,65.0,2.0,9.0,-4.0
13,2018-04-13,STL,1,0,38.0,78.0,2.0,10.0,-5.0
14,2018-04-14,STL,1,0,41.0,83.0,2.0,11.0,-6.0
15,2018-04-15,STL,1,0,42.0,89.0,2.0,12.0,-7.0
16,2018-04-16,MIL,0,1,44.0,92.0,2.0,13.0,-8.0
17,2018-04-17,MIL,0,0,54.0,96.0,3.0,13.0,1.0
18,2018-04-18,MIL,0,0,54.0,98.0,3.0,14.0,-1.0
19,2018-04-20,STL,0,0,54.0,100.0,3.0,15.0,-2.0
20,2018-04-21,STL,0,0,56.0,104.0,3.0,16.0,-3.0
21,2018-04-22,STL,0,0,59.0,108.0,3.0,17.0,-4.0
22,2018-04-23,ATL,1,1,61.0,117.0,3.0,18.0,-5.0
23,2018-04-24,ATL,1,1,71.0,121.0,4.0,18.0,1.0
24,2018-04-25,ATL,1,0,80.0,128.0,5.0,18.0,2.0
25,2018-04-26,ATL,1,0,84.0,133.0,5.0,19.0,-1.0
26,2018-04-27,MIN,0,1,88.0,140.0,5.0,20.0,-2.0
27,2018-04-28,MIN,0,0,103.0,149.0,6.0,20.0,1.0
28,2018-04-29,MIN,0,1,104.0,152.0,6.0,21.0,-1.0
29,2018-04-30,MIL,1,0,112.0,154.0,7.0,21.0,1.0
30,2018-05-01,MIL,1,0,117.0,160.0,7.0,22.0,-1.0
31,2018-05-02,MIL,1,0,123.0,167.0,7.0,23.0,-2.0
32,2018-05-04,MIA,1,1,124.0,170.0,7.0,24.0,-3.0
33,2018-05-05,MIA,1,0,128.0,171.0,8.0,24.0,1.0
34,2018-05-06,MIA,1,0,128.0,177.0,8.0,25.0,-1.0
35,2018-05-07,NYM,1,0,133.0,185.0,8.0,26.0,-2.0
36,2018-05-08,NYM,1,1,139.0,192.0,8.0,27.0,-3.0
37,2018-05-09,NYM,1,1,146.0,194.0,9.0,27.0,1.0
38,2018-05-10,LAD,0,1,148.0,195.0,10.0,27.0,2.0
39,2018-05-11,LAD,0,1,152.0,196.0,11.0,27.0,3.0
40,2018-05-12,LAD,0,1,158.0,198.0,12.0,27.0,4.0
41,2018-05-13,LAD,0,1,163.0,201.0,13.0,27.0,5.0
42,2018-05-14,SFG,0,0,168.0,204.0,14.0,27.0,6.0
43,2018-05-15,SFG,0,0,175.0,214.0,14.0,28.0,-1.0
44,2018-05-16,SFG,0,1,178.0,219.0,14.0,29.0,-2.0
45,2018-05-18,CHC,1,0,184.0,222.0,15.0,29.0,1.0
46,2018-05-19,CHC,1,1,185.0,230.0,15.0,30.0,-1.0
47,2018-05-19,CHC,1,0,190.0,234.0,16.0,30.0,1.0
48,2018-05-20,CHC,1,0,190.0,244.0,16.0,31.0,-1.0
49,2018-05-22,PIT,1,1,191.0,250.0,16.0,32.0,-2.0
50,2018-05-23,PIT,1,0,198.0,252.0,17.0,32.0,1.0
51,2018-05-24,PIT,1,1,202.0,257.0,17.0,33.0,-1.0
52,2018-05-25,COL,0,0,207.0,261.0,18.0,33.0,1.0
53,2018-05-26,COL,0,1,211.0,266.0,18.0,34.0,-1.0
54,2018-05-27,COL,0,0,217.0,271.0,19.0,34.0,1.0
55,2018-05-28,ARI,0,0,219.0,279.0,19.0,35.0,-1.0
56,2018-05-29,ARI,0,0,224.0,291.0,19.0,36.0,-2.0
57,2018-05-30,ARI,0,1,226.0,296.0,19.0,37.0,-3.0
58,2018-06-01,SDP,0,1,233.0,300.0,20.0,37.0,1.0
59,2018-06-02,SDP,0,0,240.0,302.0,21.0,37.0,2.0
60,2018-06-03,SDP,0,0,242.0,310.0,21.0,38.0,-1.0
61,2018-06-05,COL,1,0,245.0,316.0,21.0,39.0,-2.0
62,2018-06-06,COL,1,0,251.0,325.0,21.0,40.0,-3.0
63,2018-06-07,COL,1,1,254.0,331.0,21.0,41.0,-4.0
64,2018-06-08,STL,1,0,261.0,336.0,22.0,41.0,1.0
65,2018-06-09,STL,1,0,267.0,343.0,22.0,42.0,-1.0
66,2018-06-10,STL,1,1,271.0,349.0,22.0,43.0,-2.0
67,2018-06-12,KCR,0,1,277.0,352.0,23.0,43.0,1.0
68,2018-06-13,KCR,0,1,282.0,353.0,24.0,43.0,2.0
69,2018-06-15,PIT,0,0,289.0,353.0,25.0,43.0,3.0
70,2018-06-16,PIT,0,0,291.0,356.0,25.0,44.0,-1.0
71,2018-06-17,PIT,0,1,293.0,362.0,25.0,45.0,-2.0
72,2018-06-19,DET,1,1,301.0,368.0,26.0,45.0,1.0
73,2018-06-20,DET,1,1,310.0,373.0,27.0,45.0,2.0
74,2018-06-21,CHC,1,1,315.0,376.0,28.0,45.0,3.0
75,2018-06-22,CHC,1,1,321.0,378.0,29.0,45.0,4.0
76,2018-06-23,CHC,1,1,327.0,381.0,30.0,45.0,5.0
77,2018-06-24,CHC,1,1,338.0,383.0,31.0,45.0,6.0
78,2018-06-25,ATL,0,0,346.0,389.0,32.0,45.0,7.0
79,2018-06-26,ATL,0,1,350.0,394.0,32.0,46.0,-1.0
80,2018-06-27,ATL,0,1,355.0,397.0,33.0,46.0,1.0
81,2018-06-28,MIL,1,0,361.0,402.0,34.0,46.0,2.0
82,2018-06-29,MIL,1,0,365.0,408.0,34.0,47.0,-1.0
83,2018-06-30,MIL,1,1,367.0,416.0,34.0,48.0,-2.0
84,2018-07-01,MIL,1,1,379.0,419.0,35.0,48.0,1.0
85,2018-07-02,CHW,1,1,387.0,421.0,36.0,48.0,2.0
86,2018-07-03,CHW,1,0,392.0,424.0,37.0,48.0,3.0
87,2018-07-04,CHW,1,1,400.0,436.0,37.0,49.0,-1.0
88,2018-07-06,CHC,0,1,407.0,440.0,38.0,49.0,1.0
89,2018-07-07,CHC,0,0,410.0,442.0,39.0,49.0,2.0
90,2018-07-08,CHC,0,0,417.0,450.0,39.0,50.0,-1.0
91,2018-07-09,CLE,0,1,422.0,456.0,39.0,51.0,-2.0
92,2018-07-10,CLE,0,1,429.0,461.0,40.0,51.0,1.0
93,2018-07-11,CLE,0,0,436.0,465.0,41.0,51.0,2.0
94,2018-07-13,STL,0,1,440.0,484.0,41.0,52.0,-1.0
95,2018-07-14,STL,0,1,449.0,485.0,42.0,52.0,1.0
96,2018-07-15,STL,0,0,457.0,487.0,43.0,52.0,2.0
97,2018-07-20,PIT,1,0,461.0,493.0,43.0,53.0,-1.0
98,2018-07-21,PIT,1,0,462.0,505.0,43.0,54.0,-2.0
99,2018-07-22,PIT,1,0,464.0,511.0,43.0,55.0,-3.0
100,2018-07-23,STL,1,1,466.0,520.0,43.0,56.0,-4.0
101,2018-07-24,STL,1,0,468.0,521.0,44.0,56.0,1.0
102,2018-07-25,STL,1,1,470.0,525.0,44.0,57.0,-1.0
103,2018-07-26,PHI,1,0,477.0,528.0,45.0,57.0,1.0
104,2018-07-27,PHI,1,1,481.0,537.0,45.0,58.0,-1.0
105,2018-07-28,PHI,1,1,487.0,541.0,46.0,58.0,1.0
106,2018-07-29,PHI,1,1,493.0,543.0,47.0,58.0,2.0
107,2018-07-31,DET,0,0,497.0,543.0,48.0,58.0,3.0
108,2018-08-01,DET,0,0,498.0,545.0,48.0,59.0,-1.0
109,2018-08-02,WSN,0,0,502.0,552.0,48.0,60.0,-2.0
110,2018-08-04,WSN,0,1,506.0,562.0,48.0,61.0,-3.0
111,2018-08-04,WSN,0,0,513.0,563.0,49.0,61.0,1.0
112,2018-08-05,WSN,0,0,515.0,569.0,49.0,62.0,-1.0
113,2018-08-06,NYM,0,0,516.0,571.0,49.0,63.0,-2.0
114,2018-08-07,NYM,0,1,520.0,577.0,49.0,64.0,-3.0
115,2018-08-08,NYM,0,0,526.0,578.0,50.0,64.0,1.0
116,2018-08-10,ARI,1,1,526.0,586.0,50.0,65.0,-1.0
117,2018-08-11,ARI,1,1,529.0,586.0,51.0,65.0,1.0
118,2018-08-12,ARI,1,0,535.0,589.0,52.0,65.0,2.0
119,2018-08-13,CLE,1,0,537.0,598.0,52.0,66.0,-1.0
