Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SEA,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,SEA,0,1,1.0,2.0,0.0,1.0,-1.0
3,2018-04-01,SEA,0,0,7.0,7.0,1.0,1.0,1.0
4,2018-04-02,LAA,0,1,11.0,12.0,1.0,2.0,-1.0
5,2018-04-03,LAA,0,0,17.0,12.0,2.0,2.0,1.0
6,2018-04-04,LAA,0,0,19.0,25.0,2.0,3.0,-1.0
7,2018-04-06,KCR,1,1,21.0,28.0,2.0,4.0,-2.0
8,2018-04-07,KCR,1,0,24.0,30.0,3.0,4.0,1.0
9,2018-04-08,KCR,1,1,24.0,31.0,3.0,5.0,-1.0
10,2018-04-09,DET,1,1,27.0,32.0,4.0,5.0,1.0
11,2018-04-10,DET,1,1,29.0,32.0,5.0,5.0,2.0
12,2018-04-11,DET,1,1,31.0,33.0,6.0,5.0,3.0
13,2018-04-12,DET,1,1,36.0,34.0,7.0,5.0,4.0
14,2018-04-13,TOR,1,0,45.0,37.0,8.0,5.0,5.0
15,2018-04-17,MIN,0,1,49.0,45.0,8.0,6.0,-1.0
16,2018-04-18,MIN,0,0,55.0,46.0,9.0,6.0,1.0
17,2018-04-20,BAL,0,0,56.0,48.0,9.0,7.0,-1.0
18,2018-04-21,BAL,0,1,57.0,51.0,9.0,8.0,-2.0
19,2018-04-22,BAL,0,1,61.0,51.0,10.0,8.0,1.0
20,2018-04-23,BAL,0,1,68.0,54.0,11.0,8.0,2.0
21,2018-04-24,CHC,1,0,70.0,55.0,12.0,8.0,3.0
22,2018-04-25,CHC,1,1,73.0,65.0,12.0,9.0,-1.0
23,2018-04-26,SEA,1,0,77.0,66.0,13.0,9.0,1.0
24,2018-04-27,SEA,1,1,81.0,71.0,13.0,10.0,-1.0
25,2018-04-28,SEA,1,0,87.0,76.0,14.0,10.0,1.0
26,2018-04-29,SEA,1,0,91.0,88.0,14.0,11.0,-1.0
27,2018-04-30,TEX,1,1,95.0,98.0,14.0,12.0,-2.0
28,2018-05-01,TEX,1,0,102.0,103.0,15.0,12.0,1.0
29,2018-05-02,TEX,1,1,108.0,111.0,15.0,13.0,-1.0
30,2018-05-03,TOR,1,0,120.0,115.0,16.0,13.0,1.0
31,2018-05-03,TOR,1,1,131.0,128.0,16.0,14.0,-1.0
32,2018-05-04,NYY,0,0,144.0,132.0,17.0,14.0,1.0
