Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,ARI,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,ARI,0,0,2.0,8.0,0.0,1.0,-1.0
3,2018-03-31,ARI,0,1,10.0,17.0,0.0,2.0,-2.0
4,2018-04-02,SDP,0,1,12.0,18.0,1.0,2.0,1.0
5,2018-04-03,SDP,0,0,19.0,22.0,2.0,2.0,2.0
6,2018-04-04,SDP,0,1,23.0,30.0,2.0,3.0,-1.0
7,2018-04-05,SDP,0,1,28.0,32.0,3.0,3.0,1.0
8,2018-04-06,ATL,1,0,31.0,33.0,4.0,3.0,2.0
9,2018-04-07,ATL,1,1,34.0,41.0,4.0,4.0,-1.0
10,2018-04-08,ATL,1,0,37.0,43.0,5.0,4.0,1.0
11,2018-04-09,SDP,1,0,37.0,47.0,5.0,5.0,-1.0
12,2018-04-10,SDP,1,0,43.0,54.0,5.0,6.0,-2.0
13,2018-04-11,SDP,1,1,45.0,59.0,5.0,7.0,-3.0
14,2018-04-12,WSN,0,1,51.0,63.0,6.0,7.0,1.0
15,2018-04-13,WSN,0,1,56.0,64.0,7.0,7.0,2.0
16,2018-04-14,WSN,0,0,58.0,65.0,8.0,7.0,3.0
17,2018-04-15,WSN,0,1,60.0,71.0,8.0,8.0,-1.0
18,2018-04-16,PIT,0,1,66.0,76.0,9.0,8.0,1.0
19,2018-04-17,PIT,0,1,72.0,78.0,10.0,8.0,2.0
20,2018-04-18,PIT,0,0,74.0,78.0,11.0,8.0,3.0
21,2018-04-20,CHC,1,0,76.0,88.0,11.0,9.0,-1.0
22,2018-04-21,CHC,1,1,81.0,104.0,11.0,10.0,-2.0
23,2018-04-22,CHC,1,0,86.0,106.0,12.0,10.0,1.0
24,2018-04-23,SDP,1,0,93.0,115.0,12.0,11.0,-1.0
25,2018-04-24,SDP,1,1,98.0,128.0,12.0,12.0,-2.0
26,2018-04-25,SDP,1,1,106.0,128.0,13.0,12.0,1.0
27,2018-04-27,MIA,0,1,111.0,130.0,14.0,12.0,2.0
28,2018-04-28,MIA,0,0,112.0,130.0,15.0,12.0,3.0
29,2018-04-29,MIA,0,0,113.0,134.0,15.0,13.0,-1.0
30,2018-04-30,CHC,0,0,113.0,137.0,15.0,14.0,-2.0
31,2018-05-01,CHC,0,1,115.0,140.0,15.0,15.0,-3.0
32,2018-05-02,CHC,0,1,118.0,141.0,16.0,15.0,1.0
33,2018-05-04,NYM,0,1,129.0,143.0,17.0,15.0,2.0
34,2018-05-05,NYM,0,1,137.0,150.0,18.0,15.0,3.0
35,2018-05-06,NYM,0,1,139.0,150.0,19.0,15.0,4.0
36,2018-05-08,LAA,1,1,142.0,152.0,20.0,15.0,5.0
37,2018-05-09,LAA,1,0,146.0,154.0,21.0,15.0,6.0
38,2018-05-10,MIL,1,0,146.0,162.0,21.0,16.0,-1.0
39,2018-05-11,MIL,1,0,148.0,167.0,21.0,17.0,-2.0
40,2018-05-12,MIL,1,1,158.0,178.0,21.0,18.0,-3.0
41,2018-05-13,MIL,1,0,162.0,178.0,22.0,18.0,1.0
42,2018-05-14,SDP,0,1,165.0,185.0,22.0,19.0,-1.0
43,2018-05-15,SDP,0,0,171.0,189.0,23.0,19.0,1.0
44,2018-05-17,SFG,0,1,171.0,193.0,23.0,20.0,-1.0
45,2018-05-18,SFG,0,1,176.0,196.0,24.0,20.0,1.0
46,2018-05-19,SFG,0,0,182.0,197.0,25.0,20.0,2.0
47,2018-05-20,SFG,0,0,186.0,206.0,25.0,21.0,-1.0
48,2018-05-21,LAD,0,1,191.0,215.0,25.0,22.0,-2.0
49,2018-05-22,LAD,0,0,193.0,216.0,26.0,22.0,1.0
50,2018-05-23,LAD,0,0,196.0,221.0,26.0,23.0,-1.0
51,2018-05-25,CIN,1,1,196.0,224.0,26.0,24.0,-2.0
52,2018-05-26,CIN,1,0,201.0,228.0,27.0,24.0,1.0
53,2018-05-27,CIN,1,1,206.0,234.0,27.0,25.0,-1.0
54,2018-05-28,SFG,1,1,214.0,236.0,28.0,25.0,1.0
55,2018-05-29,SFG,1,1,220.0,241.0,29.0,25.0,2.0
56,2018-05-30,SFG,1,0,231.0,245.0,30.0,25.0,3.0
57,2018-06-01,LAD,1,0,235.0,252.0,30.0,26.0,-1.0
58,2018-06-02,LAD,1,0,243.0,263.0,30.0,27.0,-2.0
59,2018-06-03,LAD,1,0,247.0,275.0,30.0,28.0,-3.0
60,2018-06-05,CIN,0,1,254.0,285.0,30.0,29.0,-4.0
61,2018-06-06,CIN,0,1,263.0,291.0,31.0,29.0,1.0
62,2018-06-07,CIN,0,0,269.0,294.0,32.0,29.0,2.0
63,2018-06-08,ARI,1,0,274.0,301.0,32.0,30.0,-1.0
64,2018-06-09,ARI,1,0,278.0,310.0,32.0,31.0,-2.0
65,2018-06-10,ARI,1,0,285.0,322.0,32.0,32.0,-3.0
66,2018-06-12,PHI,0,0,288.0,330.0,32.0,33.0,-4.0
67,2018-06-13,PHI,0,1,292.0,335.0,32.0,34.0,-5.0
68,2018-06-14,PHI,0,0,299.0,337.0,33.0,34.0,1.0
69,2018-06-15,TEX,0,1,302.0,346.0,33.0,35.0,-1.0
70,2018-06-16,TEX,0,0,311.0,351.0,34.0,35.0,1.0
71,2018-06-17,TEX,0,0,313.0,356.0,34.0,36.0,-1.0
72,2018-06-18,NYM,1,0,325.0,369.0,34.0,37.0,-2.0
73,2018-06-19,NYM,1,1,327.0,381.0,34.0,38.0,-3.0
74,2018-06-20,NYM,1,1,337.0,389.0,35.0,38.0,1.0
75,2018-06-21,NYM,1,1,347.0,397.0,36.0,38.0,2.0
76,2018-06-22,MIA,1,1,353.0,401.0,37.0,38.0,3.0
77,2018-06-23,MIA,1,0,364.0,404.0,38.0,38.0,4.0
78,2018-06-24,MIA,1,0,366.0,410.0,38.0,39.0,-1.0
79,2018-06-26,SFG,0,0,371.0,418.0,38.0,40.0,-2.0
80,2018-06-27,SFG,0,0,373.0,421.0,38.0,41.0,-3.0
81,2018-06-28,SFG,0,1,373.0,422.0,38.0,42.0,-4.0
82,2018-06-29,LAD,0,1,382.0,430.0,39.0,42.0,1.0
83,2018-06-30,LAD,0,1,385.0,431.0,40.0,42.0,2.0
84,2018-07-01,LAD,0,0,388.0,432.0,41.0,42.0,3.0
85,2018-07-02,SFG,1,1,392.0,438.0,41.0,43.0,-1.0
86,2018-07-03,SFG,1,1,397.0,440.0,42.0,43.0,1.0
87,2018-07-04,SFG,1,1,405.0,441.0,43.0,43.0,2.0
88,2018-07-06,SEA,0,1,406.0,441.0,44.0,43.0,3.0
89,2018-07-07,SEA,0,1,413.0,442.0,45.0,43.0,4.0
90,2018-07-08,SEA,0,0,418.0,443.0,46.0,43.0,5.0
91,2018-07-10,ARI,1,0,422.0,449.0,46.0,44.0,-1.0
92,2018-07-11,ARI,1,1,425.0,454.0,46.0,45.0,-2.0
93,2018-07-12,ARI,1,1,444.0,456.0,47.0,45.0,1.0
94,2018-07-13,SEA,1,1,449.0,457.0,48.0,45.0,2.0
95,2018-07-14,SEA,1,1,459.0,464.0,49.0,45.0,3.0
96,2018-07-15,SEA,1,1,463.0,465.0,50.0,45.0,4.0
97,2018-07-20,ARI,0,1,467.0,468.0,51.0,45.0,5.0
98,2018-07-21,ARI,0,1,478.0,478.0,52.0,45.0,6.0
99,2018-07-22,ARI,0,0,484.0,483.0,53.0,45.0,7.0
100,2018-07-24,HOU,1,0,485.0,489.0,53.0,46.0,-1.0
101,2018-07-25,HOU,1,1,487.0,497.0,53.0,47.0,-2.0
102,2018-07-27,OAK,1,1,490.0,499.0,54.0,47.0,1.0
103,2018-07-28,OAK,1,1,493.0,500.0,55.0,47.0,2.0
104,2018-07-29,OAK,1,1,497.0,501.0,56.0,47.0,3.0
105,2018-07-30,STL,0,0,500.0,503.0,57.0,47.0,4.0
106,2018-07-31,STL,0,1,504.0,508.0,57.0,48.0,-1.0
107,2018-08-01,STL,0,0,510.0,511.0,58.0,48.0,1.0
108,2018-08-02,STL,0,0,513.0,517.0,58.0,49.0,-1.0
109,2018-08-03,MIL,0,0,515.0,520.0,58.0,50.0,-2.0
110,2018-08-04,MIL,0,0,518.0,525.0,58.0,51.0,-3.0
111,2018-08-05,MIL,0,1,522.0,533.0,58.0,52.0,-4.0
112,2018-08-06,PIT,1,1,527.0,537.0,59.0,52.0,1.0
113,2018-08-07,PIT,1,0,529.0,537.0,60.0,52.0,2.0
114,2018-08-08,PIT,1,0,531.0,547.0,60.0,53.0,-1.0
115,2018-08-09,LAD,1,0,534.0,551.0,60.0,54.0,-2.0
116,2018-08-10,LAD,1,1,539.0,559.0,60.0,55.0,-3.0
117,2018-08-11,LAD,1,1,544.0,563.0,61.0,55.0,1.0
118,2018-08-12,LAD,1,1,547.0,565.0,62.0,55.0,2.0
119,2018-08-14,HOU,0,1,551.0,568.0,63.0,55.0,3.0
120,2018-08-15,HOU,0,0,556.0,569.0,64.0,55.0,4.0
121,2018-08-16,ATL,0,1,557.0,581.0,64.0,56.0,-1.0
122,2018-08-17,ATL,0,1,562.0,584.0,65.0,56.0,1.0
123,2018-08-18,ATL,0,1,573.0,589.0,66.0,56.0,2.0
124,2018-08-19,ATL,0,1,578.0,592.0,67.0,56.0,3.0
125,2018-08-21,SDP,1,0,582.0,594.0,68.0,56.0,4.0
126,2018-08-22,SDP,1,1,585.0,598.0,68.0,57.0,-1.0
127,2018-08-23,SDP,1,1,591.0,600.0,69.0,57.0,1.0
128,2018-08-24,STL,1,0,595.0,603.0,70.0,57.0,2.0
129,2018-08-25,STL,1,1,600.0,610.0,70.0,58.0,-1.0
130,2018-08-26,STL,1,0,609.0,611.0,71.0,58.0,1.0
131,2018-08-27,LAA,0,0,612.0,623.0,71.0,59.0,-1.0
132,2018-08-28,LAA,0,1,619.0,633.0,71.0,60.0,-2.0
133,2018-08-30,SDP,0,0,622.0,635.0,72.0,60.0,1.0
134,2018-08-31,SDP,0,0,624.0,638.0,72.0,61.0,-1.0
135,2018-09-01,SDP,0,1,624.0,645.0,72.0,62.0,-2.0
136,2018-09-02,SDP,0,1,628.0,647.0,73.0,62.0,1.0
137,2018-09-03,SFG,1,1,635.0,650.0,74.0,62.0,2.0
138,2018-09-04,SFG,1,1,644.0,658.0,75.0,62.0,3.0
139,2018-09-05,SFG,1,1,650.0,660.0,76.0,62.0,4.0
140,2018-09-07,LAD,1,0,655.0,663.0,77.0,62.0,5.0
141,2018-09-08,LAD,1,1,657.0,667.0,77.0,63.0,-1.0
142,2018-09-09,LAD,1,0,661.0,669.0,78.0,63.0,1.0
143,2018-09-10,ARI,1,1,667.0,678.0,78.0,64.0,-1.0
144,2018-09-11,ARI,1,0,680.0,680.0,79.0,64.0,1.0
145,2018-09-12,ARI,1,1,683.0,686.0,79.0,65.0,-1.0
146,2018-09-13,ARI,1,1,688.0,690.0,80.0,65.0,1.0
147,2018-09-14,SFG,0,0,698.0,693.0,81.0,65.0,2.0
148,2018-09-15,SFG,0,0,698.0,695.0,81.0,66.0,-1.0
149,2018-09-16,SFG,0,1,698.0,698.0,81.0,67.0,-2.0
150,2018-09-17,LAD,0,0,701.0,700.0,82.0,67.0,1.0
151,2018-09-18,LAD,0,0,703.0,708.0,82.0,68.0,-1.0
152,2018-09-19,LAD,0,0,705.0,711.0,82.0,69.0,-2.0
153,2018-09-21,ARI,0,1,707.0,716.0,82.0,70.0,-3.0
154,2018-09-22,ARI,0,1,713.0,718.0,83.0,70.0,1.0
155,2018-09-23,ARI,0,1,718.0,719.0,84.0,70.0,2.0
156,2018-09-24,PHI,1,1,720.0,719.0,85.0,70.0,3.0
157,2018-09-25,PHI,1,1,730.0,720.0,86.0,70.0,4.0
158,2018-09-26,PHI,1,1,740.0,723.0,87.0,70.0,5.0
159,2018-09-27,PHI,1,1,754.0,723.0,88.0,70.0,6.0
160,2018-09-28,WSN,1,1,759.0,726.0,89.0,70.0,7.0
