Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,PIT,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-04-01,PIT,1,0,10.0,13.0,0.0,1.0,-1.0
3,2018-04-01,PIT,1,0,10.0,14.0,0.0,2.0,-2.0
4,2018-04-02,KCR,1,1,16.0,22.0,0.0,3.0,-3.0
5,2018-04-03,KCR,1,0,22.0,23.0,1.0,3.0,1.0
6,2018-04-05,CHW,0,1,22.0,24.0,1.0,4.0,-1.0
7,2018-04-07,CHW,0,1,31.0,31.0,2.0,4.0,1.0
8,2018-04-08,CHW,0,1,37.0,32.0,3.0,4.0,2.0
9,2018-04-09,CLE,0,0,38.0,32.0,4.0,4.0,3.0
10,2018-04-10,CLE,0,0,38.0,34.0,4.0,5.0,-1.0
11,2018-04-11,CLE,0,0,39.0,36.0,4.0,6.0,-2.0
12,2018-04-12,CLE,0,0,40.0,41.0,4.0,7.0,-3.0
13,2018-04-13,NYY,1,0,43.0,50.0,4.0,8.0,-4.0
14,2018-04-17,BAL,1,1,49.0,58.0,4.0,9.0,-5.0
15,2018-04-18,BAL,1,1,53.0,60.0,5.0,9.0,1.0
16,2018-04-19,BAL,1,1,59.0,65.0,6.0,9.0,2.0
17,2018-04-20,KCR,1,1,72.0,73.0,7.0,9.0,3.0
18,2018-04-20,KCR,1,0,75.0,75.0,8.0,9.0,4.0
19,2018-04-21,KCR,1,1,77.0,78.0,8.0,10.0,-1.0
20,2018-04-22,KCR,1,0,89.0,82.0,9.0,10.0,1.0
21,2018-04-25,PIT,0,1,94.0,90.0,9.0,11.0,-1.0
22,2018-04-25,PIT,0,0,107.0,100.0,10.0,11.0,1.0
23,2018-04-26,PIT,0,0,110.0,108.0,10.0,12.0,-1.0
24,2018-04-27,BAL,0,0,110.0,109.0,10.0,13.0,-2.0
25,2018-04-28,BAL,0,1,110.0,115.0,10.0,14.0,-3.0
26,2018-04-29,BAL,0,0,119.0,120.0,11.0,14.0,1.0
27,2018-04-30,TBR,1,0,122.0,125.0,11.0,15.0,-1.0
28,2018-05-01,TBR,1,1,124.0,128.0,11.0,16.0,-2.0
29,2018-05-02,TBR,1,1,126.0,129.0,12.0,16.0,1.0
30,2018-05-03,KCR,0,0,129.0,131.0,13.0,16.0,2.0
31,2018-05-04,KCR,0,0,135.0,141.0,13.0,17.0,-1.0
32,2018-05-05,KCR,0,1,137.0,145.0,13.0,18.0,-2.0
33,2018-05-06,KCR,0,0,140.0,147.0,14.0,18.0,1.0
34,2018-05-07,TEX,0,0,142.0,151.0,14.0,19.0,-1.0
35,2018-05-08,TEX,0,1,148.0,158.0,14.0,20.0,-2.0
36,2018-05-09,TEX,0,0,155.0,162.0,15.0,20.0,1.0
37,2018-05-12,SEA,1,1,159.0,167.0,15.0,21.0,-1.0
38,2018-05-12,SEA,1,0,163.0,170.0,16.0,21.0,1.0
39,2018-05-13,SEA,1,1,168.0,179.0,16.0,22.0,-1.0
40,2018-05-14,CLE,1,1,173.0,183.0,17.0,22.0,1.0
41,2018-05-15,CLE,1,1,179.0,186.0,18.0,22.0,2.0
42,2018-05-16,CLE,1,0,188.0,194.0,19.0,22.0,3.0
43,2018-05-17,SEA,0,1,188.0,200.0,19.0,23.0,-1.0
44,2018-05-18,SEA,0,0,191.0,202.0,20.0,23.0,1.0
45,2018-05-19,SEA,0,0,195.0,207.0,20.0,24.0,-1.0
46,2018-05-20,SEA,0,0,197.0,214.0,20.0,25.0,-2.0
47,2018-05-21,MIN,0,0,199.0,217.0,20.0,26.0,-3.0
48,2018-05-22,MIN,0,0,201.0,221.0,20.0,27.0,-4.0
49,2018-05-23,MIN,0,1,201.0,227.0,20.0,28.0,-5.0
50,2018-05-25,CHW,1,1,205.0,228.0,21.0,28.0,1.0
51,2018-05-26,CHW,1,0,210.0,232.0,22.0,28.0,2.0
52,2018-05-27,CHW,1,1,214.0,240.0,22.0,29.0,-1.0
53,2018-05-28,LAA,1,1,217.0,242.0,23.0,29.0,1.0
54,2018-05-29,LAA,1,0,226.0,245.0,24.0,29.0,2.0
55,2018-05-30,LAA,1,1,228.0,254.0,24.0,30.0,-1.0
56,2018-05-31,LAA,1,1,234.0,255.0,25.0,30.0,1.0
57,2018-06-01,TOR,1,1,240.0,257.0,26.0,30.0,2.0
58,2018-06-02,TOR,1,1,245.0,259.0,27.0,30.0,3.0
59,2018-06-03,TOR,1,0,252.0,263.0,28.0,30.0,4.0
60,2018-06-04,NYY,1,0,256.0,271.0,28.0,31.0,-1.0
61,2018-06-04,NYY,1,1,260.0,278.0,28.0,32.0,-2.0
62,2018-06-05,BOS,0,0,264.0,280.0,29.0,32.0,1.0
63,2018-06-06,BOS,0,0,264.0,286.0,29.0,33.0,-1.0
64,2018-06-07,BOS,0,1,265.0,293.0,29.0,34.0,-2.0
65,2018-06-08,CLE,1,0,272.0,295.0,30.0,34.0,1.0
66,2018-06-09,CLE,1,1,273.0,299.0,30.0,35.0,-1.0
67,2018-06-10,CLE,1,0,277.0,301.0,31.0,35.0,1.0
68,2018-06-12,MIN,1,0,279.0,310.0,31.0,36.0,-1.0
69,2018-06-13,MIN,1,1,283.0,316.0,31.0,37.0,-2.0
70,2018-06-14,MIN,1,1,288.0,318.0,32.0,37.0,1.0
71,2018-06-15,CHW,0,1,291.0,319.0,33.0,37.0,2.0
72,2018-06-16,CHW,0,1,295.0,322.0,34.0,37.0,3.0
73,2018-06-17,CHW,0,1,302.0,327.0,35.0,37.0,4.0
74,2018-06-19,CIN,0,0,305.0,328.0,36.0,37.0,5.0
75,2018-06-20,CIN,0,0,310.0,337.0,36.0,38.0,-1.0
76,2018-06-22,CLE,0,0,313.0,342.0,36.0,39.0,-2.0
77,2018-06-23,CLE,0,0,313.0,352.0,36.0,40.0,-3.0
78,2018-06-24,CLE,0,0,314.0,356.0,36.0,41.0,-4.0
79,2018-06-25,OAK,1,0,316.0,368.0,36.0,42.0,-5.0
80,2018-06-26,OAK,1,0,320.0,373.0,36.0,43.0,-6.0
81,2018-06-27,OAK,1,0,327.0,382.0,36.0,44.0,-7.0
82,2018-06-28,OAK,1,0,327.0,385.0,36.0,45.0,-8.0
83,2018-06-29,TOR,0,0,329.0,389.0,36.0,46.0,-9.0
84,2018-06-30,TOR,0,0,331.0,392.0,36.0,47.0,-10.0
85,2018-07-01,TOR,0,1,334.0,396.0,36.0,48.0,-11.0
86,2018-07-02,TOR,0,1,343.0,397.0,37.0,48.0,1.0
87,2018-07-03,CHC,0,0,346.0,399.0,38.0,48.0,2.0
88,2018-07-04,CHC,0,0,349.0,404.0,38.0,49.0,-1.0
89,2018-07-05,TEX,1,0,351.0,409.0,38.0,50.0,-2.0
90,2018-07-06,TEX,1,1,356.0,416.0,38.0,51.0,-3.0
91,2018-07-07,TEX,1,1,359.0,417.0,39.0,51.0,1.0
92,2018-07-08,TEX,1,0,366.0,419.0,40.0,51.0,2.0
93,2018-07-09,TBR,0,0,366.0,422.0,40.0,52.0,-1.0
94,2018-07-10,TBR,0,0,375.0,432.0,40.0,53.0,-2.0
95,2018-07-11,TBR,0,0,377.0,437.0,40.0,54.0,-3.0
96,2018-07-13,HOU,0,0,379.0,441.0,40.0,55.0,-4.0
97,2018-07-14,HOU,0,0,379.0,444.0,40.0,56.0,-5.0
98,2018-07-15,HOU,0,1,380.0,453.0,40.0,57.0,-6.0
99,2018-07-20,BOS,1,0,386.0,456.0,41.0,57.0,1.0
100,2018-07-21,BOS,1,1,386.0,457.0,41.0,58.0,-1.0
101,2018-07-22,BOS,1,0,391.0,457.0,42.0,58.0,1.0
102,2018-07-23,KCR,0,1,392.0,466.0,42.0,59.0,-1.0
103,2018-07-24,KCR,0,0,397.0,470.0,43.0,59.0,1.0
104,2018-07-25,KCR,0,1,401.0,475.0,43.0,60.0,-1.0
105,2018-07-27,CLE,1,0,409.0,479.0,44.0,60.0,1.0
106,2018-07-28,CLE,1,1,412.0,487.0,44.0,61.0,-1.0
107,2018-07-29,CLE,1,0,414.0,488.0,45.0,61.0,1.0
108,2018-07-31,CIN,1,1,415.0,496.0,45.0,62.0,-1.0
109,2018-08-01,CIN,1,1,417.0,497.0,46.0,62.0,1.0
110,2018-08-03,OAK,0,0,424.0,501.0,47.0,62.0,2.0
111,2018-08-04,OAK,0,0,424.0,502.0,47.0,63.0,-1.0
112,2018-08-05,OAK,0,0,425.0,504.0,47.0,64.0,-2.0
113,2018-08-06,LAA,0,0,425.0,510.0,47.0,65.0,-3.0
114,2018-08-07,LAA,0,0,427.0,516.0,47.0,66.0,-4.0
115,2018-08-08,LAA,0,0,432.0,527.0,47.0,67.0,-5.0
116,2018-08-10,MIN,1,1,432.0,533.0,47.0,68.0,-6.0
117,2018-08-11,MIN,1,0,437.0,536.0,48.0,68.0,1.0
118,2018-08-12,MIN,1,1,440.0,540.0,48.0,69.0,-1.0
119,2018-08-13,CHW,1,1,444.0,542.0,49.0,69.0,1.0
120,2018-08-14,CHW,1,0,453.0,547.0,50.0,69.0,2.0
121,2018-08-15,CHW,1,0,456.0,553.0,50.0,70.0,-1.0
122,2018-08-16,MIN,0,0,461.0,559.0,50.0,71.0,-2.0
123,2018-08-17,MIN,0,0,469.0,574.0,50.0,72.0,-3.0
124,2018-08-18,MIN,0,1,473.0,579.0,50.0,73.0,-4.0
125,2018-08-19,MIN,0,0,480.0,584.0,51.0,73.0,1.0
126,2018-08-21,CHC,1,1,484.0,589.0,51.0,74.0,-1.0
