Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TEX,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,TEX,0,0,4.0,1.0,1.0,0.0,1.0
3,2018-03-31,TEX,0,1,5.0,6.0,1.0,1.0,-1.0
4,2018-04-01,TEX,0,1,14.0,9.0,2.0,1.0,1.0
5,2018-04-02,BAL,1,1,22.0,11.0,3.0,1.0,2.0
6,2018-04-03,BAL,1,1,28.0,12.0,4.0,1.0,3.0
7,2018-04-04,BAL,1,1,38.0,18.0,5.0,1.0,4.0
8,2018-04-06,SDP,1,0,41.0,20.0,6.0,1.0,5.0
9,2018-04-07,SDP,1,1,42.0,24.0,6.0,2.0,-1.0
10,2018-04-08,SDP,1,1,43.0,24.0,7.0,2.0,1.0
11,2018-04-09,MIN,0,1,47.0,25.0,8.0,2.0,2.0
12,2018-04-10,MIN,0,0,49.0,25.0,9.0,2.0,3.0
13,2018-04-11,MIN,0,0,50.0,29.0,9.0,3.0,-1.0
14,2018-04-13,TEX,1,1,58.0,38.0,9.0,4.0,-2.0
15,2018-04-14,TEX,1,0,61.0,40.0,10.0,4.0,1.0
16,2018-04-15,TEX,1,0,66.0,46.0,10.0,5.0,-1.0
17,2018-04-16,SEA,0,0,67.0,49.0,10.0,6.0,-2.0
18,2018-04-17,SEA,0,1,68.0,51.0,10.0,7.0,-3.0
19,2018-04-18,SEA,0,1,72.0,52.0,11.0,7.0,1.0
20,2018-04-19,SEA,0,1,79.0,53.0,12.0,7.0,2.0
21,2018-04-20,CHW,0,1,88.0,55.0,13.0,7.0,3.0
22,2018-04-21,CHW,0,1,98.0,55.0,14.0,7.0,4.0
23,2018-04-22,CHW,0,1,108.0,56.0,15.0,7.0,5.0
24,2018-04-23,LAA,1,0,115.0,57.0,16.0,7.0,6.0
25,2018-04-24,LAA,1,0,115.0,59.0,16.0,8.0,-1.0
26,2018-04-25,LAA,1,1,122.0,67.0,16.0,9.0,-2.0
27,2018-04-27,OAK,1,0,127.0,69.0,17.0,9.0,1.0
28,2018-04-28,OAK,1,1,128.0,77.0,17.0,10.0,-1.0
29,2018-04-29,OAK,1,1,139.0,77.0,18.0,10.0,1.0
30,2018-04-30,NYY,1,1,147.0,81.0,19.0,10.0,2.0
31,2018-05-01,NYY,1,0,149.0,82.0,20.0,10.0,3.0
32,2018-05-02,NYY,1,0,149.0,86.0,20.0,11.0,-1.0
33,2018-05-03,NYY,1,0,149.0,90.0,20.0,12.0,-2.0
34,2018-05-04,ARI,0,1,154.0,96.0,20.0,13.0,-3.0
35,2018-05-05,ARI,0,0,162.0,96.0,21.0,13.0,1.0
36,2018-05-06,ARI,0,0,165.0,100.0,21.0,14.0,-1.0
37,2018-05-07,OAK,0,1,166.0,103.0,21.0,15.0,-2.0
38,2018-05-08,OAK,0,1,182.0,105.0,22.0,15.0,1.0
39,2018-05-09,OAK,0,1,186.0,107.0,23.0,15.0,2.0
40,2018-05-11,TEX,1,0,190.0,108.0,24.0,15.0,3.0
41,2018-05-12,TEX,1,1,190.0,109.0,24.0,16.0,-1.0
42,2018-05-13,TEX,1,1,196.0,110.0,25.0,16.0,1.0
43,2018-05-14,LAA,0,0,202.0,111.0,26.0,16.0,2.0
44,2018-05-15,LAA,0,1,203.0,113.0,26.0,17.0,-1.0
45,2018-05-16,LAA,0,1,208.0,116.0,27.0,17.0,1.0
46,2018-05-18,CLE,1,1,210.0,116.0,28.0,17.0,2.0
47,2018-05-19,CLE,1,0,214.0,117.0,29.0,17.0,3.0
48,2018-05-20,CLE,1,1,218.0,122.0,29.0,18.0,-1.0
49,2018-05-22,SFG,1,1,221.0,123.0,30.0,18.0,1.0
50,2018-05-23,SFG,1,1,232.0,125.0,31.0,18.0,2.0
51,2018-05-24,CLE,0,1,236.0,126.0,32.0,18.0,3.0
52,2018-05-25,CLE,0,1,244.0,128.0,33.0,18.0,4.0
53,2018-05-26,CLE,0,0,255.0,130.0,34.0,18.0,5.0
54,2018-05-27,CLE,0,0,261.0,138.0,34.0,19.0,-1.0
55,2018-05-28,NYY,0,1,270.0,148.0,34.0,20.0,-2.0
56,2018-05-29,NYY,0,0,275.0,149.0,35.0,20.0,1.0
57,2018-05-30,NYY,0,0,280.0,155.0,35.0,21.0,-1.0
58,2018-05-31,BOS,1,1,283.0,160.0,35.0,22.0,-2.0
59,2018-06-01,BOS,1,1,287.0,162.0,36.0,22.0,1.0
60,2018-06-02,BOS,1,0,294.0,165.0,37.0,22.0,2.0
61,2018-06-03,BOS,1,0,298.0,170.0,37.0,23.0,-1.0
62,2018-06-05,SEA,1,0,301.0,179.0,37.0,24.0,-2.0
63,2018-06-06,SEA,1,1,302.0,186.0,37.0,25.0,-3.0
64,2018-06-07,TEX,0,1,309.0,191.0,38.0,25.0,1.0
65,2018-06-08,TEX,0,1,314.0,193.0,39.0,25.0,2.0
66,2018-06-09,TEX,0,1,321.0,196.0,40.0,25.0,3.0
67,2018-06-10,TEX,0,1,325.0,199.0,41.0,25.0,4.0
68,2018-06-12,OAK,0,1,333.0,206.0,42.0,25.0,5.0
69,2018-06-13,OAK,0,1,339.0,209.0,43.0,25.0,6.0
70,2018-06-14,OAK,0,1,352.0,214.0,44.0,25.0,7.0
71,2018-06-15,KCR,0,1,359.0,217.0,45.0,25.0,8.0
72,2018-06-16,KCR,0,1,366.0,220.0,46.0,25.0,9.0
73,2018-06-17,KCR,0,1,376.0,222.0,47.0,25.0,10.0
74,2018-06-18,TBR,1,1,383.0,226.0,48.0,25.0,11.0
75,2018-06-19,TBR,1,0,388.0,230.0,49.0,25.0,12.0
76,2018-06-20,TBR,1,1,389.0,232.0,49.0,26.0,-1.0
77,2018-06-22,KCR,1,0,394.0,233.0,50.0,26.0,1.0
78,2018-06-23,KCR,1,1,394.0,234.0,50.0,27.0,-1.0
79,2018-06-24,KCR,1,1,398.0,237.0,51.0,27.0,1.0
80,2018-06-25,TOR,1,0,409.0,240.0,52.0,27.0,2.0
81,2018-06-26,TOR,1,1,412.0,246.0,52.0,28.0,-1.0
82,2018-06-27,TOR,1,1,419.0,246.0,53.0,28.0,1.0
83,2018-06-28,TBR,0,1,426.0,252.0,54.0,28.0,2.0
84,2018-06-29,TBR,0,0,427.0,252.0,55.0,28.0,3.0
85,2018-06-30,TBR,0,0,429.0,255.0,55.0,29.0,-1.0
86,2018-07-01,TBR,0,0,431.0,260.0,55.0,30.0,-2.0
87,2018-07-03,TEX,0,1,433.0,263.0,55.0,31.0,-3.0
