Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CHW,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,CHW,1,0,7.0,14.0,0.0,1.0,-1.0
3,2018-04-02,DET,0,0,10.0,18.0,0.0,2.0,-2.0
4,2018-04-03,DET,0,1,11.0,24.0,0.0,3.0,-3.0
5,2018-04-06,CLE,0,0,12.0,24.0,1.0,3.0,1.0
6,2018-04-07,CLE,0,1,14.0,27.0,1.0,4.0,-1.0
7,2018-04-08,CLE,0,0,15.0,27.0,2.0,4.0,1.0
8,2018-04-09,SEA,1,1,16.0,30.0,2.0,5.0,-1.0
9,2018-04-10,SEA,1,0,26.0,30.0,3.0,5.0,1.0
10,2018-04-11,SEA,1,0,29.0,38.0,3.0,6.0,-1.0
11,2018-04-12,LAA,1,0,31.0,42.0,3.0,7.0,-2.0
12,2018-04-13,LAA,1,0,32.0,49.0,3.0,8.0,-3.0
13,2018-04-14,LAA,1,0,36.0,54.0,3.0,9.0,-4.0
14,2018-04-17,TOR,0,0,39.0,59.0,3.0,10.0,-5.0
15,2018-04-17,TOR,0,0,42.0,70.0,3.0,11.0,-6.0
16,2018-04-18,TOR,0,0,46.0,75.0,3.0,12.0,-7.0
17,2018-04-20,DET,0,0,51.0,90.0,3.0,13.0,-8.0
18,2018-04-20,DET,0,1,53.0,93.0,3.0,14.0,-9.0
19,2018-04-21,DET,0,0,56.0,95.0,4.0,14.0,1.0
20,2018-04-22,DET,0,1,60.0,107.0,4.0,15.0,-1.0
21,2018-04-24,MIL,1,0,68.0,112.0,5.0,15.0,1.0
22,2018-04-25,MIL,1,0,70.0,117.0,5.0,16.0,-1.0
23,2018-04-26,CHW,1,0,72.0,123.0,5.0,17.0,-2.0
24,2018-04-27,CHW,1,0,75.0,129.0,5.0,18.0,-3.0
25,2018-04-28,CHW,1,0,79.0,136.0,5.0,19.0,-4.0
26,2018-04-28,CHW,1,1,79.0,144.0,5.0,20.0,-5.0
27,2018-04-29,CHW,1,1,84.0,146.0,6.0,20.0,1.0
28,2018-04-30,BOS,0,0,89.0,150.0,7.0,20.0,2.0
29,2018-05-01,BOS,0,1,95.0,160.0,7.0,21.0,-1.0
30,2018-05-02,BOS,0,0,102.0,166.0,8.0,21.0,1.0
31,2018-05-03,DET,1,1,106.0,171.0,8.0,22.0,-1.0
32,2018-05-04,DET,1,1,116.0,177.0,9.0,22.0,1.0
33,2018-05-05,DET,1,0,120.0,179.0,10.0,22.0,2.0
34,2018-05-06,DET,1,1,122.0,182.0,10.0,23.0,-1.0
35,2018-05-08,BAL,0,1,126.0,184.0,11.0,23.0,1.0
36,2018-05-09,BAL,0,0,141.0,191.0,12.0,23.0,2.0
37,2018-05-10,BAL,0,0,144.0,196.0,12.0,24.0,-1.0
38,2018-05-11,CLE,0,1,150.0,207.0,12.0,25.0,-2.0
39,2018-05-12,CLE,0,0,160.0,216.0,13.0,25.0,1.0
40,2018-05-13,CLE,0,0,162.0,222.0,13.0,26.0,-1.0
41,2018-05-14,TBR,1,0,164.0,233.0,13.0,27.0,-2.0
42,2018-05-15,TBR,1,0,165.0,235.0,13.0,28.0,-3.0
43,2018-05-16,TBR,1,0,170.0,241.0,13.0,29.0,-4.0
44,2018-05-18,NYY,1,1,173.0,246.0,13.0,30.0,-5.0
45,2018-05-19,NYY,1,0,178.0,248.0,14.0,30.0,1.0
46,2018-05-20,NYY,1,0,181.0,256.0,14.0,31.0,-1.0
47,2018-05-21,STL,0,0,182.0,266.0,14.0,32.0,-2.0
48,2018-05-22,STL,0,1,182.0,272.0,14.0,33.0,-3.0
49,2018-05-23,STL,0,1,187.0,273.0,15.0,33.0,1.0
50,2018-05-24,TEX,0,1,192.0,275.0,16.0,33.0,2.0
51,2018-05-25,TEX,0,0,200.0,277.0,17.0,33.0,3.0
52,2018-05-26,TEX,0,0,204.0,285.0,17.0,34.0,-1.0
53,2018-05-27,TEX,0,1,207.0,289.0,17.0,35.0,-2.0
