Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,OAK,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,OAK,0,1,5.0,6.0,0.0,1.0,-1.0
3,2018-03-31,OAK,0,1,7.0,7.0,1.0,1.0,1.0
4,2018-04-01,OAK,0,1,15.0,10.0,2.0,1.0,2.0
5,2018-04-02,CLE,1,0,22.0,14.0,3.0,1.0,3.0
6,2018-04-03,CLE,1,1,22.0,20.0,3.0,2.0,-1.0
7,2018-04-04,CLE,1,1,35.0,22.0,4.0,2.0,1.0
8,2018-04-06,OAK,1,1,38.0,24.0,5.0,2.0,2.0
9,2018-04-07,OAK,1,0,51.0,33.0,6.0,2.0,3.0
10,2018-04-08,OAK,1,1,54.0,40.0,6.0,3.0,-1.0
11,2018-04-09,TEX,0,1,60.0,41.0,7.0,3.0,1.0
12,2018-04-10,TEX,0,1,68.0,44.0,8.0,3.0,2.0
13,2018-04-11,TEX,0,1,79.0,45.0,9.0,3.0,3.0
14,2018-04-12,KCR,0,1,86.0,47.0,10.0,3.0,4.0
15,2018-04-13,KCR,0,1,93.0,48.0,11.0,3.0,5.0
16,2018-04-14,KCR,0,1,98.0,52.0,12.0,3.0,6.0
17,2018-04-17,BOS,1,0,103.0,55.0,13.0,3.0,7.0
18,2018-04-18,BOS,1,0,104.0,65.0,13.0,4.0,-1.0
19,2018-04-19,BOS,1,0,104.0,74.0,13.0,5.0,-2.0
20,2018-04-20,SFG,1,0,106.0,82.0,13.0,6.0,-3.0
21,2018-04-21,SFG,1,1,107.0,90.0,13.0,7.0,-4.0
22,2018-04-22,SFG,1,0,111.0,93.0,14.0,7.0,1.0
23,2018-04-23,HOU,0,1,113.0,97.0,14.0,8.0,-1.0
24,2018-04-24,HOU,0,1,115.0,97.0,15.0,8.0,1.0
25,2018-04-25,HOU,0,0,123.0,104.0,16.0,8.0,2.0
26,2018-04-27,NYY,1,0,125.0,109.0,16.0,9.0,-1.0
27,2018-04-28,NYY,1,0,128.0,113.0,16.0,10.0,-2.0
28,2018-04-29,NYY,1,0,129.0,124.0,16.0,11.0,-3.0
29,2018-05-01,BAL,1,1,130.0,126.0,16.0,12.0,-4.0
30,2018-05-02,BAL,1,1,133.0,128.0,17.0,12.0,1.0
31,2018-05-03,BAL,1,1,143.0,135.0,18.0,12.0,2.0
32,2018-05-04,SEA,0,1,155.0,138.0,19.0,12.0,3.0
33,2018-05-05,SEA,0,0,160.0,138.0,20.0,12.0,4.0
34,2018-05-06,SEA,0,1,168.0,147.0,20.0,13.0,-1.0
35,2018-05-08,COL,0,0,176.0,149.0,21.0,13.0,1.0
36,2018-05-09,COL,0,1,178.0,153.0,21.0,14.0,-1.0
37,2018-05-10,MIN,1,1,186.0,153.0,22.0,14.0,1.0
38,2018-05-11,MIN,1,0,193.0,157.0,23.0,14.0,2.0
