Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SFG,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,SFG,1,0,0.0,1.0,0.0,1.0,-1.0
3,2018-03-31,SFG,1,1,0.0,2.0,0.0,2.0,-2.0
4,2018-04-01,SFG,1,1,5.0,2.0,1.0,2.0,1.0
5,2018-04-02,ARI,0,0,14.0,2.0,2.0,2.0,2.0
6,2018-04-03,ARI,0,0,21.0,10.0,2.0,3.0,-1.0
7,2018-04-04,ARI,0,0,22.0,16.0,2.0,4.0,-2.0
8,2018-04-07,SFG,0,0,22.0,19.0,2.0,5.0,-3.0
9,2018-04-08,SFG,0,1,27.0,26.0,2.0,6.0,-4.0
10,2018-04-10,OAK,1,1,29.0,27.0,3.0,6.0,1.0
11,2018-04-11,OAK,1,0,33.0,27.0,4.0,6.0,2.0
12,2018-04-13,ARI,1,0,39.0,43.0,4.0,7.0,-1.0
13,2018-04-14,ARI,1,0,46.0,51.0,4.0,8.0,-2.0
14,2018-04-15,ARI,1,1,47.0,60.0,4.0,9.0,-3.0
15,2018-04-16,SDP,0,1,54.0,62.0,5.0,9.0,1.0
16,2018-04-17,SDP,0,1,64.0,65.0,6.0,9.0,2.0
17,2018-04-18,SDP,0,1,71.0,68.0,7.0,9.0,3.0
18,2018-04-20,WSN,1,0,84.0,72.0,8.0,9.0,4.0
19,2018-04-21,WSN,1,1,86.0,77.0,8.0,10.0,-1.0
20,2018-04-22,WSN,1,1,90.0,77.0,9.0,10.0,1.0
21,2018-04-23,MIA,1,1,94.0,80.0,10.0,10.0,2.0
22,2018-04-24,MIA,1,0,96.0,81.0,11.0,10.0,3.0
23,2018-04-25,MIA,1,0,98.0,84.0,11.0,11.0,-1.0
24,2018-04-27,SFG,0,0,104.0,92.0,11.0,12.0,-2.0
25,2018-04-28,SFG,0,1,108.0,98.0,11.0,13.0,-3.0
26,2018-04-28,SFG,0,0,123.0,104.0,12.0,13.0,1.0
27,2018-04-29,SFG,0,0,126.0,112.0,12.0,14.0,-1.0
28,2018-04-30,ARI,0,0,128.0,116.0,12.0,15.0,-2.0
29,2018-05-01,ARI,0,0,133.0,124.0,12.0,16.0,-3.0
30,2018-05-02,ARI,0,1,136.0,128.0,12.0,17.0,-4.0
31,2018-05-03,ARI,0,1,138.0,129.0,13.0,17.0,1.0
32,2018-05-04,SDP,0,1,143.0,131.0,14.0,17.0,2.0
33,2018-05-05,SDP,0,0,147.0,131.0,15.0,17.0,3.0
34,2018-05-06,SDP,0,0,151.0,138.0,15.0,18.0,-1.0
35,2018-05-08,ARI,1,0,151.0,141.0,15.0,19.0,-2.0
36,2018-05-09,ARI,1,1,156.0,149.0,15.0,20.0,-3.0
37,2018-05-10,CIN,1,0,162.0,152.0,16.0,20.0,1.0
38,2018-05-11,CIN,1,0,163.0,156.0,16.0,21.0,-1.0
39,2018-05-12,CIN,1,0,165.0,162.0,16.0,22.0,-2.0
40,2018-05-13,CIN,1,0,168.0,167.0,16.0,23.0,-3.0
