Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CHC,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,CHC,1,1,4.0,8.0,0.0,1.0,-1.0
3,2018-03-31,CHC,1,0,6.0,9.0,1.0,1.0,1.0
4,2018-04-01,CHC,1,1,12.0,19.0,1.0,2.0,-1.0
5,2018-04-02,BOS,1,0,18.0,19.0,2.0,2.0,1.0
6,2018-04-03,BOS,1,0,21.0,26.0,2.0,3.0,-1.0
7,2018-04-05,PHI,0,0,23.0,30.0,2.0,4.0,-2.0
8,2018-04-07,PHI,0,0,23.0,35.0,2.0,5.0,-3.0
9,2018-04-08,PHI,0,1,24.0,55.0,2.0,6.0,-4.0
10,2018-04-09,NYM,1,0,30.0,58.0,3.0,6.0,1.0
11,2018-04-10,NYM,1,0,32.0,62.0,3.0,7.0,-1.0
12,2018-04-11,NYM,1,0,38.0,70.0,3.0,8.0,-2.0
13,2018-04-13,PIT,1,1,39.0,74.0,3.0,9.0,-3.0
14,2018-04-14,PIT,1,0,46.0,76.0,4.0,9.0,1.0
15,2018-04-15,PIT,1,0,46.0,77.0,4.0,10.0,-1.0
16,2018-04-16,NYY,0,0,49.0,84.0,4.0,11.0,-2.0
17,2018-04-17,NYY,0,1,50.0,96.0,4.0,12.0,-3.0
18,2018-04-19,MIL,0,0,59.0,97.0,5.0,12.0,1.0
19,2018-04-20,MIL,0,0,62.0,109.0,5.0,13.0,-1.0
20,2018-04-21,MIL,0,0,62.0,117.0,5.0,14.0,-2.0
21,2018-04-22,MIL,0,0,67.0,123.0,5.0,15.0,-3.0
22,2018-04-23,LAD,0,0,69.0,127.0,5.0,16.0,-4.0
23,2018-04-24,LAD,0,1,70.0,129.0,5.0,17.0,-5.0
24,2018-04-25,LAD,0,1,73.0,131.0,6.0,17.0,1.0
25,2018-04-27,COL,1,0,81.0,137.0,7.0,17.0,2.0
26,2018-04-28,COL,1,1,81.0,138.0,7.0,18.0,-1.0
27,2018-04-29,COL,1,1,85.0,139.0,8.0,18.0,1.0
28,2018-04-30,PHI,1,1,88.0,139.0,9.0,18.0,2.0
29,2018-05-01,PHI,1,1,96.0,143.0,10.0,18.0,3.0
30,2018-05-02,PHI,1,0,98.0,144.0,11.0,18.0,4.0
31,2018-05-04,CIN,0,0,98.0,150.0,11.0,19.0,-1.0
32,2018-05-05,CIN,0,1,99.0,154.0,11.0,20.0,-2.0
33,2018-05-06,CIN,0,1,105.0,154.0,12.0,20.0,1.0
34,2018-05-07,CHC,0,0,113.0,159.0,13.0,20.0,2.0
35,2018-05-08,CHC,0,0,115.0,173.0,13.0,21.0,-1.0
36,2018-05-09,CHC,0,0,118.0,177.0,13.0,22.0,-2.0
37,2018-05-10,ATL,1,0,122.0,190.0,13.0,23.0,-3.0
38,2018-05-11,ATL,1,1,124.0,199.0,13.0,24.0,-4.0
39,2018-05-12,ATL,1,0,130.0,202.0,14.0,24.0,1.0
40,2018-05-13,ATL,1,0,135.0,212.0,14.0,25.0,-1.0
41,2018-05-15,LAD,1,1,138.0,216.0,14.0,26.0,-2.0
42,2018-05-16,LAD,1,1,142.0,218.0,15.0,26.0,1.0
43,2018-05-17,LAD,1,0,148.0,223.0,16.0,26.0,2.0
44,2018-05-18,ATL,0,1,148.0,230.0,16.0,27.0,-1.0
45,2018-05-19,ATL,0,0,150.0,230.0,17.0,27.0,1.0
46,2018-05-20,ATL,0,0,151.0,238.0,17.0,28.0,-1.0
47,2018-05-21,NYM,0,0,160.0,248.0,17.0,29.0,-2.0
48,2018-05-22,NYM,0,1,160.0,250.0,17.0,30.0,-3.0
49,2018-05-23,NYM,0,1,165.0,251.0,18.0,30.0,1.0
50,2018-05-25,WSN,1,0,167.0,252.0,19.0,30.0,2.0
51,2018-05-26,WSN,1,0,172.0,261.0,19.0,31.0,-1.0
52,2018-05-27,WSN,1,0,173.0,265.0,19.0,32.0,-2.0
53,2018-05-28,SDP,0,1,175.0,270.0,19.0,33.0,-3.0
54,2018-05-29,SDP,0,0,182.0,272.0,20.0,33.0,1.0
55,2018-05-30,SDP,0,0,187.0,281.0,20.0,34.0,-1.0
56,2018-05-31,SDP,0,0,189.0,284.0,20.0,35.0,-2.0
57,2018-06-01,ARI,0,0,192.0,292.0,20.0,36.0,-3.0
58,2018-06-02,ARI,0,0,193.0,301.0,20.0,37.0,-4.0
59,2018-06-03,ARI,0,0,195.0,307.0,20.0,38.0,-5.0
60,2018-06-05,STL,0,1,196.0,313.0,20.0,39.0,-6.0
61,2018-06-06,STL,0,1,203.0,317.0,21.0,39.0,1.0
62,2018-06-07,STL,0,0,214.0,320.0,22.0,39.0,2.0
63,2018-06-08,SDP,1,1,215.0,324.0,22.0,40.0,-1.0
64,2018-06-09,SDP,1,0,219.0,324.0,23.0,40.0,1.0
65,2018-06-10,SDP,1,0,223.0,329.0,23.0,41.0,-1.0
66,2018-06-11,SFG,1,1,224.0,332.0,23.0,42.0,-2.0
67,2018-06-12,SFG,1,1,231.0,337.0,24.0,42.0,1.0
68,2018-06-13,SFG,1,1,234.0,338.0,25.0,42.0,2.0
69,2018-06-14,SFG,1,0,239.0,342.0,26.0,42.0,3.0
70,2018-06-15,BAL,0,1,242.0,348.0,26.0,43.0,-1.0
71,2018-06-16,BAL,0,1,244.0,348.0,27.0,43.0,1.0
72,2018-06-17,BAL,0,0,249.0,352.0,28.0,43.0,2.0
73,2018-06-18,SFG,0,1,253.0,362.0,28.0,44.0,-1.0
74,2018-06-19,SFG,0,0,258.0,366.0,29.0,44.0,1.0
75,2018-06-20,SFG,0,0,261.0,372.0,29.0,45.0,-1.0
76,2018-06-22,COL,0,0,266.0,378.0,29.0,46.0,-2.0
77,2018-06-23,COL,0,1,269.0,389.0,29.0,47.0,-3.0
78,2018-06-24,COL,0,1,275.0,391.0,30.0,47.0,1.0
79,2018-06-25,ARI,1,1,283.0,396.0,31.0,47.0,2.0
