Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SDP,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,SDP,0,1,2.0,1.0,1.0,0.0,1.0
3,2018-03-31,SDP,0,1,10.0,7.0,2.0,0.0,2.0
4,2018-04-02,STL,1,0,17.0,10.0,3.0,0.0,3.0
5,2018-04-03,STL,1,1,21.0,18.0,3.0,1.0,-1.0
6,2018-04-04,STL,1,0,26.0,22.0,4.0,1.0,1.0
7,2018-04-05,CHC,1,0,26.0,28.0,4.0,2.0,-1.0
8,2018-04-06,CHC,1,1,26.0,36.0,4.0,3.0,-2.0
9,2018-04-07,CHC,1,0,31.0,40.0,5.0,3.0,1.0
10,2018-04-08,CHC,1,0,33.0,45.0,5.0,4.0,-1.0
11,2018-04-09,STL,0,1,33.0,48.0,5.0,5.0,-2.0
12,2018-04-10,STL,0,0,38.0,52.0,6.0,5.0,1.0
13,2018-04-11,STL,0,1,41.0,57.0,6.0,6.0,-1.0
14,2018-04-13,NYM,0,0,44.0,59.0,7.0,6.0,1.0
15,2018-04-14,NYM,0,1,49.0,65.0,7.0,7.0,-1.0
16,2018-04-15,NYM,0,0,54.0,66.0,8.0,7.0,1.0
17,2018-04-16,CIN,1,0,56.0,69.0,8.0,8.0,-1.0
18,2018-04-17,CIN,1,1,60.0,79.0,8.0,9.0,-2.0
19,2018-04-18,CIN,1,1,62.0,79.0,9.0,9.0,1.0
20,2018-04-19,MIA,1,1,64.0,79.0,10.0,9.0,2.0
21,2018-04-20,MIA,1,1,76.0,82.0,11.0,9.0,3.0
22,2018-04-21,MIA,1,1,84.0,82.0,12.0,9.0,4.0
23,2018-04-22,MIA,1,1,90.0,87.0,13.0,9.0,5.0
24,2018-04-24,KCR,0,1,94.0,89.0,14.0,9.0,6.0
25,2018-04-25,KCR,0,1,99.0,91.0,15.0,9.0,7.0
26,2018-04-26,CHC,0,0,105.0,93.0,16.0,9.0,8.0
27,2018-04-27,CHC,0,0,105.0,94.0,16.0,10.0,-1.0
28,2018-04-28,CHC,0,0,107.0,97.0,16.0,11.0,-2.0
29,2018-04-29,CHC,0,0,107.0,100.0,16.0,12.0,-3.0
30,2018-04-30,CIN,0,1,107.0,102.0,16.0,13.0,-4.0
31,2018-05-01,CIN,0,1,113.0,107.0,17.0,13.0,1.0
32,2018-05-02,CIN,0,1,120.0,113.0,18.0,13.0,2.0
33,2018-05-04,PIT,1,0,123.0,114.0,19.0,13.0,3.0
34,2018-05-05,PIT,1,1,127.0,120.0,19.0,14.0,-1.0
35,2018-05-06,PIT,1,0,132.0,123.0,20.0,14.0,1.0
36,2018-05-08,CLE,1,1,132.0,132.0,20.0,15.0,-1.0
37,2018-05-09,CLE,1,0,135.0,134.0,21.0,15.0,1.0
38,2018-05-10,COL,0,1,137.0,140.0,21.0,16.0,-1.0
39,2018-05-11,COL,0,1,142.0,142.0,22.0,16.0,1.0
40,2018-05-12,COL,0,0,153.0,152.0,23.0,16.0,2.0
41,2018-05-13,COL,0,1,153.0,156.0,23.0,17.0,-1.0
42,2018-05-14,ARI,0,1,160.0,159.0,24.0,17.0,1.0
43,2018-05-15,ARI,0,0,167.0,161.0,25.0,17.0,2.0
44,2018-05-16,ARI,0,1,168.0,163.0,25.0,18.0,-1.0
45,2018-05-18,MIN,0,1,176.0,165.0,26.0,18.0,1.0
46,2018-05-19,MIN,0,1,184.0,168.0,27.0,18.0,2.0
47,2018-05-20,MIN,0,0,189.0,172.0,28.0,18.0,3.0
48,2018-05-21,ARI,1,1,190.0,175.0,28.0,19.0,-1.0
49,2018-05-22,ARI,1,1,194.0,177.0,29.0,19.0,1.0
50,2018-05-23,ARI,1,1,195.0,177.0,30.0,19.0,2.0
51,2018-05-24,NYM,1,0,204.0,179.0,31.0,19.0,3.0
52,2018-05-25,NYM,1,1,204.0,184.0,31.0,20.0,-1.0
