Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,BAL,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,BAL,0,1,2.0,3.0,0.0,1.0,-1.0
3,2018-04-01,BAL,0,1,8.0,5.0,1.0,1.0,1.0
4,2018-04-02,PIT,0,0,15.0,5.0,2.0,1.0,2.0
5,2018-04-04,PIT,0,1,19.0,10.0,2.0,2.0,-1.0
6,2018-04-05,SEA,1,1,26.0,13.0,3.0,2.0,1.0
7,2018-04-07,SEA,1,0,30.0,15.0,4.0,2.0,2.0
8,2018-04-09,HOU,1,0,34.0,26.0,4.0,3.0,-1.0
9,2018-04-10,HOU,1,1,34.0,28.0,4.0,4.0,-2.0
10,2018-04-11,HOU,1,1,38.0,29.0,5.0,4.0,1.0
11,2018-04-12,CHW,1,1,47.0,37.0,6.0,4.0,2.0
12,2018-04-17,CLE,1,0,51.0,37.0,7.0,4.0,3.0
13,2018-04-18,CLE,1,1,52.0,43.0,7.0,5.0,-1.0
14,2018-04-20,TBR,0,0,54.0,44.0,8.0,5.0,1.0
15,2018-04-21,TBR,0,0,61.0,52.0,8.0,6.0,-1.0
16,2018-04-22,TBR,0,0,62.0,62.0,8.0,7.0,-2.0
17,2018-04-23,NYY,0,0,68.0,70.0,8.0,8.0,-3.0
18,2018-04-24,NYY,0,0,69.0,84.0,8.0,9.0,-4.0
19,2018-04-25,NYY,0,0,72.0,92.0,8.0,10.0,-5.0
20,2018-04-26,NYY,0,0,76.0,99.0,8.0,11.0,-6.0
21,2018-04-27,CIN,1,0,79.0,103.0,8.0,12.0,-7.0
22,2018-04-28,CIN,1,1,88.0,118.0,8.0,13.0,-8.0
23,2018-04-29,CIN,1,0,91.0,119.0,9.0,13.0,1.0
24,2018-04-30,TOR,1,0,93.0,127.0,9.0,14.0,-1.0
25,2018-05-01,TOR,1,0,98.0,134.0,9.0,15.0,-2.0
26,2018-05-02,TOR,1,1,102.0,141.0,9.0,16.0,-3.0
27,2018-05-03,CHW,0,0,106.0,141.0,10.0,16.0,1.0
28,2018-05-04,CHW,0,1,111.0,147.0,10.0,17.0,-1.0
29,2018-05-05,CHW,0,1,117.0,151.0,11.0,17.0,1.0
30,2018-05-06,CHW,0,1,125.0,155.0,12.0,17.0,2.0
31,2018-05-07,STL,0,1,130.0,158.0,13.0,17.0,3.0
32,2018-05-08,STL,0,1,136.0,158.0,14.0,17.0,4.0
33,2018-05-10,LAA,0,0,143.0,159.0,15.0,17.0,5.0
34,2018-05-11,LAA,0,1,147.0,166.0,15.0,18.0,-1.0
35,2018-05-12,LAA,0,1,152.0,170.0,16.0,18.0,1.0
36,2018-05-13,LAA,0,0,157.0,173.0,17.0,18.0,2.0
37,2018-05-14,SEA,1,0,158.0,175.0,17.0,19.0,-1.0
38,2018-05-15,STL,1,1,158.0,176.0,17.0,20.0,-2.0
39,2018-05-16,STL,1,0,162.0,177.0,18.0,20.0,1.0
40,2018-05-18,MIL,1,0,167.0,184.0,18.0,21.0,-1.0
41,2018-05-19,MIL,1,0,170.0,192.0,18.0,22.0,-2.0
42,2018-05-20,MIL,1,1,174.0,197.0,18.0,23.0,-3.0
43,2018-05-21,DET,1,1,177.0,198.0,19.0,23.0,1.0
44,2018-05-22,DET,1,1,181.0,200.0,20.0,23.0,2.0
45,2018-05-23,DET,1,0,187.0,200.0,21.0,23.0,3.0
46,2018-05-25,SEA,0,0,188.0,204.0,21.0,24.0,-1.0
47,2018-05-26,SEA,0,0,189.0,206.0,21.0,25.0,-2.0
48,2018-05-27,SEA,0,0,192.0,210.0,21.0,26.0,-3.0
49,2018-05-28,KCR,0,1,193.0,213.0,21.0,27.0,-4.0
50,2018-05-29,KCR,0,0,201.0,218.0,22.0,27.0,1.0
51,2018-05-30,KCR,0,0,202.0,220.0,22.0,28.0,-1.0
52,2018-05-31,CLE,1,0,210.0,231.0,22.0,29.0,-2.0
53,2018-06-01,CLE,1,1,218.0,240.0,22.0,30.0,-3.0
54,2018-06-02,CLE,1,1,225.0,244.0,23.0,30.0,1.0
55,2018-06-03,CLE,1,1,232.0,245.0,24.0,30.0,2.0
56,2018-06-05,CHW,1,1,239.0,250.0,25.0,30.0,3.0
57,2018-06-05,CHW,1,0,243.0,252.0,26.0,30.0,4.0
58,2018-06-06,CHW,1,0,246.0,258.0,26.0,31.0,-1.0
59,2018-06-07,CHW,1,1,248.0,263.0,26.0,32.0,-2.0
60,2018-06-08,LAA,1,0,255.0,265.0,27.0,32.0,1.0
61,2018-06-09,LAA,1,0,257.0,269.0,27.0,33.0,-1.0
62,2018-06-10,LAA,1,1,258.0,271.0,27.0,34.0,-2.0
63,2018-06-12,DET,0,1,265.0,276.0,28.0,34.0,1.0
64,2018-06-13,DET,0,0,271.0,280.0,29.0,34.0,2.0
65,2018-06-14,DET,0,0,273.0,285.0,29.0,35.0,-1.0
66,2018-06-15,CLE,0,1,274.0,288.0,29.0,36.0,-2.0
67,2018-06-16,CLE,0,1,280.0,291.0,30.0,36.0,1.0
68,2018-06-17,CLE,0,0,289.0,294.0,31.0,36.0,2.0
69,2018-06-19,BOS,1,1,290.0,298.0,31.0,37.0,-1.0
70,2018-06-20,BOS,1,1,296.0,300.0,32.0,37.0,1.0
71,2018-06-21,BOS,1,0,300.0,301.0,33.0,37.0,2.0
72,2018-06-22,TEX,1,0,302.0,310.0,33.0,38.0,-1.0
73,2018-06-23,TEX,1,0,303.0,318.0,33.0,39.0,-2.0
74,2018-06-24,TEX,1,1,309.0,327.0,33.0,40.0,-3.0
75,2018-06-26,CHW,0,0,311.0,327.0,34.0,40.0,1.0
76,2018-06-27,CHW,0,0,315.0,335.0,34.0,41.0,-1.0
77,2018-06-28,CHW,0,1,316.0,341.0,34.0,42.0,-2.0
78,2018-06-29,CHC,0,0,318.0,342.0,35.0,42.0,1.0
79,2018-06-30,CHC,0,0,324.0,352.0,35.0,43.0,-1.0
80,2018-07-01,CHC,0,0,333.0,366.0,35.0,44.0,-2.0
81,2018-07-02,MIL,0,0,343.0,377.0,35.0,45.0,-3.0
82,2018-07-03,MIL,0,0,348.0,383.0,35.0,46.0,-4.0
83,2018-07-04,MIL,0,0,348.0,385.0,35.0,47.0,-5.0
84,2018-07-05,BAL,1,1,350.0,388.0,35.0,48.0,-6.0
85,2018-07-06,BAL,1,1,355.0,390.0,36.0,48.0,1.0
86,2018-07-07,BAL,1,1,361.0,392.0,37.0,48.0,2.0
87,2018-07-08,BAL,1,1,366.0,396.0,38.0,48.0,3.0
88,2018-07-09,KCR,1,1,376.0,397.0,39.0,48.0,4.0
89,2018-07-10,KCR,1,0,379.0,398.0,40.0,48.0,5.0
90,2018-07-11,KCR,1,1,383.0,407.0,40.0,49.0,-1.0
91,2018-07-12,TBR,1,1,391.0,412.0,41.0,49.0,1.0
92,2018-07-13,TBR,1,1,396.0,413.0,42.0,49.0,2.0
93,2018-07-14,TBR,1,0,407.0,421.0,43.0,49.0,3.0
94,2018-07-15,TBR,1,1,413.0,440.0,43.0,50.0,-1.0
95,2018-07-20,KCR,0,0,424.0,447.0,44.0,50.0,1.0
96,2018-07-21,KCR,0,0,429.0,453.0,44.0,51.0,-1.0
97,2018-07-22,KCR,0,0,431.0,457.0,44.0,52.0,-2.0
98,2018-07-23,TOR,0,1,434.0,462.0,44.0,53.0,-3.0
99,2018-07-24,TOR,0,1,442.0,465.0,45.0,53.0,1.0
100,2018-07-25,TOR,0,1,447.0,465.0,46.0,53.0,2.0
101,2018-07-26,BOS,0,1,459.0,471.0,47.0,53.0,3.0
102,2018-07-27,BOS,0,0,461.0,472.0,48.0,53.0,4.0
103,2018-07-28,BOS,0,0,464.0,476.0,48.0,54.0,-1.0
104,2018-07-29,BOS,0,0,468.0,486.0,48.0,55.0,-2.0
105,2018-07-30,CLE,1,1,468.0,489.0,48.0,56.0,-3.0
106,2018-07-31,CLE,1,0,473.0,493.0,49.0,56.0,1.0
107,2018-08-01,CLE,1,0,475.0,499.0,49.0,57.0,-1.0
108,2018-08-03,KCR,1,1,475.0,501.0,49.0,58.0,-2.0
109,2018-08-04,KCR,1,1,481.0,505.0,50.0,58.0,1.0
110,2018-08-05,KCR,1,1,489.0,507.0,51.0,58.0,2.0
111,2018-08-06,CLE,0,0,495.0,512.0,52.0,58.0,3.0
112,2018-08-07,CLE,0,1,495.0,522.0,52.0,59.0,-1.0
113,2018-08-08,CLE,0,0,498.0,524.0,53.0,59.0,1.0
114,2018-08-09,CLE,0,0,500.0,529.0,53.0,60.0,-1.0
115,2018-08-10,DET,0,0,504.0,534.0,53.0,61.0,-2.0
116,2018-08-11,DET,0,1,507.0,539.0,53.0,62.0,-3.0
117,2018-08-12,DET,0,0,511.0,542.0,54.0,62.0,1.0
118,2018-08-14,PIT,1,1,513.0,546.0,54.0,63.0,-1.0
119,2018-08-15,PIT,1,1,518.0,548.0,55.0,63.0,1.0
120,2018-08-16,DET,1,1,524.0,552.0,56.0,63.0,2.0
121,2018-08-17,DET,1,1,539.0,560.0,57.0,63.0,3.0
122,2018-08-18,DET,1,0,544.0,564.0,58.0,63.0,4.0
123,2018-08-19,DET,1,1,549.0,571.0,58.0,64.0,-1.0
124,2018-08-20,CHW,1,0,554.0,575.0,59.0,64.0,1.0
125,2018-08-21,CHW,0,1,559.0,583.0,59.0,65.0,-1.0
126,2018-08-22,CHW,0,0,564.0,585.0,60.0,65.0,1.0
127,2018-08-23,OAK,1,1,567.0,592.0,60.0,66.0,-1.0
128,2018-08-24,OAK,1,0,573.0,596.0,61.0,66.0,1.0
129,2018-08-25,OAK,1,0,574.0,603.0,61.0,67.0,-1.0
130,2018-08-26,OAK,1,0,576.0,609.0,61.0,68.0,-2.0
131,2018-08-28,CLE,0,0,578.0,615.0,61.0,69.0,-3.0
132,2018-08-29,CLE,0,1,579.0,623.0,61.0,70.0,-4.0
133,2018-08-30,CLE,0,0,583.0,626.0,62.0,70.0,1.0
134,2018-08-31,TEX,0,1,586.0,631.0,62.0,71.0,-1.0
135,2018-09-01,TEX,0,0,596.0,638.0,63.0,71.0,1.0
136,2018-09-02,TEX,0,0,600.0,645.0,63.0,72.0,-1.0
137,2018-09-03,HOU,0,0,604.0,663.0,63.0,73.0,-2.0
138,2018-09-04,HOU,0,0,605.0,667.0,63.0,74.0,-3.0
139,2018-09-05,HOU,0,0,607.0,672.0,63.0,75.0,-4.0
140,2018-09-07,KCR,1,1,608.0,681.0,63.0,76.0,-5.0
141,2018-09-08,KCR,1,0,618.0,687.0,64.0,76.0,1.0
142,2018-09-09,KCR,1,1,619.0,691.0,64.0,77.0,-1.0
143,2018-09-10,NYY,1,0,622.0,692.0,65.0,77.0,1.0
144,2018-09-11,NYY,1,1,624.0,699.0,65.0,78.0,-1.0
145,2018-09-12,NYY,1,1,634.0,704.0,66.0,78.0,1.0
146,2018-09-13,KCR,0,0,637.0,705.0,67.0,78.0,2.0
147,2018-09-14,KCR,0,0,641.0,711.0,67.0,79.0,-1.0
148,2018-09-15,KCR,0,0,645.0,719.0,67.0,80.0,-2.0
149,2018-09-16,KCR,0,1,648.0,729.0,67.0,81.0,-3.0
150,2018-09-17,DET,0,1,657.0,735.0,68.0,81.0,1.0
151,2018-09-18,DET,0,1,663.0,736.0,69.0,81.0,2.0
152,2018-09-19,DET,0,1,668.0,739.0,70.0,81.0,3.0
153,2018-09-21,OAK,0,0,676.0,741.0,71.0,81.0,4.0
154,2018-09-22,OAK,0,0,682.0,748.0,71.0,82.0,-1.0
155,2018-09-23,OAK,0,1,684.0,751.0,71.0,83.0,-2.0
156,2018-09-25,DET,1,0,689.0,752.0,72.0,83.0,1.0
157,2018-09-26,DET,1,1,691.0,756.0,72.0,84.0,-1.0
158,2018-09-27,DET,1,1,702.0,760.0,73.0,84.0,1.0
159,2018-09-28,CHW,1,1,711.0,763.0,74.0,84.0,2.0
160,2018-09-28,CHW,1,1,713.0,764.0,75.0,84.0,3.0
161,2018-09-29,CHW,1,1,725.0,768.0,76.0,84.0,4.0
162,2018-09-30,CHW,1,1,733.0,771.0,77.0,84.0,5.0
