Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,STL,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,STL,1,1,9.0,4.0,1.0,0.0,1.0
3,2018-04-01,STL,1,0,15.0,6.0,2.0,0.0,2.0
4,2018-04-03,PHI,1,1,16.0,11.0,2.0,1.0,-1.0
5,2018-04-04,PHI,1,1,18.0,11.0,3.0,1.0,1.0
6,2018-04-05,WSN,0,1,22.0,13.0,4.0,1.0,2.0
7,2018-04-07,WSN,0,1,30.0,15.0,5.0,1.0,3.0
8,2018-04-08,WSN,0,1,33.0,17.0,6.0,1.0,4.0
9,2018-04-09,MIA,0,1,39.0,22.0,7.0,1.0,5.0
10,2018-04-10,MIA,0,1,43.0,24.0,8.0,1.0,6.0
11,2018-04-11,MIA,0,1,51.0,30.0,9.0,1.0,7.0
12,2018-04-13,MIL,1,1,55.0,31.0,10.0,1.0,8.0
13,2018-04-14,MIL,1,0,61.0,36.0,11.0,1.0,9.0
14,2018-04-15,MIL,1,1,62.0,41.0,11.0,2.0,-1.0
15,2018-04-16,WSN,1,0,65.0,43.0,12.0,2.0,1.0
16,2018-04-17,WSN,1,0,71.0,51.0,12.0,3.0,-1.0
17,2018-04-18,WSN,1,1,73.0,56.0,12.0,4.0,-2.0
18,2018-04-19,ATL,0,0,84.0,61.0,13.0,4.0,1.0
19,2018-04-20,ATL,0,1,88.0,73.0,13.0,5.0,-1.0
20,2018-04-21,ATL,0,0,93.0,76.0,14.0,5.0,1.0
21,2018-04-24,STL,0,1,96.0,80.0,14.0,6.0,-1.0
22,2018-04-25,STL,0,0,102.0,85.0,15.0,6.0,1.0
23,2018-04-26,STL,0,0,103.0,94.0,15.0,7.0,-1.0
24,2018-04-27,SDP,0,1,106.0,98.0,15.0,8.0,-2.0
25,2018-04-28,SDP,0,0,111.0,99.0,16.0,8.0,1.0
26,2018-04-29,SDP,0,1,113.0,111.0,16.0,9.0,-1.0
27,2018-05-01,ATL,1,0,127.0,113.0,17.0,9.0,1.0
28,2018-05-02,ATL,1,0,129.0,116.0,17.0,10.0,-1.0
29,2018-05-03,ATL,1,0,129.0,123.0,17.0,11.0,-2.0
30,2018-05-04,COL,1,0,129.0,134.0,17.0,12.0,-3.0
31,2018-05-05,COL,1,0,136.0,142.0,17.0,13.0,-4.0
32,2018-05-06,COL,1,0,136.0,144.0,17.0,14.0,-5.0
33,2018-05-07,CIN,0,1,138.0,147.0,17.0,15.0,-6.0
34,2018-05-08,CIN,0,0,145.0,153.0,18.0,15.0,1.0
35,2018-05-09,CIN,0,0,147.0,160.0,18.0,16.0,-1.0
36,2018-05-11,PHI,0,1,148.0,162.0,18.0,17.0,-2.0
37,2018-05-13,PHI,0,0,151.0,163.0,19.0,17.0,1.0
38,2018-05-15,TOR,1,1,153.0,167.0,19.0,18.0,-1.0
39,2018-05-16,TOR,1,0,165.0,169.0,20.0,18.0,1.0
40,2018-05-18,ARI,1,1,166.0,181.0,20.0,19.0,-1.0
41,2018-05-19,ARI,1,1,169.0,182.0,21.0,19.0,1.0
