Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TOR,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,TOR,0,1,6.0,1.0,1.0,0.0,1.0
3,2018-03-31,TOR,0,0,10.0,3.0,2.0,0.0,2.0
4,2018-04-01,TOR,0,0,13.0,8.0,2.0,1.0,-1.0
5,2018-04-03,TBR,1,1,17.0,15.0,2.0,2.0,-2.0
6,2018-04-04,TBR,1,1,28.0,19.0,3.0,2.0,1.0
7,2018-04-05,BAL,1,0,35.0,21.0,4.0,2.0,2.0
8,2018-04-06,BAL,1,0,37.0,26.0,4.0,3.0,-1.0
9,2018-04-07,BAL,1,1,40.0,33.0,4.0,4.0,-2.0
10,2018-04-08,BAL,1,0,48.0,36.0,5.0,4.0,1.0
11,2018-04-10,BOS,0,0,55.0,44.0,5.0,5.0,-1.0
12,2018-04-11,BOS,0,1,56.0,58.0,5.0,6.0,-2.0
13,2018-04-12,BOS,0,0,66.0,65.0,6.0,6.0,1.0
14,2018-04-13,DET,0,1,69.0,71.0,6.0,7.0,-1.0
15,2018-04-16,MIA,1,1,77.0,77.0,7.0,7.0,1.0
16,2018-04-17,MIA,1,0,89.0,78.0,8.0,7.0,2.0
17,2018-04-19,TOR,1,1,90.0,87.0,8.0,8.0,-1.0
18,2018-04-20,TOR,1,0,94.0,90.0,9.0,8.0,1.0
19,2018-04-21,TOR,1,1,99.0,98.0,9.0,9.0,-1.0
20,2018-04-22,TOR,1,1,108.0,99.0,10.0,9.0,1.0
21,2018-04-23,MIN,1,1,113.0,100.0,11.0,9.0,2.0
22,2018-04-24,MIN,1,1,127.0,101.0,12.0,9.0,3.0
23,2018-04-25,MIN,1,1,135.0,104.0,13.0,9.0,4.0
24,2018-04-26,MIN,1,1,142.0,108.0,14.0,9.0,5.0
25,2018-04-27,LAA,0,1,146.0,111.0,15.0,9.0,6.0
26,2018-04-28,LAA,0,1,150.0,114.0,16.0,9.0,7.0
27,2018-04-29,LAA,0,1,161.0,115.0,17.0,9.0,8.0
28,2018-04-30,HOU,0,0,163.0,116.0,18.0,9.0,9.0
29,2018-05-01,HOU,0,1,164.0,118.0,18.0,10.0,-1.0
30,2018-05-02,HOU,0,1,168.0,118.0,19.0,10.0,1.0
31,2018-05-03,HOU,0,1,172.0,118.0,20.0,10.0,2.0
32,2018-05-04,CLE,1,1,178.0,123.0,21.0,10.0,3.0
33,2018-05-05,CLE,1,1,185.0,129.0,22.0,10.0,4.0
34,2018-05-06,CLE,1,1,190.0,131.0,23.0,10.0,5.0
35,2018-05-08,BOS,1,1,197.0,135.0,24.0,10.0,6.0
36,2018-05-09,BOS,1,1,200.0,137.0,25.0,10.0,7.0
37,2018-05-10,BOS,1,0,209.0,143.0,26.0,10.0,8.0
38,2018-05-11,OAK,1,0,213.0,148.0,26.0,11.0,-1.0
39,2018-05-12,OAK,1,1,218.0,158.0,26.0,12.0,-2.0
40,2018-05-13,OAK,1,1,225.0,164.0,27.0,12.0,1.0
41,2018-05-15,WSN,0,0,231.0,166.0,28.0,12.0,2.0
42,2018-05-18,KCR,0,0,234.0,171.0,28.0,13.0,-1.0
43,2018-05-19,KCR,0,1,236.0,176.0,28.0,14.0,-2.0
44,2018-05-20,KCR,0,1,244.0,179.0,29.0,14.0,1.0
45,2018-05-21,TEX,0,1,254.0,180.0,30.0,14.0,2.0
46,2018-05-22,TEX,0,0,264.0,185.0,31.0,14.0,3.0
47,2018-05-23,TEX,0,0,268.0,191.0,31.0,15.0,-1.0
48,2018-05-25,LAA,1,1,278.0,203.0,31.0,16.0,-2.0
49,2018-05-26,LAA,1,0,280.0,204.0,32.0,16.0,1.0
50,2018-05-27,LAA,1,1,284.0,215.0,32.0,17.0,-1.0
51,2018-05-28,HOU,1,0,287.0,216.0,33.0,17.0,1.0
52,2018-05-29,HOU,1,1,288.0,221.0,33.0,18.0,-1.0
53,2018-05-30,HOU,1,1,294.0,226.0,34.0,18.0,1.0
54,2018-06-01,BAL,0,1,299.0,229.0,35.0,18.0,2.0
55,2018-06-02,BAL,0,1,303.0,230.0,36.0,18.0,3.0
56,2018-06-04,DET,0,1,311.0,235.0,37.0,18.0,4.0
57,2018-06-04,DET,0,0,318.0,239.0,38.0,18.0,5.0
58,2018-06-05,TOR,0,1,320.0,243.0,38.0,19.0,-1.0
59,2018-06-06,TOR,0,1,327.0,245.0,39.0,19.0,1.0
60,2018-06-08,NYM,0,1,330.0,245.0,40.0,19.0,2.0
61,2018-06-09,NYM,0,1,334.0,246.0,41.0,19.0,3.0
62,2018-06-10,NYM,0,0,338.0,249.0,42.0,19.0,4.0
63,2018-06-12,WSN,1,1,338.0,251.0,42.0,20.0,-1.0
64,2018-06-13,WSN,1,0,341.0,251.0,43.0,20.0,1.0
65,2018-06-14,TBR,1,1,345.0,256.0,43.0,21.0,-1.0
66,2018-06-15,TBR,1,1,349.0,259.0,44.0,21.0,1.0
67,2018-06-16,TBR,1,1,354.0,259.0,45.0,21.0,2.0
68,2018-06-17,TBR,1,0,358.0,260.0,46.0,21.0,3.0
69,2018-06-18,WSN,0,1,359.0,263.0,46.0,22.0,-1.0
70,2018-06-19,SEA,1,1,363.0,265.0,47.0,22.0,1.0
71,2018-06-20,SEA,1,1,370.0,267.0,48.0,22.0,2.0
72,2018-06-21,SEA,1,1,377.0,272.0,49.0,22.0,3.0
73,2018-06-22,TBR,0,0,381.0,275.0,50.0,22.0,4.0
74,2018-06-23,TBR,0,0,382.0,277.0,50.0,23.0,-1.0
75,2018-06-24,TBR,0,0,382.0,281.0,50.0,24.0,-2.0
76,2018-06-25,PHI,0,1,388.0,288.0,50.0,25.0,-3.0
77,2018-06-26,PHI,0,1,392.0,290.0,51.0,25.0,1.0
78,2018-06-27,PHI,0,0,398.0,290.0,52.0,25.0,2.0
79,2018-06-29,BOS,1,1,398.0,293.0,52.0,26.0,-1.0
80,2018-06-30,BOS,1,0,406.0,294.0,53.0,26.0,1.0
81,2018-07-01,BOS,1,1,406.0,305.0,53.0,27.0,-1.0
82,2018-07-02,ATL,1,0,417.0,306.0,54.0,27.0,1.0
83,2018-07-03,ATL,1,1,420.0,311.0,54.0,28.0,-1.0
84,2018-07-04,ATL,1,1,428.0,316.0,55.0,28.0,1.0
85,2018-07-06,TOR,0,0,434.0,318.0,56.0,28.0,2.0
86,2018-07-07,TOR,0,1,436.0,324.0,56.0,29.0,-1.0
87,2018-07-08,TOR,0,1,444.0,329.0,57.0,29.0,1.0
88,2018-07-09,BAL,0,0,446.0,330.0,58.0,29.0,2.0
89,2018-07-09,BAL,0,1,450.0,335.0,58.0,30.0,-1.0
90,2018-07-10,BAL,0,0,460.0,337.0,59.0,30.0,1.0
91,2018-07-11,BAL,0,1,465.0,343.0,59.0,31.0,-1.0
92,2018-07-12,CLE,0,1,474.0,343.0,60.0,31.0,1.0
93,2018-07-13,CLE,0,0,481.0,347.0,61.0,31.0,2.0
94,2018-07-14,CLE,0,1,486.0,353.0,61.0,32.0,-1.0
95,2018-07-15,CLE,0,0,491.0,357.0,62.0,32.0,1.0
96,2018-07-20,NYM,1,0,493.0,362.0,62.0,33.0,-1.0
97,2018-07-21,NYM,1,1,498.0,369.0,62.0,34.0,-2.0
98,2018-07-23,TBR,0,0,505.0,375.0,63.0,34.0,1.0
99,2018-07-24,TBR,0,1,511.0,382.0,63.0,35.0,-1.0
100,2018-07-25,TBR,0,0,515.0,382.0,64.0,35.0,1.0
101,2018-07-26,KCR,1,1,517.0,385.0,64.0,36.0,-1.0
102,2018-07-28,KCR,1,0,524.0,387.0,65.0,36.0,1.0
103,2018-07-28,KCR,1,1,529.0,397.0,65.0,37.0,-1.0
104,2018-07-29,KCR,1,1,534.0,401.0,66.0,37.0,1.0
105,2018-07-31,BAL,1,1,540.0,404.0,67.0,37.0,2.0
106,2018-08-01,BAL,1,0,546.0,407.0,68.0,37.0,3.0
107,2018-08-02,BOS,0,0,551.0,414.0,68.0,38.0,-1.0
108,2018-08-03,BOS,0,0,558.0,429.0,68.0,39.0,-2.0
109,2018-08-04,BOS,0,0,559.0,433.0,68.0,40.0,-3.0
110,2018-08-05,BOS,0,0,560.0,437.0,68.0,41.0,-4.0
111,2018-08-06,CHW,0,1,564.0,442.0,68.0,42.0,-5.0
112,2018-08-07,CHW,0,1,571.0,442.0,69.0,42.0,1.0
113,2018-08-08,CHW,0,1,575.0,445.0,70.0,42.0,2.0
114,2018-08-09,TEX,1,1,582.0,448.0,71.0,42.0,3.0
115,2018-08-10,TEX,1,0,589.0,451.0,72.0,42.0,4.0
116,2018-08-11,TEX,1,1,596.0,463.0,72.0,43.0,-1.0
117,2018-08-12,TEX,1,1,601.0,466.0,73.0,43.0,1.0
118,2018-08-13,NYM,1,0,608.0,468.0,74.0,43.0,2.0
119,2018-08-14,TBR,1,1,613.0,476.0,74.0,44.0,-1.0
120,2018-08-15,TBR,1,0,617.0,477.0,75.0,44.0,1.0
121,2018-08-16,TBR,1,0,618.0,483.0,75.0,45.0,-1.0
122,2018-08-17,TOR,1,1,619.0,486.0,75.0,46.0,-2.0
123,2018-08-18,TOR,1,1,626.0,491.0,76.0,46.0,1.0
124,2018-08-19,TOR,1,1,637.0,497.0,77.0,46.0,2.0
125,2018-08-21,MIA,0,1,647.0,499.0,78.0,46.0,3.0
