Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,LAA,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,LAA,1,0,6.0,5.0,1.0,0.0,1.0
3,2018-03-31,LAA,1,0,7.0,7.0,1.0,1.0,-1.0
4,2018-04-01,LAA,1,0,10.0,15.0,1.0,2.0,-2.0
5,2018-04-02,TEX,1,1,14.0,22.0,1.0,3.0,-3.0
6,2018-04-03,TEX,1,0,17.0,23.0,2.0,3.0,1.0
7,2018-04-04,TEX,1,1,18.0,27.0,2.0,4.0,-1.0
8,2018-04-05,TEX,1,0,24.0,29.0,3.0,4.0,1.0
9,2018-04-06,LAA,0,0,27.0,35.0,3.0,5.0,-1.0
10,2018-04-07,LAA,0,1,36.0,48.0,3.0,6.0,-2.0
11,2018-04-08,LAA,0,0,43.0,51.0,4.0,6.0,1.0
12,2018-04-10,LAD,0,0,44.0,57.0,4.0,7.0,-1.0
13,2018-04-11,LAD,0,1,44.0,61.0,4.0,8.0,-2.0
14,2018-04-13,SEA,0,0,60.0,67.0,5.0,8.0,1.0
15,2018-04-14,SEA,0,0,64.0,74.0,5.0,9.0,-1.0
16,2018-04-15,SEA,0,1,72.0,84.0,5.0,10.0,-2.0
17,2018-04-16,CHW,1,1,74.0,85.0,6.0,10.0,1.0
18,2018-04-17,CHW,1,1,82.0,86.0,7.0,10.0,2.0
19,2018-04-18,CHW,1,1,92.0,88.0,8.0,10.0,3.0
20,2018-04-20,BOS,1,0,104.0,99.0,9.0,10.0,4.0
21,2018-04-21,BOS,1,1,107.0,106.0,9.0,11.0,-1.0
22,2018-04-22,BOS,1,1,110.0,106.0,10.0,11.0,1.0
23,2018-04-23,TEX,0,1,114.0,107.0,11.0,11.0,2.0
24,2018-04-24,TEX,0,1,123.0,111.0,12.0,11.0,3.0
25,2018-04-25,TEX,0,0,126.0,113.0,13.0,11.0,4.0
26,2018-04-27,HOU,0,1,128.0,117.0,13.0,12.0,-1.0
27,2018-04-28,HOU,0,0,136.0,118.0,14.0,12.0,1.0
28,2018-04-29,HOU,0,0,136.0,129.0,14.0,13.0,-1.0
29,2018-05-01,SEA,0,0,140.0,137.0,14.0,14.0,-2.0
30,2018-05-02,SEA,0,1,143.0,143.0,14.0,15.0,-3.0
31,2018-05-03,SEA,0,0,146.0,145.0,15.0,15.0,1.0
32,2018-05-04,BAL,1,1,147.0,149.0,15.0,16.0,-1.0
33,2018-05-05,BAL,1,1,153.0,153.0,16.0,16.0,1.0
34,2018-05-06,BAL,1,1,155.0,153.0,17.0,16.0,2.0
35,2018-05-07,HOU,1,0,157.0,154.0,18.0,16.0,3.0
36,2018-05-08,HOU,1,0,159.0,170.0,18.0,17.0,-1.0
37,2018-05-09,HOU,1,0,161.0,174.0,18.0,18.0,-2.0
38,2018-05-11,NYY,0,1,162.0,178.0,18.0,19.0,-3.0
39,2018-05-12,NYY,0,0,172.0,183.0,19.0,19.0,1.0
40,2018-05-13,NYY,0,0,178.0,190.0,19.0,20.0,-1.0
41,2018-05-14,BOS,0,1,180.0,196.0,19.0,21.0,-2.0
42,2018-05-15,BOS,0,1,186.0,201.0,20.0,21.0,1.0
43,2018-05-16,BOS,0,0,191.0,204.0,21.0,21.0,2.0
44,2018-05-17,TOR,0,1,195.0,210.0,21.0,22.0,-1.0
45,2018-05-18,TOR,0,1,205.0,215.0,22.0,22.0,1.0
46,2018-05-19,TOR,0,1,208.0,216.0,23.0,22.0,2.0
47,2018-05-20,TOR,0,1,213.0,220.0,24.0,22.0,3.0
48,2018-05-22,SEA,1,0,222.0,222.0,25.0,22.0,4.0
49,2018-05-23,SEA,1,0,224.0,225.0,25.0,23.0,-1.0
50,2018-05-24,SEA,1,1,224.0,226.0,25.0,24.0,-2.0
51,2018-05-25,ARI,1,0,228.0,229.0,26.0,24.0,1.0
52,2018-05-26,ARI,1,1,229.0,236.0,26.0,25.0,-1.0
53,2018-05-27,ARI,1,1,232.0,236.0,27.0,25.0,1.0
54,2018-05-28,TBR,1,0,234.0,237.0,28.0,25.0,2.0
55,2018-05-29,TBR,1,0,234.0,238.0,28.0,26.0,-1.0
56,2018-05-30,TBR,1,0,237.0,242.0,28.0,27.0,-2.0
57,2018-05-31,TBR,1,1,237.0,248.0,28.0,28.0,-3.0
58,2018-06-01,KCR,0,1,244.0,251.0,29.0,28.0,1.0
59,2018-06-02,KCR,0,0,260.0,251.0,30.0,28.0,2.0
60,2018-06-03,KCR,0,1,264.0,256.0,30.0,29.0,-1.0
61,2018-06-05,TEX,0,0,269.0,257.0,31.0,29.0,1.0
62,2018-06-06,TEX,0,0,273.0,264.0,31.0,30.0,-1.0
63,2018-06-07,KCR,1,1,275.0,272.0,31.0,31.0,-2.0
64,2018-06-08,KCR,1,1,279.0,273.0,32.0,31.0,1.0
65,2018-06-09,KCR,1,0,286.0,275.0,33.0,31.0,2.0
66,2018-06-10,KCR,1,1,286.0,277.0,33.0,32.0,-1.0
67,2018-06-12,HOU,1,0,289.0,279.0,34.0,32.0,1.0
68,2018-06-13,HOU,1,0,292.0,285.0,34.0,33.0,-1.0
69,2018-06-14,HOU,1,0,297.0,298.0,34.0,34.0,-2.0
70,2018-06-15,LAA,1,0,300.0,305.0,34.0,35.0,-3.0
71,2018-06-16,LAA,1,1,304.0,313.0,34.0,36.0,-4.0
72,2018-06-17,LAA,1,1,310.0,317.0,35.0,36.0,1.0
73,2018-06-19,SDP,0,1,316.0,322.0,36.0,36.0,2.0
74,2018-06-20,SDP,0,1,320.0,324.0,37.0,36.0,3.0
75,2018-06-22,CHW,0,1,332.0,328.0,38.0,36.0,4.0
76,2018-06-22,CHW,0,0,343.0,330.0,39.0,36.0,5.0
77,2018-06-23,CHW,0,1,347.0,336.0,39.0,37.0,-1.0
78,2018-06-24,CHW,0,0,354.0,342.0,40.0,37.0,1.0
79,2018-06-25,DET,0,1,357.0,352.0,40.0,38.0,-1.0
80,2018-06-26,DET,0,1,362.0,356.0,41.0,38.0,1.0
81,2018-06-27,DET,0,1,371.0,363.0,42.0,38.0,2.0
82,2018-06-28,DET,0,1,374.0,363.0,43.0,38.0,3.0
83,2018-06-29,CLE,1,1,378.0,365.0,44.0,38.0,4.0
84,2018-06-30,CLE,1,1,381.0,366.0,45.0,38.0,5.0
85,2018-07-01,CLE,1,0,388.0,368.0,46.0,38.0,6.0
86,2018-07-03,SDP,1,1,391.0,383.0,46.0,39.0,-1.0
87,2018-07-04,SDP,1,1,397.0,385.0,47.0,39.0,1.0
88,2018-07-06,CLE,0,0,401.0,387.0,48.0,39.0,2.0
