Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,ATL,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,ATL,0,1,5.0,8.0,0.0,1.0,-1.0
3,2018-03-31,ATL,0,0,10.0,12.0,1.0,1.0,1.0
4,2018-04-03,NYM,0,0,12.0,27.0,1.0,2.0,-1.0
5,2018-04-04,NYM,0,0,12.0,29.0,1.0,3.0,-2.0
6,2018-04-05,MIA,1,1,14.0,33.0,1.0,4.0,-3.0
7,2018-04-07,MIA,1,1,19.0,33.0,2.0,4.0,1.0
8,2018-04-08,MIA,1,0,39.0,34.0,3.0,4.0,2.0
9,2018-04-09,CIN,1,1,42.0,40.0,3.0,5.0,-1.0
10,2018-04-10,CIN,1,1,48.0,45.0,4.0,5.0,1.0
11,2018-04-11,CIN,1,1,54.0,46.0,5.0,5.0,2.0
12,2018-04-13,TBR,0,1,58.0,49.0,6.0,5.0,3.0
13,2018-04-14,TBR,0,1,60.0,50.0,7.0,5.0,4.0
14,2018-04-15,TBR,0,1,69.0,54.0,8.0,5.0,5.0
15,2018-04-16,ATL,0,0,79.0,58.0,9.0,5.0,6.0
16,2018-04-17,ATL,0,1,80.0,60.0,9.0,6.0,-1.0
17,2018-04-18,ATL,0,0,85.0,61.0,10.0,6.0,1.0
18,2018-04-19,PIT,1,1,88.0,68.0,10.0,7.0,-1.0
19,2018-04-20,PIT,1,1,95.0,68.0,11.0,7.0,1.0
20,2018-04-21,PIT,1,1,97.0,69.0,12.0,7.0,2.0
21,2018-04-22,PIT,1,1,103.0,71.0,13.0,7.0,3.0
22,2018-04-24,ARI,1,0,106.0,73.0,14.0,7.0,4.0
23,2018-04-25,ARI,1,1,110.0,81.0,14.0,8.0,-1.0
24,2018-04-26,ARI,1,0,115.0,84.0,15.0,8.0,1.0
25,2018-04-27,ATL,1,1,117.0,92.0,15.0,9.0,-1.0
26,2018-04-28,ATL,1,0,124.0,95.0,16.0,9.0,1.0
27,2018-04-29,ATL,1,0,125.0,99.0,16.0,10.0,-1.0
28,2018-04-30,MIA,0,0,126.0,109.0,16.0,11.0,-2.0
29,2018-05-01,MIA,0,0,130.0,117.0,16.0,12.0,-3.0
30,2018-05-02,MIA,0,1,131.0,119.0,16.0,13.0,-4.0
31,2018-05-04,WSN,0,0,137.0,119.0,17.0,13.0,1.0
32,2018-05-05,WSN,0,1,140.0,126.0,17.0,14.0,-1.0
33,2018-05-06,WSN,0,0,143.0,127.0,18.0,14.0,1.0
34,2018-05-07,SFG,1,1,147.0,132.0,18.0,15.0,-1.0
35,2018-05-08,SFG,1,1,158.0,132.0,19.0,15.0,1.0
36,2018-05-09,SFG,1,1,162.0,134.0,20.0,15.0,2.0
37,2018-05-10,SFG,1,1,173.0,137.0,21.0,15.0,3.0
38,2018-05-11,NYM,1,0,179.0,140.0,22.0,15.0,4.0
39,2018-05-13,NYM,1,1,180.0,143.0,22.0,16.0,-1.0
40,2018-05-16,BAL,0,1,184.0,145.0,23.0,16.0,1.0
41,2018-05-17,STL,0,1,188.0,146.0,24.0,16.0,2.0
42,2018-05-18,STL,0,0,194.0,148.0,25.0,16.0,3.0
43,2018-05-19,STL,0,1,198.0,160.0,25.0,17.0,-1.0
44,2018-05-20,STL,0,0,205.0,166.0,26.0,17.0,1.0
45,2018-05-21,ATL,1,1,206.0,171.0,26.0,18.0,-1.0
46,2018-05-22,ATL,1,0,209.0,171.0,27.0,18.0,1.0
47,2018-05-23,ATL,1,1,210.0,174.0,27.0,19.0,-1.0
48,2018-05-25,TOR,1,0,214.0,174.0,28.0,19.0,1.0
49,2018-05-26,TOR,1,1,219.0,180.0,28.0,20.0,-1.0
50,2018-05-27,TOR,1,0,221.0,181.0,29.0,20.0,1.0
51,2018-05-28,LAD,0,0,224.0,186.0,29.0,21.0,-1.0
52,2018-05-29,LAD,0,1,228.0,191.0,29.0,22.0,-2.0
53,2018-05-30,LAD,0,0,234.0,192.0,30.0,22.0,1.0
54,2018-05-31,LAD,0,1,236.0,200.0,30.0,23.0,-1.0
55,2018-06-01,SFG,0,0,238.0,201.0,31.0,23.0,1.0
56,2018-06-02,SFG,0,0,238.0,205.0,31.0,24.0,-1.0
57,2018-06-03,SFG,0,0,238.0,207.0,31.0,25.0,-2.0
58,2018-06-05,CHC,0,1,239.0,213.0,31.0,26.0,-3.0
59,2018-06-06,CHC,0,0,245.0,214.0,32.0,26.0,1.0
60,2018-06-07,CHC,0,0,250.0,221.0,32.0,27.0,-1.0
61,2018-06-08,MIL,1,0,253.0,225.0,32.0,28.0,-2.0
62,2018-06-09,MIL,1,0,257.0,237.0,32.0,29.0,-3.0
