Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,DET,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-04-01,DET,0,1,13.0,10.0,1.0,0.0,1.0
3,2018-04-01,DET,0,1,14.0,10.0,2.0,0.0,2.0
4,2018-04-02,MIN,1,1,22.0,16.0,3.0,0.0,3.0
5,2018-04-04,MIN,1,0,27.0,20.0,4.0,0.0,4.0
6,2018-04-05,CIN,1,1,30.0,27.0,4.0,1.0,-1.0
7,2018-04-06,CIN,1,1,35.0,29.0,5.0,1.0,1.0
8,2018-04-07,CIN,1,0,49.0,32.0,6.0,1.0,2.0
9,2018-04-08,CIN,1,1,53.0,39.0,6.0,2.0,-1.0
10,2018-04-10,CHC,0,1,58.0,39.0,7.0,2.0,1.0
11,2018-04-11,CHC,0,0,66.0,44.0,8.0,2.0,2.0
12,2018-04-12,CHC,0,1,71.0,57.0,8.0,3.0,-1.0
13,2018-04-13,MIA,0,0,77.0,58.0,9.0,3.0,1.0
14,2018-04-14,MIA,0,1,79.0,65.0,9.0,4.0,-1.0
15,2018-04-15,MIA,0,1,80.0,65.0,10.0,4.0,1.0
16,2018-04-16,COL,1,0,87.0,68.0,11.0,4.0,2.0
17,2018-04-17,COL,1,0,89.0,74.0,11.0,5.0,-1.0
18,2018-04-18,COL,1,1,89.0,76.0,11.0,6.0,-2.0
19,2018-04-19,PHI,0,0,99.0,78.0,12.0,6.0,1.0
20,2018-04-20,PHI,0,0,99.0,85.0,12.0,7.0,-1.0
21,2018-04-21,PHI,0,0,100.0,87.0,12.0,8.0,-2.0
22,2018-04-22,PHI,0,0,102.0,93.0,12.0,9.0,-3.0
23,2018-04-25,DET,1,0,104.0,96.0,12.0,10.0,-4.0
24,2018-04-25,DET,1,1,114.0,109.0,12.0,11.0,-5.0
25,2018-04-26,DET,1,1,122.0,112.0,13.0,11.0,1.0
26,2018-04-27,STL,1,1,123.0,112.0,14.0,11.0,2.0
