Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIL,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,MIL,1,0,1.0,2.0,0.0,1.0,-1.0
3,2018-03-31,MIL,1,0,7.0,10.0,0.0,2.0,-2.0
4,2018-04-02,COL,1,0,10.0,17.0,0.0,3.0,-3.0
5,2018-04-03,COL,1,1,14.0,24.0,0.0,4.0,-4.0
6,2018-04-04,COL,1,0,22.0,28.0,1.0,4.0,1.0
7,2018-04-05,COL,1,0,24.0,33.0,1.0,5.0,-1.0
8,2018-04-06,HOU,0,1,25.0,36.0,1.0,6.0,-2.0
9,2018-04-07,HOU,0,0,29.0,37.0,2.0,6.0,1.0
10,2018-04-08,HOU,0,0,29.0,38.0,2.0,7.0,-1.0
11,2018-04-09,COL,0,1,30.0,42.0,2.0,8.0,-2.0
12,2018-04-10,COL,0,1,37.0,48.0,3.0,8.0,1.0
13,2018-04-11,COL,0,0,42.0,50.0,4.0,8.0,2.0
14,2018-04-12,SFG,1,0,46.0,56.0,4.0,9.0,-1.0
15,2018-04-13,SFG,1,1,46.0,63.0,4.0,10.0,-2.0
16,2018-04-14,SFG,1,1,51.0,64.0,5.0,10.0,1.0
17,2018-04-15,SFG,1,1,56.0,68.0,6.0,10.0,2.0
18,2018-04-16,LAD,1,0,66.0,69.0,7.0,10.0,3.0
19,2018-04-17,LAD,1,0,69.0,79.0,7.0,11.0,-1.0
20,2018-04-18,LAD,1,0,72.0,86.0,7.0,12.0,-2.0
21,2018-04-20,ARI,0,1,76.0,99.0,7.0,13.0,-3.0
22,2018-04-21,ARI,0,0,80.0,100.0,8.0,13.0,1.0
23,2018-04-22,ARI,0,0,82.0,106.0,8.0,14.0,-1.0
24,2018-04-23,COL,0,1,84.0,110.0,8.0,15.0,-2.0
25,2018-04-24,COL,0,0,97.0,115.0,9.0,15.0,1.0
26,2018-04-25,COL,0,0,97.0,123.0,9.0,16.0,-1.0
27,2018-04-27,NYM,1,0,99.0,128.0,9.0,17.0,-2.0
28,2018-04-28,NYM,1,1,100.0,133.0,9.0,18.0,-3.0
29,2018-04-29,NYM,1,0,112.0,135.0,10.0,18.0,1.0
30,2018-04-30,SFG,0,0,114.0,149.0,10.0,19.0,-1.0
