Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CLE,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,CLE,1,0,2.0,1.0,1.0,0.0,1.0
3,2018-04-01,CLE,1,1,7.0,7.0,1.0,1.0,-1.0
4,2018-04-03,SFG,0,1,12.0,11.0,2.0,1.0,1.0
5,2018-04-04,SFG,0,0,18.0,15.0,3.0,1.0,2.0
6,2018-04-05,MIN,0,0,19.0,25.0,3.0,2.0,-1.0
7,2018-04-07,MIN,0,1,21.0,29.0,3.0,3.0,-2.0
8,2018-04-09,KCR,0,0,32.0,33.0,4.0,3.0,1.0
9,2018-04-10,KCR,0,1,32.0,43.0,4.0,4.0,-1.0
10,2018-04-11,KCR,0,1,40.0,46.0,5.0,4.0,1.0
11,2018-04-13,OAK,1,1,44.0,48.0,6.0,4.0,2.0
12,2018-04-14,OAK,1,1,51.0,52.0,7.0,4.0,3.0
13,2018-04-15,OAK,1,0,61.0,60.0,8.0,4.0,4.0
14,2018-04-16,HOU,1,1,62.0,62.0,8.0,5.0,-1.0
15,2018-04-17,HOU,1,0,64.0,63.0,9.0,5.0,1.0
16,2018-04-18,HOU,1,0,65.0,67.0,9.0,6.0,-1.0
17,2018-04-19,HOU,1,0,66.0,74.0,9.0,7.0,-2.0
18,2018-04-20,TEX,0,1,68.0,83.0,9.0,8.0,-3.0
19,2018-04-21,TEX,0,1,74.0,85.0,10.0,8.0,1.0
20,2018-04-22,TEX,0,0,83.0,92.0,11.0,8.0,2.0
21,2018-04-23,CHW,0,0,87.0,99.0,11.0,9.0,-1.0
22,2018-04-24,CHW,0,1,91.0,109.0,11.0,10.0,-2.0
23,2018-04-25,CHW,0,1,92.0,109.0,12.0,10.0,1.0
24,2018-04-26,CLE,0,1,96.0,112.0,13.0,10.0,2.0
25,2018-04-27,CLE,0,0,101.0,116.0,14.0,10.0,3.0
26,2018-04-28,CLE,0,1,106.0,122.0,14.0,11.0,-1.0
27,2018-04-29,CLE,0,1,118.0,126.0,15.0,11.0,1.0
28,2018-05-01,OAK,1,1,128.0,130.0,16.0,11.0,2.0
29,2018-05-02,OAK,1,0,134.0,133.0,17.0,11.0,3.0
30,2018-05-03,OAK,1,1,136.0,136.0,17.0,12.0,-1.0
31,2018-05-04,LAA,1,0,140.0,137.0,18.0,12.0,1.0
32,2018-05-05,LAA,1,1,140.0,142.0,18.0,13.0,-1.0
