Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,LAD,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,LAD,0,1,1.0,0.0,1.0,0.0,1.0
3,2018-03-31,LAD,0,0,2.0,0.0,2.0,0.0,2.0
4,2018-04-01,LAD,0,0,2.0,5.0,2.0,1.0,-1.0
5,2018-04-03,SEA,1,0,2.0,14.0,2.0,2.0,-2.0
6,2018-04-04,SEA,1,1,6.0,20.0,2.0,3.0,-3.0
7,2018-04-07,LAD,1,1,16.0,21.0,3.0,3.0,1.0
8,2018-04-08,LAD,1,0,23.0,26.0,4.0,3.0,2.0
9,2018-04-09,ARI,1,0,24.0,28.0,4.0,4.0,-1.0
10,2018-04-10,ARI,1,1,25.0,30.0,4.0,5.0,-2.0
11,2018-04-11,ARI,1,0,30.0,34.0,5.0,5.0,1.0
12,2018-04-12,SDP,0,1,33.0,41.0,5.0,6.0,-1.0
13,2018-04-13,SDP,0,0,40.0,41.0,6.0,6.0,1.0
14,2018-04-14,SDP,0,0,41.0,46.0,6.0,7.0,-1.0
15,2018-04-15,SDP,0,0,45.0,51.0,6.0,8.0,-2.0
16,2018-04-17,ARI,0,0,46.0,61.0,6.0,9.0,-3.0
17,2018-04-18,ARI,0,1,46.0,62.0,6.0,10.0,-4.0
18,2018-04-19,ARI,0,0,50.0,65.0,7.0,10.0,1.0
19,2018-04-20,LAA,0,1,51.0,68.0,7.0,11.0,-1.0
20,2018-04-21,LAA,0,0,59.0,69.0,8.0,11.0,1.0
21,2018-04-22,LAA,0,1,62.0,73.0,8.0,12.0,-1.0
22,2018-04-23,WSN,1,1,66.0,75.0,9.0,12.0,1.0
23,2018-04-24,WSN,1,1,70.0,77.0,10.0,12.0,2.0
24,2018-04-25,WSN,1,0,74.0,80.0,11.0,12.0,3.0
25,2018-04-27,LAD,1,1,76.0,95.0,11.0,13.0,-1.0
26,2018-04-28,LAD,1,0,82.0,99.0,12.0,13.0,1.0
27,2018-04-28,LAD,1,1,88.0,114.0,12.0,14.0,-1.0
28,2018-04-29,LAD,1,1,96.0,117.0,13.0,14.0,1.0
29,2018-04-30,SDP,1,1,100.0,119.0,14.0,14.0,2.0
30,2018-05-01,SDP,1,0,106.0,124.0,15.0,14.0,3.0
31,2018-05-02,SDP,1,1,108.0,127.0,15.0,15.0,-1.0
32,2018-05-04,ATL,0,1,117.0,131.0,16.0,15.0,1.0
33,2018-05-05,ATL,0,1,126.0,135.0,17.0,15.0,2.0
34,2018-05-06,ATL,0,1,137.0,137.0,18.0,15.0,3.0
35,2018-05-07,PHI,0,0,141.0,140.0,19.0,15.0,4.0
36,2018-05-08,PHI,0,0,141.0,151.0,19.0,16.0,-1.0
37,2018-05-09,PHI,0,0,143.0,155.0,19.0,17.0,-2.0
38,2018-05-10,PHI,0,0,146.0,166.0,19.0,18.0,-3.0
39,2018-05-11,PIT,0,0,149.0,172.0,19.0,19.0,-4.0
40,2018-05-12,PIT,0,0,151.0,183.0,19.0,20.0,-5.0
41,2018-05-13,PIT,0,1,156.0,189.0,19.0,21.0,-6.0
42,2018-05-14,CIN,1,1,161.0,189.0,20.0,21.0,1.0
43,2018-05-15,CIN,1,1,171.0,196.0,21.0,21.0,2.0
44,2018-05-16,CIN,1,0,176.0,199.0,22.0,21.0,3.0
45,2018-05-17,COL,1,0,179.0,205.0,22.0,22.0,-1.0
46,2018-05-18,COL,1,0,182.0,210.0,22.0,23.0,-2.0
47,2018-05-19,COL,1,1,183.0,216.0,22.0,24.0,-3.0
48,2018-05-20,COL,1,1,192.0,220.0,23.0,24.0,1.0
49,2018-05-22,HOU,0,0,201.0,225.0,24.0,24.0,2.0
50,2018-05-23,HOU,0,0,203.0,236.0,24.0,25.0,-1.0
51,2018-05-25,CHC,0,0,204.0,240.0,24.0,26.0,-2.0
52,2018-05-26,CHC,0,1,206.0,246.0,24.0,27.0,-3.0
53,2018-05-27,CHC,0,0,211.0,250.0,25.0,27.0,1.0
54,2018-05-28,COL,0,0,214.0,258.0,25.0,28.0,-1.0
55,2018-05-29,COL,0,0,219.0,264.0,25.0,29.0,-2.0
56,2018-05-30,COL,0,1,223.0,275.0,25.0,30.0,-3.0
57,2018-06-01,PHI,1,1,230.0,279.0,26.0,30.0,1.0
58,2018-06-02,PHI,1,1,234.0,279.0,27.0,30.0,2.0
59,2018-06-03,PHI,1,1,236.0,279.0,28.0,30.0,3.0
60,2018-06-04,ARI,1,1,242.0,280.0,29.0,30.0,4.0
61,2018-06-05,ARI,1,0,252.0,283.0,30.0,30.0,5.0
62,2018-06-06,ARI,1,1,254.0,286.0,30.0,31.0,-1.0
63,2018-06-08,WSN,0,1,259.0,290.0,31.0,31.0,1.0
64,2018-06-09,WSN,0,0,268.0,295.0,32.0,31.0,2.0
65,2018-06-10,WSN,0,1,273.0,302.0,32.0,32.0,-1.0
66,2018-06-11,MIA,0,0,275.0,302.0,33.0,32.0,1.0
67,2018-06-12,MIA,0,0,280.0,309.0,33.0,33.0,-1.0
68,2018-06-13,MIA,0,0,281.0,312.0,33.0,34.0,-2.0
69,2018-06-14,MIA,0,1,285.0,317.0,33.0,35.0,-3.0
70,2018-06-15,LAD,0,0,291.0,320.0,34.0,35.0,1.0
71,2018-06-16,LAD,0,0,293.0,323.0,34.0,36.0,-1.0
72,2018-06-17,LAD,0,1,294.0,326.0,34.0,37.0,-2.0
73,2018-06-18,MIA,1,0,298.0,327.0,35.0,37.0,1.0
74,2018-06-19,MIA,1,1,302.0,332.0,35.0,38.0,-1.0
75,2018-06-20,MIA,1,1,308.0,335.0,36.0,38.0,1.0
76,2018-06-21,SDP,1,1,314.0,340.0,37.0,38.0,2.0
77,2018-06-22,SDP,1,0,317.0,340.0,38.0,38.0,3.0
78,2018-06-23,SDP,1,1,319.0,346.0,38.0,39.0,-1.0
79,2018-06-24,SDP,1,1,324.0,349.0,39.0,39.0,1.0
80,2018-06-26,COL,1,1,327.0,351.0,40.0,39.0,2.0
81,2018-06-27,COL,1,1,330.0,353.0,41.0,39.0,3.0
82,2018-06-28,COL,1,0,331.0,353.0,42.0,39.0,4.0
83,2018-06-29,ARI,0,1,339.0,362.0,42.0,40.0,-1.0
84,2018-06-30,ARI,0,1,341.0,363.0,43.0,40.0,1.0
85,2018-07-01,ARI,0,1,348.0,363.0,44.0,40.0,2.0
86,2018-07-02,COL,0,0,357.0,369.0,45.0,40.0,3.0
87,2018-07-03,COL,0,0,359.0,374.0,45.0,41.0,-1.0
88,2018-07-04,COL,0,0,360.0,382.0,45.0,42.0,-2.0
89,2018-07-05,STL,1,0,360.0,383.0,45.0,43.0,-3.0
90,2018-07-06,STL,1,1,362.0,394.0,45.0,44.0,-4.0
91,2018-07-07,STL,1,0,365.0,396.0,46.0,44.0,1.0
92,2018-07-08,STL,1,1,367.0,399.0,46.0,45.0,-1.0
93,2018-07-09,CHC,1,1,380.0,407.0,47.0,45.0,1.0
94,2018-07-10,CHC,1,0,382.0,408.0,48.0,45.0,2.0
95,2018-07-11,CHC,1,1,382.0,410.0,48.0,46.0,-1.0
96,2018-07-13,OAK,1,1,387.0,414.0,49.0,46.0,1.0
97,2018-07-14,OAK,1,0,394.0,415.0,50.0,46.0,2.0
98,2018-07-15,OAK,1,0,397.0,419.0,50.0,47.0,-1.0
99,2018-07-20,OAK,0,1,399.0,425.0,50.0,48.0,-2.0
100,2018-07-21,OAK,0,0,404.0,426.0,51.0,48.0,1.0
101,2018-07-22,OAK,0,0,407.0,430.0,51.0,49.0,-1.0
102,2018-07-24,SEA,0,1,412.0,436.0,51.0,50.0,-2.0
103,2018-07-25,SEA,0,0,416.0,439.0,52.0,50.0,1.0
104,2018-07-26,MIL,1,0,418.0,442.0,52.0,51.0,-1.0
105,2018-07-27,MIL,1,0,423.0,449.0,52.0,52.0,-2.0
106,2018-07-28,MIL,1,0,424.0,452.0,52.0,53.0,-3.0
107,2018-07-29,MIL,1,1,425.0,459.0,52.0,54.0,-4.0
108,2018-07-30,SDP,0,1,433.0,464.0,53.0,54.0,1.0
109,2018-07-31,SDP,0,1,438.0,467.0,54.0,54.0,2.0
110,2018-08-02,ARI,0,1,441.0,469.0,55.0,54.0,3.0
111,2018-08-03,ARI,0,0,449.0,470.0,56.0,54.0,4.0
112,2018-08-04,ARI,0,0,452.0,476.0,56.0,55.0,-1.0
113,2018-08-05,ARI,0,1,455.0,485.0,56.0,56.0,-2.0
114,2018-08-06,HOU,1,0,458.0,487.0,57.0,56.0,1.0
115,2018-08-07,HOU,1,0,459.0,490.0,57.0,57.0,-1.0
116,2018-08-09,PIT,1,0,460.0,492.0,57.0,58.0,-2.0
117,2018-08-10,PIT,1,1,465.0,502.0,57.0,59.0,-3.0
118,2018-08-11,PIT,1,0,478.0,512.0,58.0,59.0,1.0
119,2018-08-12,PIT,1,1,478.0,516.0,58.0,60.0,-1.0
120,2018-08-13,LAD,0,1,482.0,519.0,59.0,60.0,1.0
121,2018-08-14,LAD,0,1,487.0,521.0,60.0,60.0,2.0
122,2018-08-15,LAD,0,0,489.0,522.0,61.0,60.0,3.0
123,2018-08-17,CIN,0,0,492.0,526.0,61.0,61.0,-1.0
124,2018-08-18,CIN,0,0,493.0,528.0,61.0,62.0,-2.0
125,2018-08-19,CIN,0,0,494.0,535.0,61.0,63.0,-3.0
126,2018-08-20,NYM,0,1,498.0,546.0,61.0,64.0,-4.0
127,2018-08-21,NYM,0,0,500.0,547.0,62.0,64.0,1.0
128,2018-08-22,NYM,0,0,503.0,553.0,62.0,65.0,-1.0
129,2018-08-23,NYM,0,1,506.0,558.0,62.0,66.0,-2.0
130,2018-08-24,TEX,1,0,509.0,559.0,63.0,66.0,1.0
131,2018-08-25,TEX,1,1,515.0,566.0,63.0,67.0,-1.0
132,2018-08-26,TEX,1,1,520.0,569.0,64.0,67.0,1.0
133,2018-08-27,ARI,1,1,523.0,570.0,65.0,67.0,2.0
134,2018-08-28,ARI,1,1,525.0,570.0,66.0,67.0,3.0
135,2018-08-29,ARI,1,0,526.0,570.0,67.0,67.0,4.0
136,2018-08-31,NYM,1,1,527.0,573.0,67.0,68.0,-1.0
137,2018-09-01,NYM,1,0,534.0,573.0,68.0,68.0,1.0
138,2018-09-02,NYM,1,0,535.0,575.0,68.0,69.0,-1.0
139,2018-09-03,COL,0,0,536.0,579.0,68.0,70.0,-2.0
140,2018-09-04,COL,0,0,544.0,588.0,68.0,71.0,-3.0
141,2018-09-05,COL,0,0,546.0,594.0,68.0,72.0,-4.0
142,2018-09-07,MIL,0,0,549.0,599.0,68.0,73.0,-5.0
143,2018-09-08,MIL,0,0,551.0,603.0,68.0,74.0,-6.0
144,2018-09-09,MIL,0,0,554.0,607.0,68.0,75.0,-7.0
145,2018-09-10,ATL,1,0,557.0,613.0,68.0,76.0,-8.0
146,2018-09-11,ATL,1,0,558.0,617.0,68.0,77.0,-9.0
147,2018-09-12,ATL,1,0,559.0,621.0,68.0,78.0,-10.0
148,2018-09-14,COL,1,1,560.0,623.0,68.0,79.0,-11.0
149,2018-09-15,COL,1,1,562.0,623.0,69.0,79.0,1.0
150,2018-09-16,COL,1,0,565.0,623.0,70.0,79.0,2.0
151,2018-09-17,SDP,0,1,567.0,626.0,70.0,80.0,-1.0
152,2018-09-18,SDP,0,1,571.0,628.0,71.0,80.0,1.0
153,2018-09-19,SDP,0,0,576.0,632.0,72.0,80.0,2.0
154,2018-09-21,STL,0,0,580.0,640.0,72.0,81.0,-1.0
155,2018-09-22,STL,0,0,583.0,645.0,72.0,82.0,-2.0
156,2018-09-23,STL,0,0,587.0,650.0,72.0,83.0,-3.0
157,2018-09-24,SDP,1,0,589.0,659.0,72.0,84.0,-4.0
158,2018-09-25,SDP,1,1,589.0,664.0,72.0,85.0,-5.0
159,2018-09-26,SDP,1,0,594.0,668.0,73.0,85.0,1.0
160,2018-09-28,LAD,1,0,596.0,671.0,73.0,86.0,-1.0
161,2018-09-29,LAD,1,0,597.0,674.0,73.0,87.0,-2.0
162,2018-09-30,LAD,1,0,603.0,684.0,73.0,88.0,-3.0
