Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,BOS,1,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,BOS,1,0,6.0,4.0,1.0,0.0,1.0
3,2018-03-31,BOS,1,0,6.0,5.0,1.0,1.0,-1.0
4,2018-04-01,BOS,1,0,8.0,8.0,1.0,2.0,-2.0
5,2018-04-03,NYY,0,0,9.0,10.0,1.0,3.0,-3.0
6,2018-04-04,NYY,0,0,13.0,21.0,1.0,4.0,-4.0
7,2018-04-05,BOS,0,0,15.0,28.0,1.0,5.0,-5.0
8,2018-04-07,BOS,0,0,17.0,31.0,1.0,6.0,-6.0
9,2018-04-08,BOS,0,0,20.0,41.0,1.0,7.0,-7.0
10,2018-04-09,CHW,0,1,27.0,49.0,1.0,8.0,-8.0
11,2018-04-10,CHW,0,1,32.0,53.0,2.0,8.0,1.0
12,2018-04-11,CHW,0,0,38.0,58.0,3.0,8.0,2.0
13,2018-04-13,PHI,1,0,39.0,60.0,3.0,9.0,-1.0
14,2018-04-14,PHI,1,0,40.0,62.0,3.0,10.0,-2.0
15,2018-04-15,PHI,1,0,44.0,71.0,3.0,11.0,-3.0
16,2018-04-16,TEX,1,1,48.0,81.0,3.0,12.0,-4.0
17,2018-04-17,TEX,1,0,56.0,85.0,4.0,12.0,1.0
18,2018-04-18,TEX,1,1,58.0,92.0,4.0,13.0,-1.0
19,2018-04-20,MIN,1,1,62.0,94.0,5.0,13.0,1.0
20,2018-04-21,MIN,1,1,70.0,101.0,6.0,13.0,2.0
21,2018-04-22,MIN,1,1,80.0,102.0,7.0,13.0,3.0
22,2018-04-25,BAL,0,1,88.0,108.0,8.0,13.0,4.0
23,2018-04-26,BAL,0,1,96.0,112.0,9.0,13.0,5.0
24,2018-04-27,BOS,0,1,105.0,117.0,10.0,13.0,6.0
25,2018-04-28,BOS,0,1,109.0,120.0,11.0,13.0,7.0
26,2018-04-29,BOS,0,0,121.0,126.0,12.0,13.0,8.0
27,2018-04-30,DET,0,1,124.0,130.0,12.0,14.0,-1.0
28,2018-05-01,DET,0,0,127.0,132.0,13.0,14.0,1.0
29,2018-05-02,DET,0,0,128.0,134.0,13.0,15.0,-1.0
30,2018-05-04,TOR,1,1,130.0,137.0,13.0,16.0,-2.0
31,2018-05-05,TOR,1,1,136.0,139.0,14.0,16.0,1.0
32,2018-05-06,TOR,1,0,141.0,142.0,15.0,16.0,2.0
33,2018-05-08,ATL,1,0,142.0,144.0,15.0,17.0,-1.0
34,2018-05-09,ATL,1,0,142.0,145.0,15.0,18.0,-2.0
35,2018-05-11,BAL,0,0,144.0,150.0,15.0,19.0,-3.0
36,2018-05-12,BAL,0,0,148.0,159.0,15.0,20.0,-4.0
37,2018-05-12,BAL,0,1,151.0,165.0,15.0,21.0,-5.0
38,2018-05-13,BAL,0,0,161.0,168.0,16.0,21.0,1.0
39,2018-05-14,KCR,0,1,162.0,185.0,16.0,22.0,-1.0
40,2018-05-15,KCR,0,1,164.0,186.0,17.0,22.0,1.0
41,2018-05-16,KCR,0,1,170.0,191.0,18.0,22.0,2.0
42,2018-05-17,LAA,0,1,175.0,194.0,19.0,22.0,3.0
43,2018-05-18,LAA,0,1,182.0,195.0,20.0,22.0,4.0
44,2018-05-19,LAA,0,1,190.0,198.0,21.0,22.0,5.0
45,2018-05-20,LAA,0,0,195.0,201.0,22.0,22.0,6.0
46,2018-05-22,BOS,1,0,197.0,206.0,22.0,23.0,-1.0
47,2018-05-23,BOS,1,0,199.0,210.0,22.0,24.0,-2.0
48,2018-05-24,BOS,1,1,200.0,214.0,22.0,25.0,-3.0
49,2018-05-25,BAL,1,0,206.0,217.0,23.0,25.0,1.0
50,2018-05-26,BAL,1,1,206.0,219.0,23.0,26.0,-1.0
51,2018-05-27,BAL,1,1,211.0,220.0,24.0,26.0,1.0
52,2018-05-28,OAK,0,1,219.0,223.0,25.0,26.0,2.0
53,2018-05-29,OAK,0,1,220.0,223.0,26.0,26.0,3.0
54,2018-05-30,OAK,0,1,224.0,226.0,27.0,26.0,4.0
55,2018-05-31,OAK,0,0,230.0,226.0,28.0,26.0,5.0
56,2018-06-01,SEA,0,0,233.0,233.0,28.0,27.0,-1.0
57,2018-06-02,SEA,0,0,236.0,237.0,28.0,28.0,-2.0
58,2018-06-03,SEA,0,0,237.0,240.0,28.0,29.0,-3.0
59,2018-06-05,WSN,0,0,238.0,242.0,28.0,30.0,-4.0
60,2018-06-06,WSN,0,0,240.0,246.0,28.0,31.0,-5.0
61,2018-06-07,SEA,1,0,242.0,257.0,28.0,32.0,-6.0
62,2018-06-08,SEA,1,0,246.0,262.0,28.0,33.0,-7.0
63,2018-06-09,SEA,1,1,249.0,266.0,28.0,34.0,-8.0
64,2018-06-10,SEA,1,0,256.0,269.0,29.0,34.0,1.0
65,2018-06-11,TOR,1,1,260.0,274.0,29.0,35.0,-1.0
66,2018-06-12,TOR,1,1,268.0,278.0,30.0,35.0,1.0
67,2018-06-13,TOR,1,1,272.0,279.0,31.0,35.0,2.0
68,2018-06-14,NYY,0,0,273.0,279.0,32.0,35.0,3.0
69,2018-06-15,NYY,0,0,276.0,283.0,32.0,36.0,-1.0
70,2018-06-16,NYY,0,0,276.0,288.0,32.0,37.0,-2.0
71,2018-06-17,NYY,0,1,277.0,292.0,32.0,38.0,-3.0
72,2018-06-18,HOU,0,0,280.0,293.0,33.0,38.0,1.0
73,2018-06-19,HOU,0,1,284.0,298.0,33.0,39.0,-1.0
74,2018-06-20,HOU,0,0,286.0,299.0,34.0,39.0,1.0
75,2018-06-22,NYY,1,1,287.0,304.0,34.0,40.0,-1.0
76,2018-06-23,NYY,1,1,289.0,305.0,35.0,40.0,1.0
77,2018-06-24,NYY,1,1,293.0,305.0,36.0,40.0,2.0
78,2018-06-25,WSN,1,1,300.0,311.0,37.0,40.0,3.0
79,2018-06-26,WSN,1,1,311.0,311.0,38.0,40.0,4.0
80,2018-06-28,HOU,1,0,312.0,311.0,39.0,40.0,5.0
81,2018-06-29,HOU,1,1,312.0,312.0,39.0,41.0,-1.0
82,2018-06-30,HOU,1,1,315.0,314.0,40.0,41.0,1.0
83,2018-07-01,HOU,1,1,320.0,316.0,41.0,41.0,2.0
84,2018-07-02,MIA,0,0,323.0,318.0,42.0,41.0,3.0
85,2018-07-03,MIA,0,1,325.0,321.0,42.0,42.0,-1.0
86,2018-07-04,MIA,0,0,334.0,327.0,43.0,42.0,1.0
87,2018-07-06,NYM,0,0,334.0,330.0,43.0,43.0,-1.0
88,2018-07-07,NYM,0,1,335.0,335.0,43.0,44.0,-2.0
89,2018-07-08,NYM,0,1,338.0,335.0,44.0,44.0,1.0
90,2018-07-09,DET,1,1,347.0,335.0,45.0,44.0,2.0
91,2018-07-10,DET,1,1,357.0,344.0,46.0,44.0,3.0
92,2018-07-11,DET,1,1,362.0,346.0,47.0,44.0,4.0
93,2018-07-12,MIN,0,0,366.0,348.0,48.0,44.0,5.0
94,2018-07-13,MIN,0,0,367.0,353.0,48.0,45.0,-1.0
95,2018-07-14,MIN,0,1,375.0,364.0,48.0,46.0,-2.0
96,2018-07-15,MIN,0,0,394.0,370.0,49.0,46.0,1.0
97,2018-07-20,MIA,1,0,401.0,381.0,49.0,47.0,-1.0
98,2018-07-21,MIA,1,0,406.0,387.0,49.0,48.0,-2.0
99,2018-07-22,MIA,1,1,408.0,390.0,49.0,49.0,-3.0
100,2018-07-23,NYY,1,1,414.0,394.0,50.0,49.0,1.0
101,2018-07-24,NYY,1,0,421.0,400.0,51.0,49.0,2.0
102,2018-07-25,NYY,1,1,421.0,404.0,51.0,50.0,-1.0
103,2018-07-26,BAL,0,1,424.0,406.0,52.0,50.0,1.0
104,2018-07-27,BAL,0,0,428.0,409.0,53.0,50.0,2.0
105,2018-07-28,BAL,0,0,433.0,424.0,53.0,51.0,-1.0
106,2018-07-29,BAL,0,0,435.0,435.0,53.0,52.0,-2.0
107,2018-07-31,LAA,1,1,440.0,446.0,53.0,53.0,-3.0
108,2018-08-01,LAA,1,1,450.0,452.0,54.0,53.0,1.0
109,2018-08-02,LAA,1,1,457.0,454.0,55.0,53.0,2.0
110,2018-08-03,CHW,1,0,461.0,456.0,56.0,53.0,3.0
