Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,HOU,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,HOU,1,1,1.0,4.0,0.0,1.0,-1.0
3,2018-03-31,HOU,1,0,6.0,5.0,1.0,1.0,1.0
4,2018-04-01,HOU,1,0,9.0,14.0,1.0,2.0,-1.0
5,2018-04-02,OAK,0,0,11.0,22.0,1.0,3.0,-2.0
6,2018-04-03,OAK,0,1,12.0,25.0,1.0,4.0,-3.0
7,2018-04-04,OAK,0,0,16.0,26.0,2.0,4.0,1.0
8,2018-04-05,OAK,0,1,18.0,32.0,2.0,5.0,-1.0
9,2018-04-06,TOR,1,0,24.0,35.0,3.0,5.0,1.0
10,2018-04-07,TOR,1,1,29.0,43.0,3.0,6.0,-1.0
11,2018-04-08,TOR,1,0,34.0,44.0,4.0,6.0,1.0
12,2018-04-09,LAA,1,0,38.0,51.0,4.0,7.0,-1.0
13,2018-04-10,LAA,1,0,41.0,59.0,4.0,8.0,-2.0
14,2018-04-11,LAA,1,0,42.0,70.0,4.0,9.0,-3.0
15,2018-04-13,HOU,0,0,44.0,77.0,4.0,10.0,-4.0
16,2018-04-14,HOU,0,1,46.0,80.0,4.0,11.0,-5.0
17,2018-04-15,HOU,0,1,52.0,85.0,5.0,11.0,1.0
18,2018-04-16,TBR,0,0,55.0,86.0,6.0,11.0,2.0
19,2018-04-17,TBR,0,1,59.0,94.0,6.0,12.0,-1.0
20,2018-04-18,TBR,0,0,66.0,96.0,7.0,12.0,1.0
21,2018-04-20,SEA,1,0,68.0,100.0,7.0,13.0,-1.0
22,2018-04-21,SEA,1,0,70.0,106.0,7.0,14.0,-2.0
23,2018-04-22,SEA,1,1,77.0,115.0,7.0,15.0,-3.0
24,2018-04-23,OAK,1,0,84.0,119.0,8.0,15.0,1.0
25,2018-04-24,OAK,1,0,88.0,128.0,8.0,16.0,-1.0
26,2018-04-25,OAK,1,1,90.0,131.0,8.0,17.0,-2.0
27,2018-04-27,TOR,0,1,94.0,133.0,9.0,17.0,1.0
28,2018-04-28,TOR,0,1,100.0,137.0,10.0,17.0,2.0
29,2018-04-29,TOR,0,0,107.0,141.0,11.0,17.0,3.0
30,2018-04-30,CLE,0,0,109.0,148.0,11.0,18.0,-1.0
31,2018-05-01,CLE,0,1,114.0,155.0,11.0,19.0,-2.0
32,2018-05-02,CLE,0,0,122.0,161.0,12.0,19.0,1.0
33,2018-05-03,BOS,1,1,126.0,173.0,12.0,20.0,-1.0
34,2018-05-04,BOS,1,0,137.0,178.0,13.0,20.0,1.0
35,2018-05-05,BOS,1,0,138.0,183.0,13.0,21.0,-1.0
36,2018-05-06,BOS,1,0,143.0,189.0,13.0,22.0,-2.0
37,2018-05-07,DET,1,1,144.0,195.0,13.0,23.0,-3.0
38,2018-05-08,DET,1,0,151.0,201.0,14.0,23.0,1.0
39,2018-05-09,DET,1,1,155.0,208.0,14.0,24.0,-1.0
40,2018-05-11,HOU,0,1,160.0,212.0,15.0,24.0,1.0
41,2018-05-12,HOU,0,0,161.0,212.0,16.0,24.0,2.0
42,2018-05-13,HOU,0,0,162.0,218.0,16.0,25.0,-1.0
43,2018-05-15,SEA,0,0,163.0,224.0,16.0,26.0,-2.0
44,2018-05-16,SEA,0,1,171.0,233.0,16.0,27.0,-3.0
45,2018-05-17,CHW,0,0,176.0,234.0,17.0,27.0,1.0
46,2018-05-18,CHW,0,1,178.0,238.0,17.0,28.0,-1.0
47,2018-05-19,CHW,0,0,190.0,243.0,18.0,28.0,1.0
48,2018-05-20,CHW,0,0,193.0,248.0,18.0,29.0,-1.0
49,2018-05-21,NYY,1,0,193.0,251.0,18.0,30.0,-2.0
50,2018-05-22,NYY,1,1,198.0,261.0,18.0,31.0,-3.0
51,2018-05-23,NYY,1,1,204.0,265.0,19.0,31.0,1.0
52,2018-05-24,KCR,1,0,216.0,275.0,20.0,31.0,2.0
53,2018-05-25,KCR,1,1,218.0,283.0,20.0,32.0,-1.0
54,2018-05-26,KCR,1,1,226.0,287.0,21.0,32.0,1.0
55,2018-05-27,KCR,1,0,230.0,290.0,22.0,32.0,2.0
56,2018-05-28,SEA,0,0,233.0,295.0,22.0,33.0,-1.0
57,2018-05-29,SEA,0,1,234.0,297.0,22.0,34.0,-2.0
58,2018-05-30,SEA,0,1,243.0,302.0,23.0,34.0,1.0
59,2018-05-31,SEA,0,0,250.0,308.0,24.0,34.0,2.0
60,2018-06-01,LAA,0,0,251.0,314.0,24.0,35.0,-1.0
61,2018-06-02,LAA,0,1,251.0,320.0,24.0,36.0,-2.0
62,2018-06-03,LAA,0,0,254.0,322.0,25.0,36.0,1.0
63,2018-06-05,OAK,1,1,255.0,325.0,25.0,37.0,-1.0
64,2018-06-06,OAK,1,1,262.0,329.0,26.0,37.0,1.0
65,2018-06-07,HOU,1,0,270.0,331.0,27.0,37.0,2.0
66,2018-06-08,HOU,1,0,272.0,336.0,27.0,38.0,-1.0
67,2018-06-09,HOU,1,0,275.0,343.0,27.0,39.0,-2.0
68,2018-06-10,HOU,1,0,278.0,347.0,27.0,40.0,-3.0
69,2018-06-12,LAD,0,0,285.0,355.0,27.0,41.0,-4.0
70,2018-06-13,LAD,0,0,290.0,367.0,27.0,42.0,-5.0
71,2018-06-15,COL,1,0,292.0,370.0,27.0,43.0,-6.0
72,2018-06-16,COL,1,1,297.0,379.0,27.0,44.0,-7.0
73,2018-06-17,COL,1,1,302.0,381.0,28.0,44.0,1.0
74,2018-06-18,KCR,0,1,315.0,393.0,29.0,44.0,2.0
75,2018-06-19,KCR,0,1,321.0,396.0,30.0,44.0,3.0
76,2018-06-20,KCR,0,1,325.0,397.0,31.0,44.0,4.0
77,2018-06-22,MIN,0,1,328.0,399.0,32.0,44.0,5.0
78,2018-06-23,MIN,0,1,336.0,400.0,33.0,44.0,6.0
79,2018-06-24,MIN,0,0,345.0,406.0,34.0,44.0,7.0
80,2018-06-25,SDP,1,1,345.0,408.0,34.0,45.0,-1.0
81,2018-06-26,SDP,1,0,352.0,412.0,35.0,45.0,1.0
82,2018-06-27,SDP,1,1,354.0,415.0,35.0,46.0,-1.0
83,2018-06-29,CHW,1,1,359.0,417.0,36.0,46.0,1.0
84,2018-06-30,CHW,1,1,370.0,420.0,37.0,46.0,2.0
85,2018-07-01,CHW,1,0,383.0,424.0,38.0,46.0,3.0
86,2018-07-03,HOU,1,0,388.0,434.0,38.0,47.0,-1.0
87,2018-07-04,HOU,1,0,391.0,439.0,38.0,48.0,-2.0
88,2018-07-05,DET,0,1,395.0,444.0,38.0,49.0,-3.0
89,2018-07-06,DET,0,0,402.0,449.0,39.0,49.0,1.0
90,2018-07-07,DET,0,0,403.0,452.0,39.0,50.0,-1.0
91,2018-07-08,DET,0,1,405.0,459.0,39.0,51.0,-2.0
92,2018-07-09,BOS,0,0,408.0,459.0,40.0,51.0,1.0
93,2018-07-10,BOS,0,0,408.0,464.0,40.0,52.0,-1.0
94,2018-07-11,BOS,0,0,412.0,472.0,40.0,53.0,-2.0
95,2018-07-13,BAL,0,1,414.0,476.0,40.0,54.0,-3.0
96,2018-07-14,BAL,0,0,419.0,480.0,41.0,54.0,1.0
97,2018-07-15,BAL,0,0,419.0,481.0,41.0,55.0,-1.0
98,2018-07-20,CLE,1,0,424.0,487.0,41.0,56.0,-2.0
99,2018-07-21,CLE,1,0,432.0,496.0,41.0,57.0,-3.0
100,2018-07-22,CLE,1,1,435.0,512.0,41.0,58.0,-4.0
101,2018-07-23,OAK,1,0,440.0,512.0,42.0,58.0,1.0
102,2018-07-24,OAK,1,0,443.0,527.0,42.0,59.0,-1.0
103,2018-07-25,OAK,1,0,453.0,540.0,42.0,60.0,-2.0
104,2018-07-26,OAK,1,0,458.0,546.0,42.0,61.0,-3.0
105,2018-07-27,HOU,0,1,464.0,553.0,42.0,62.0,-4.0
106,2018-07-28,HOU,0,1,475.0,555.0,43.0,62.0,1.0
107,2018-07-29,HOU,0,1,482.0,558.0,44.0,62.0,2.0
108,2018-07-30,ARI,0,1,486.0,561.0,45.0,62.0,3.0
109,2018-07-31,ARI,0,0,495.0,566.0,46.0,62.0,4.0
110,2018-08-02,BAL,1,1,495.0,572.0,46.0,63.0,-1.0
111,2018-08-03,BAL,1,1,512.0,580.0,47.0,63.0,1.0
112,2018-08-04,BAL,1,1,523.0,583.0,48.0,63.0,2.0
113,2018-08-05,BAL,1,0,526.0,584.0,49.0,63.0,3.0
114,2018-08-06,SEA,1,0,532.0,593.0,49.0,64.0,-1.0
115,2018-08-07,SEA,1,1,535.0,597.0,49.0,65.0,-2.0
116,2018-08-08,SEA,1,1,546.0,601.0,50.0,65.0,1.0
117,2018-08-09,NYY,0,0,557.0,608.0,51.0,65.0,2.0
118,2018-08-10,NYY,0,1,560.0,615.0,51.0,66.0,-1.0
119,2018-08-11,NYY,0,0,572.0,622.0,52.0,66.0,1.0
120,2018-08-12,NYY,0,0,575.0,627.0,52.0,67.0,-1.0
121,2018-08-13,ARI,1,1,577.0,634.0,52.0,68.0,-2.0
122,2018-08-14,ARI,1,0,582.0,637.0,53.0,68.0,1.0
123,2018-08-16,LAA,1,1,586.0,643.0,53.0,69.0,-1.0
124,2018-08-17,LAA,1,1,594.0,649.0,54.0,69.0,1.0
125,2018-08-18,LAA,1,0,600.0,653.0,55.0,69.0,2.0
126,2018-08-19,LAA,1,1,607.0,664.0,55.0,70.0,-1.0
127,2018-08-20,OAK,0,0,611.0,666.0,56.0,70.0,1.0
128,2018-08-21,OAK,0,0,611.0,675.0,56.0,71.0,-1.0
129,2018-08-22,OAK,0,1,611.0,681.0,56.0,72.0,-2.0
130,2018-08-24,SFG,0,1,615.0,683.0,57.0,72.0,1.0
131,2018-08-25,SFG,0,0,622.0,689.0,58.0,72.0,2.0
132,2018-08-26,SFG,0,0,625.0,694.0,58.0,73.0,-1.0
133,2018-08-28,LAD,1,0,626.0,697.0,58.0,74.0,-2.0
134,2018-08-29,LAD,1,0,630.0,705.0,58.0,75.0,-3.0
135,2018-08-31,MIN,1,0,631.0,708.0,58.0,76.0,-4.0
136,2018-09-01,MIN,1,1,638.0,718.0,58.0,77.0,-5.0
137,2018-09-02,MIN,1,1,645.0,722.0,59.0,77.0,1.0
138,2018-09-03,LAA,1,0,663.0,726.0,60.0,77.0,2.0
139,2018-09-04,LAA,1,1,664.0,729.0,60.0,78.0,-1.0
140,2018-09-05,LAA,1,0,668.0,731.0,61.0,78.0,1.0
141,2018-09-07,OAK,0,0,671.0,740.0,61.0,79.0,-1.0
142,2018-09-08,OAK,0,0,675.0,748.0,61.0,80.0,-2.0
143,2018-09-09,OAK,0,0,681.0,756.0,61.0,81.0,-3.0
144,2018-09-10,LAA,0,1,684.0,763.0,61.0,82.0,-4.0
145,2018-09-11,LAA,0,0,689.0,765.0,62.0,82.0,1.0
146,2018-09-12,LAA,0,0,689.0,766.0,62.0,83.0,-1.0
147,2018-09-14,SDP,0,1,690.0,774.0,62.0,84.0,-2.0
