Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,NYY,1,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-30,NYY,1,0,1.0,6.0,0.0,1.0,-1.0
3,2018-03-31,NYY,1,1,3.0,10.0,0.0,2.0,-2.0
4,2018-04-01,NYY,1,1,8.0,13.0,1.0,2.0,1.0
5,2018-04-02,CHW,1,1,15.0,17.0,2.0,2.0,2.0
6,2018-04-03,CHW,1,1,19.0,19.0,3.0,2.0,3.0
7,2018-04-04,CHW,1,0,33.0,24.0,4.0,2.0,4.0
8,2018-04-06,TEX,0,1,36.0,28.0,4.0,3.0,-1.0
9,2018-04-07,TEX,0,0,44.0,33.0,5.0,3.0,1.0
10,2018-04-08,TEX,0,1,45.0,38.0,5.0,4.0,-1.0
11,2018-04-09,BAL,0,1,52.0,42.0,6.0,4.0,1.0
12,2018-04-10,BAL,0,1,59.0,43.0,7.0,4.0,2.0
13,2018-04-11,BAL,0,0,61.0,44.0,8.0,4.0,3.0
14,2018-04-13,CLE,0,1,64.0,49.0,8.0,5.0,-1.0
15,2018-04-17,KCR,1,1,72.0,53.0,9.0,5.0,1.0
16,2018-04-17,KCR,1,1,83.0,56.0,10.0,5.0,2.0
17,2018-04-18,KCR,1,1,88.0,60.0,11.0,5.0,3.0
18,2018-04-19,NYY,0,0,103.0,65.0,12.0,5.0,4.0
19,2018-04-20,NYY,0,1,106.0,69.0,12.0,6.0,-1.0
20,2018-04-21,NYY,0,0,114.0,74.0,13.0,6.0,1.0
21,2018-04-22,NYY,0,0,115.0,83.0,13.0,7.0,-1.0
22,2018-04-24,BOS,1,1,116.0,88.0,13.0,8.0,-2.0
23,2018-04-25,BOS,1,0,120.0,91.0,14.0,8.0,1.0
24,2018-04-26,BOS,1,0,123.0,95.0,14.0,9.0,-1.0
25,2018-04-27,TEX,1,0,127.0,100.0,14.0,10.0,-2.0
26,2018-04-28,TEX,1,0,131.0,106.0,14.0,11.0,-3.0
27,2018-04-29,TEX,1,1,135.0,113.0,14.0,12.0,-4.0
28,2018-04-30,MIN,0,1,142.0,115.0,15.0,12.0,1.0
29,2018-05-01,MIN,0,1,149.0,120.0,16.0,12.0,2.0
30,2018-05-02,MIN,0,0,156.0,124.0,17.0,12.0,3.0
31,2018-05-03,CLE,0,1,156.0,128.0,17.0,13.0,-1.0
32,2018-05-03,CLE,0,0,169.0,139.0,18.0,13.0,1.0
33,2018-05-04,TBR,0,0,173.0,152.0,18.0,14.0,-1.0
34,2018-05-05,TBR,0,0,175.0,158.0,18.0,15.0,-2.0
35,2018-05-06,TBR,0,1,178.0,163.0,18.0,16.0,-3.0
36,2018-05-08,SEA,1,0,180.0,164.0,19.0,16.0,1.0
37,2018-05-09,SEA,1,1,180.0,169.0,19.0,17.0,-1.0
38,2018-05-10,SEA,1,0,185.0,171.0,20.0,17.0,1.0
39,2018-05-11,BOS,1,1,188.0,180.0,20.0,18.0,-1.0
40,2018-05-12,BOS,1,0,193.0,183.0,21.0,18.0,1.0
41,2018-05-13,BOS,1,0,195.0,188.0,21.0,19.0,-1.0
42,2018-05-15,NYM,0,0,198.0,193.0,21.0,20.0,-2.0
43,2018-05-16,NYM,0,1,200.0,205.0,21.0,21.0,-3.0
44,2018-05-17,OAK,1,0,212.0,206.0,22.0,21.0,1.0
45,2018-05-18,OAK,1,0,217.0,216.0,22.0,22.0,-1.0
46,2018-05-19,OAK,1,0,218.0,219.0,22.0,23.0,-2.0
47,2018-05-20,OAK,1,0,222.0,224.0,22.0,24.0,-3.0
48,2018-05-22,LAA,1,1,224.0,233.0,22.0,25.0,-4.0
49,2018-05-23,LAA,1,0,229.0,236.0,23.0,25.0,1.0
50,2018-05-24,LAA,1,0,233.0,241.0,23.0,26.0,-1.0
51,2018-05-25,PHI,0,1,234.0,249.0,23.0,27.0,-2.0
52,2018-05-26,PHI,0,0,240.0,254.0,24.0,27.0,1.0
53,2018-05-27,PHI,0,1,241.0,256.0,24.0,28.0,-1.0
54,2018-05-28,BOS,0,0,246.0,259.0,25.0,28.0,1.0
55,2018-05-29,BOS,0,0,249.0,267.0,25.0,29.0,-1.0
56,2018-05-30,BOS,0,0,252.0,275.0,25.0,30.0,-2.0
57,2018-06-01,DET,0,0,256.0,281.0,25.0,31.0,-3.0
58,2018-06-02,DET,0,0,258.0,286.0,25.0,32.0,-4.0
59,2018-06-03,DET,0,1,262.0,293.0,25.0,33.0,-5.0
60,2018-06-05,NYY,1,0,270.0,297.0,26.0,33.0,1.0
61,2018-06-06,NYY,1,0,272.0,304.0,26.0,34.0,-1.0
62,2018-06-07,BAL,1,1,272.0,307.0,26.0,35.0,-2.0
63,2018-06-08,BAL,1,1,277.0,311.0,27.0,35.0,1.0
64,2018-06-09,BAL,1,1,282.0,312.0,28.0,35.0,2.0
65,2018-06-10,BAL,1,1,286.0,315.0,29.0,35.0,3.0
66,2018-06-11,TBR,0,0,299.0,318.0,30.0,35.0,4.0
67,2018-06-12,TBR,0,0,303.0,326.0,30.0,36.0,-1.0
68,2018-06-13,TBR,0,0,304.0,330.0,30.0,37.0,-2.0
69,2018-06-15,WSN,1,1,304.0,331.0,30.0,38.0,-3.0
70,2018-06-16,WSN,1,1,310.0,336.0,31.0,38.0,1.0
71,2018-06-17,WSN,1,1,312.0,336.0,32.0,38.0,2.0
72,2018-06-19,ATL,1,0,320.0,342.0,33.0,38.0,3.0
73,2018-06-20,ATL,1,1,324.0,353.0,33.0,39.0,-1.0
74,2018-06-21,LAA,0,0,329.0,357.0,34.0,39.0,1.0
75,2018-06-22,LAA,0,0,334.0,365.0,34.0,40.0,-1.0
76,2018-06-23,LAA,0,1,335.0,367.0,34.0,41.0,-2.0
77,2018-06-24,LAA,0,1,339.0,368.0,35.0,41.0,1.0
78,2018-06-25,HOU,0,1,346.0,374.0,36.0,41.0,2.0
79,2018-06-26,HOU,0,0,352.0,377.0,37.0,41.0,3.0
80,2018-06-27,HOU,0,0,352.0,384.0,37.0,42.0,-1.0
81,2018-06-29,DET,1,1,358.0,391.0,37.0,43.0,-2.0
82,2018-06-30,DET,1,1,361.0,393.0,38.0,43.0,1.0
83,2018-07-01,DET,1,0,365.0,396.0,39.0,43.0,2.0
84,2018-07-02,DET,1,0,366.0,405.0,39.0,44.0,-1.0
85,2018-07-03,NYM,1,1,368.0,408.0,39.0,45.0,-2.0
86,2018-07-04,NYM,1,0,376.0,414.0,40.0,45.0,1.0
87,2018-07-06,NYY,1,1,379.0,420.0,40.0,46.0,-1.0
88,2018-07-07,NYY,1,0,385.0,422.0,41.0,46.0,1.0
89,2018-07-08,NYY,1,0,390.0,430.0,41.0,47.0,-1.0
90,2018-07-10,ATL,0,1,391.0,432.0,41.0,48.0,-2.0
91,2018-07-11,ATL,0,0,397.0,434.0,42.0,48.0,1.0
92,2018-07-12,BOS,0,0,402.0,443.0,42.0,49.0,-1.0
93,2018-07-13,BOS,0,1,406.0,449.0,42.0,50.0,-2.0
94,2018-07-14,BOS,0,0,419.0,456.0,43.0,50.0,1.0
95,2018-07-15,BOS,0,0,421.0,462.0,43.0,51.0,-1.0
96,2018-07-20,BAL,1,1,423.0,467.0,43.0,52.0,-2.0
97,2018-07-21,BAL,1,1,431.0,474.0,44.0,52.0,1.0
98,2018-07-22,BAL,1,1,435.0,475.0,45.0,52.0,2.0
99,2018-07-23,MIN,1,0,440.0,479.0,46.0,52.0,3.0
100,2018-07-24,MIN,1,0,443.0,487.0,46.0,53.0,-1.0
101,2018-07-25,MIN,1,0,443.0,492.0,46.0,54.0,-2.0
102,2018-07-27,CHW,0,1,449.0,504.0,46.0,55.0,-3.0
103,2018-07-28,CHW,0,0,459.0,509.0,47.0,55.0,1.0
104,2018-07-29,CHW,0,1,464.0,518.0,47.0,56.0,-1.0
105,2018-07-30,OAK,0,0,471.0,522.0,48.0,56.0,1.0
106,2018-07-31,OAK,0,0,472.0,532.0,48.0,57.0,-1.0
107,2018-08-01,OAK,0,0,474.0,538.0,48.0,58.0,-2.0
108,2018-08-02,SEA,0,1,477.0,546.0,48.0,59.0,-3.0
109,2018-08-03,SEA,0,1,484.0,549.0,49.0,59.0,1.0
110,2018-08-04,SEA,0,1,491.0,551.0,50.0,59.0,2.0
111,2018-08-05,SEA,0,0,496.0,552.0,51.0,59.0,3.0
112,2018-08-07,BOS,1,0,499.0,558.0,51.0,60.0,-1.0
113,2018-08-08,BOS,1,0,506.0,568.0,51.0,61.0,-2.0
114,2018-08-09,BOS,1,1,511.0,578.0,51.0,62.0,-3.0
115,2018-08-10,TBR,1,0,519.0,583.0,52.0,62.0,1.0
116,2018-08-11,TBR,1,0,519.0,590.0,52.0,63.0,-1.0
117,2018-08-12,TBR,1,1,520.0,593.0,52.0,64.0,-2.0
118,2018-08-13,KCR,0,0,522.0,594.0,53.0,64.0,1.0
119,2018-08-14,KCR,0,1,523.0,597.0,53.0,65.0,-1.0
120,2018-08-15,KCR,0,1,529.0,602.0,54.0,65.0,1.0
121,2018-08-16,KCR,0,0,535.0,607.0,55.0,65.0,2.0
122,2018-08-17,NYY,0,0,537.0,613.0,55.0,66.0,-1.0
123,2018-08-18,NYY,0,0,542.0,620.0,55.0,67.0,-2.0
124,2018-08-19,NYY,0,0,548.0,631.0,55.0,68.0,-3.0
125,2018-08-20,BAL,1,1,550.0,641.0,55.0,69.0,-4.0
126,2018-08-21,BAL,1,1,555.0,644.0,56.0,69.0,1.0
127,2018-08-22,BAL,1,1,563.0,646.0,57.0,69.0,2.0
128,2018-08-24,PHI,1,1,569.0,646.0,58.0,69.0,3.0
129,2018-08-25,PHI,1,1,573.0,648.0,59.0,69.0,4.0
