Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,CIN,0,1,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,CIN,0,1,2.0,0.0,1.0,0.0,1.0
3,2018-04-01,CIN,0,1,15.0,7.0,2.0,0.0,2.0
4,2018-04-02,ATL,0,1,21.0,12.0,3.0,0.0,3.0
5,2018-04-03,ATL,0,0,29.0,13.0,4.0,0.0,4.0
6,2018-04-04,ATL,0,0,35.0,26.0,4.0,1.0,-1.0
7,2018-04-05,NYM,1,0,36.0,33.0,4.0,2.0,-2.0
8,2018-04-07,NYM,1,0,38.0,41.0,4.0,3.0,-3.0
9,2018-04-08,NYM,1,0,40.0,44.0,4.0,4.0,-4.0
10,2018-04-09,ATL,1,1,45.0,50.0,4.0,5.0,-5.0
11,2018-04-10,ATL,1,1,47.0,50.0,5.0,5.0,1.0
12,2018-04-11,ATL,1,0,51.0,51.0,6.0,5.0,2.0
13,2018-04-12,COL,1,0,54.0,56.0,6.0,6.0,-1.0
14,2018-04-13,COL,1,0,55.0,61.0,6.0,7.0,-2.0
15,2018-04-14,COL,1,1,56.0,63.0,6.0,8.0,-3.0
16,2018-04-15,COL,1,0,62.0,65.0,7.0,8.0,1.0
17,2018-04-16,NYM,0,1,67.0,71.0,7.0,9.0,-1.0
18,2018-04-17,NYM,0,1,75.0,77.0,8.0,9.0,1.0
19,2018-04-18,NYM,0,0,80.0,79.0,9.0,9.0,2.0
20,2018-04-20,LAD,0,1,85.0,90.0,9.0,10.0,-1.0
21,2018-04-21,LAD,0,0,90.0,92.0,10.0,10.0,1.0
22,2018-04-22,LAD,0,0,90.0,96.0,10.0,11.0,-1.0
23,2018-04-23,SFG,0,0,93.0,100.0,10.0,12.0,-2.0
24,2018-04-24,SFG,0,0,95.0,104.0,10.0,13.0,-3.0
25,2018-04-25,SFG,0,1,98.0,108.0,10.0,14.0,-4.0
26,2018-04-27,ARI,1,0,113.0,110.0,11.0,14.0,1.0
27,2018-04-28,ARI,1,0,117.0,115.0,11.0,15.0,-1.0
28,2018-04-29,ARI,1,1,120.0,119.0,11.0,16.0,-2.0
29,2018-04-30,PIT,1,1,123.0,120.0,12.0,16.0,1.0
30,2018-05-01,PIT,1,1,126.0,122.0,13.0,16.0,2.0
31,2018-05-02,PIT,1,1,138.0,126.0,14.0,16.0,3.0
32,2018-05-03,PIT,1,1,147.0,129.0,15.0,16.0,4.0
33,2018-05-04,PHI,1,1,150.0,130.0,16.0,16.0,5.0
34,2018-05-05,PHI,1,0,157.0,133.0,17.0,16.0,6.0
35,2018-05-06,PHI,1,1,158.0,136.0,17.0,17.0,-1.0
36,2018-05-07,SDP,0,1,163.0,140.0,18.0,17.0,1.0
37,2018-05-08,SDP,0,1,171.0,145.0,19.0,17.0,2.0
38,2018-05-09,SDP,0,0,175.0,145.0,20.0,17.0,3.0
39,2018-05-10,ARI,0,1,176.0,147.0,20.0,18.0,-1.0
40,2018-05-11,ARI,0,1,178.0,148.0,21.0,18.0,1.0
41,2018-05-12,ARI,0,1,181.0,149.0,22.0,18.0,2.0
42,2018-05-13,ARI,0,1,183.0,150.0,23.0,18.0,3.0
43,2018-05-15,NYY,1,1,189.0,154.0,24.0,18.0,4.0
44,2018-05-19,LAD,1,0,194.0,157.0,25.0,18.0,5.0
45,2018-05-19,LAD,1,0,195.0,161.0,25.0,19.0,-1.0
46,2018-05-20,LAD,1,0,199.0,166.0,25.0,20.0,-2.0
47,2018-05-21,SDP,1,1,201.0,173.0,25.0,21.0,-3.0
48,2018-05-22,SDP,1,1,211.0,175.0,26.0,21.0,1.0
49,2018-05-23,SDP,1,0,213.0,176.0,27.0,21.0,2.0
50,2018-05-25,MIA,0,1,214.0,179.0,27.0,22.0,-1.0
51,2018-05-26,MIA,0,1,223.0,184.0,28.0,22.0,1.0
52,2018-05-27,MIA,0,1,227.0,185.0,29.0,22.0,2.0
53,2018-05-28,BAL,0,1,232.0,187.0,30.0,22.0,3.0
54,2018-05-29,BAL,0,1,238.0,187.0,31.0,22.0,4.0
55,2018-05-30,BAL,0,1,241.0,189.0,32.0,22.0,5.0
56,2018-05-31,ATL,0,0,243.0,189.0,33.0,22.0,6.0
57,2018-06-01,ATL,0,0,245.0,193.0,33.0,23.0,-1.0
58,2018-06-02,ATL,0,1,245.0,197.0,33.0,24.0,-2.0
59,2018-06-03,ATL,0,0,250.0,200.0,34.0,24.0,1.0
60,2018-06-05,TBR,1,1,252.0,204.0,34.0,25.0,-1.0
61,2018-06-06,TBR,1,1,256.0,206.0,35.0,25.0,1.0
62,2018-06-08,SFG,1,0,267.0,208.0,36.0,25.0,2.0
63,2018-06-09,SFG,1,1,272.0,217.0,36.0,26.0,-1.0
64,2018-06-10,SFG,1,0,279.0,222.0,37.0,26.0,1.0
65,2018-06-12,NYY,0,0,279.0,224.0,37.0,27.0,-1.0
66,2018-06-13,NYY,0,1,279.0,227.0,37.0,28.0,-2.0
67,2018-06-15,TOR,0,0,284.0,231.0,38.0,28.0,1.0
68,2018-06-16,TOR,0,0,289.0,237.0,38.0,29.0,-1.0
69,2018-06-17,TOR,0,0,289.0,239.0,38.0,30.0,-2.0
70,2018-06-18,NYY,1,0,295.0,247.0,38.0,31.0,-3.0
71,2018-06-19,BAL,1,1,297.0,251.0,38.0,32.0,-4.0
72,2018-06-20,BAL,1,0,306.0,258.0,39.0,32.0,1.0
73,2018-06-21,BAL,1,1,306.0,261.0,39.0,33.0,-1.0
74,2018-06-22,PHI,1,0,310.0,263.0,40.0,33.0,1.0
75,2018-06-23,PHI,1,0,312.0,275.0,40.0,34.0,-1.0
76,2018-06-24,PHI,1,1,315.0,280.0,40.0,35.0,-2.0
77,2018-06-25,TBR,0,0,323.0,286.0,41.0,35.0,1.0
78,2018-06-26,TBR,0,0,323.0,297.0,41.0,36.0,-1.0
79,2018-06-28,PHI,0,0,323.0,298.0,41.0,37.0,-2.0
