Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,COL,1,1,8,2,1,0,1
2,2018-03-30,COL,1,1,9,8,2,0,2
3,2018-03-31,COL,1,0,1,2,2,1,-1
4,2018-04-02,LAD,1,1,8,7,3,1,1
5,2018-04-03,LAD,1,1,6,1,4,1,2
6,2018-04-04,LAD,1,1,3,0,5,1,3
7,2018-04-05,STL,0,1,3,1,6,1,4
8,2018-04-07,STL,0,0,3,5,6,2,-1
9,2018-04-08,STL,0,1,4,1,7,2,1
10,2018-04-09,SFG,0,1,2,1,8,2,2
11,2018-04-10,SFG,0,0,4,5,8,3,-1
12,2018-04-11,SFG,0,1,7,3,9,3,1
13,2018-04-13,LAD,0,1,8,7,10,3,2
14,2018-04-14,LAD,0,1,9,1,11,3,3
15,2018-04-15,LAD,0,0,2,7,11,4,-1
16,2018-04-17,SFG,1,1,1,0,12,4,1
17,2018-04-18,SFG,1,0,3,4,12,5,-1
18,2018-04-19,SFG,1,1,3,1,13,5,1
19,2018-04-20,SDP,1,0,1,4,13,6,-1
20,2018-04-21,SDP,1,1,6,2,14,6,1
21,2018-04-22,SDP,1,1,4,2,15,6,2
22,2018-04-24,PHI,0,1,8,4,16,6,3
23,2018-04-25,PHI,0,0,3,5,16,7,-1
24,2018-04-26,PHI,0,1,8,2,17,7,1
25,2018-04-27,WSN,0,1,5,4,18,7,2
26,2018-04-28,WSN,0,1,4,3,19,7,3
27,2018-04-29,WSN,0,0,1,3,19,8,-1
28,2018-04-30,LAD,1,1,8,5,20,8,1
29,2018-05-01,LAD,1,1,4,3,21,8,2
30,2018-05-02,LAD,1,0,1,2,21,9,-1
31,2018-05-03,LAD,1,0,2,5,21,10,-2
32,2018-05-04,HOU,1,0,0,8,21,11,-3
33,2018-05-05,HOU,1,1,4,3,22,11,1
34,2018-05-06,HOU,1,1,3,1,23,11,2
35,2018-05-08,LAD,0,1,8,5,24,11,3
36,2018-05-09,LAD,0,0,3,6,24,12,-1
37,2018-05-10,WSN,1,0,1,2,24,13,-2
38,2018-05-11,WSN,1,0,1,3,24,14,-3
39,2018-05-12,WSN,1,0,1,2,24,15,-4
40,2018-05-13,WSN,1,0,4,6,24,16,-5
41,2018-05-14,MIL,1,0,2,7,24,17,-6
42,2018-05-15,MIL,1,1,2,1,25,17,1
43,2018-05-16,MIL,1,0,2,8,25,18,-1
44,2018-05-18,NYM,0,0,1,3,25,19,-2
45,2018-05-19,NYM,0,0,4,5,25,20,-3
46,2018-05-20,NYM,0,0,1,4,25,21,-4
47,2018-05-21,MIL,0,0,2,4,25,22,-5
48,2018-05-22,MIL,0,0,0,1,25,23,-6
49,2018-05-23,MIL,0,0,2,9,25,24,-7
50,2018-05-25,OAK,0,1,7,1,26,24,1
51,2018-05-26,OAK,0,0,0,3,26,25,-1
52,2018-05-27,OAK,0,0,1,2,26,26,-2
53,2018-05-28,CIN,1,1,12,5,27,26,1
54,2018-05-29,CIN,1,1,5,2,28,26,2
55,2018-05-30,CIN,1,0,4,7,28,27,-1
56,2018-06-01,MIA,1,1,9,1,29,27,1
57,2018-06-02,MIA,1,1,6,2,30,27,2
58,2018-06-03,MIA,1,1,6,1,31,27,3
59,2018-06-04,SFG,0,0,3,10,31,28,-1
60,2018-06-05,SFG,0,1,3,2,32,28,1
61,2018-06-06,SFG,0,0,4,5,32,29,-1
62,2018-06-08,COL,0,1,9,4,33,29,1
63,2018-06-09,COL,0,1,12,7,34,29,2
64,2018-06-10,COL,0,1,8,3,35,29,3
65,2018-06-11,PIT,1,1,9,5,36,29,4
66,2018-06-12,PIT,1,1,13,8,37,29,5
67,2018-06-13,PIT,1,0,4,5,37,30,-1
68,2018-06-14,NYM,1,1,6,3,38,30,1
69,2018-06-15,NYM,1,1,7,3,39,30,2
70,2018-06-16,NYM,1,0,1,5,39,31,-1
71,2018-06-17,NYM,1,0,3,5,39,32,-2
72,2018-06-18,LAA,0,1,7,4,40,32,1
73,2018-06-19,LAA,0,0,4,5,40,33,-1
74,2018-06-21,PIT,0,1,9,3,41,33,1
75,2018-06-22,PIT,0,1,2,1,42,33,2
76,2018-06-23,PIT,0,1,7,2,43,33,3
77,2018-06-24,PIT,0,1,3,0,44,33,4
78,2018-06-25,MIA,0,0,5,9,44,34,-1
79,2018-06-26,MIA,0,1,5,3,45,34,1
80,2018-06-27,MIA,0,1,2,1,46,34,2
81,2018-06-28,MIA,0,1,4,0,47,34,3
82,2018-06-29,SFG,1,0,1,2,47,35,-1
83,2018-06-30,SFG,1,0,0,7,47,36,-2
84,2018-07-01,SFG,1,0,6,9,47,37,-3
85,2018-07-02,STL,1,0,3,6,47,38,-4
86,2018-07-03,STL,1,1,4,2,48,38,1
87,2018-07-04,STL,1,0,4,8,48,39,-1
88,2018-07-05,SDP,1,0,3,6,48,40,-2
89,2018-07-06,SDP,1,1,3,1,49,40,1
90,2018-07-07,SDP,1,1,20,5,50,40,2
91,2018-07-08,SDP,1,0,3,4,50,41,-1
92,2018-07-10,COL,0,1,5,3,51,41,1
93,2018-07-11,COL,0,0,2,19,51,42,-1
94,2018-07-12,COL,0,0,1,5,51,43,-2
95,2018-07-13,ATL,0,1,2,1,52,43,1
96,2018-07-14,ATL,0,1,3,0,53,43,2
97,2018-07-15,ATL,0,0,1,5,53,44,-1
98,2018-07-20,COL,1,0,10,11,53,45,-2
99,2018-07-21,COL,1,0,5,6,53,46,-3
100,2018-07-22,COL,1,1,6,1,54,46,1
101,2018-07-23,CHC,0,1,7,1,55,46,2
102,2018-07-24,CHC,0,1,5,1,56,46,3
103,2018-07-25,CHC,0,0,1,2,56,47,-1
104,2018-07-26,CHC,0,0,6,7,56,48,-2
105,2018-07-27,SDP,0,1,6,2,57,48,1
106,2018-07-28,SDP,0,1,9,4,58,48,2
107,2018-07-29,SDP,0,1,5,4,59,48,3
108,2018-07-30,TEX,1,0,5,9,59,49,-1
109,2018-07-31,TEX,1,1,6,0,60,49,1
110,2018-08-02,SFG,1,0,1,8,60,50,-1
111,2018-08-03,SFG,1,1,6,3,61,50,1
112,2018-08-04,SFG,1,1,9,3,62,50,2
113,2018-08-05,SFG,1,0,2,3,62,51,-1
114,2018-08-06,PHI,1,1,3,2,63,51,1
115,2018-08-07,PHI,1,0,2,5,63,52,-1
116,2018-08-08,PHI,1,1,6,0,64,52,1
117,2018-08-10,CIN,0,0,0,3,64,53,-1
118,2018-08-11,CIN,0,0,3,6,64,54,-2
119,2018-08-12,CIN,0,1,9,2,65,54,1
120,2018-08-13,TEX,0,0,3,5,65,55,-1
121,2018-08-14,TEX,0,1,6,4,66,55,1
122,2018-08-16,SDP,0,1,5,1,67,55,2
123,2018-08-17,SDP,0,1,9,4,68,55,3
124,2018-08-18,SDP,0,0,6,7,68,56,-1
125,2018-08-19,SDP,0,1,4,3,69,56,1
126,2018-08-21,LAA,1,1,5,4,70,56,2
127,2018-08-22,LAA,1,1,5,1,71,56,3
128,2018-08-24,SEA,1,0,3,6,71,57,-1
129,2018-08-25,SEA,1,0,3,4,71,58,-2
130,2018-08-26,SEA,1,1,5,2,72,58,1
131,2018-08-27,SFG,0,0,0,2,72,59,-1
132,2018-08-28,SFG,0,0,0,1,72,60,-2
133,2018-08-29,SFG,0,1,3,1,73,60,1
134,2018-08-30,LAD,0,1,3,1,74,60,2
135,2018-08-31,LAD,0,0,2,3,74,61,-1
136,2018-09-01,LAD,0,0,2,3,74,62,-2
137,2018-09-02,LAD,0,0,2,3,74,63,-3
138,2018-09-03,SDP,1,0,2,6,74,64,-4
139,2018-09-04,SDP,1,1,6,0,75,64,1
140,2018-09-06,ATL,1,0,6,7,75,65,-1
141,2018-09-07,ATL,1,1,5,3,76,65,1
142,2018-09-08,ATL,1,0,4,5,76,66,-1
143,2018-09-09,ATL,1,0,5,9,76,67,-2
144,2018-09-10,COL,0,0,2,13,76,68,-3
145,2018-09-11,COL,0,1,6,3,77,68,1
146,2018-09-12,COL,0,0,4,5,77,69,-1
147,2018-09-13,COL,0,0,3,10,77,70,-2
148,2018-09-14,HOU,0,1,4,2,78,70,1
149,2018-09-15,HOU,0,0,4,10,78,71,-1
150,2018-09-16,HOU,0,0,4,5,78,72,-2
151,2018-09-17,CHC,1,0,1,5,78,73,-3
152,2018-09-18,CHC,1,0,1,9,78,74,-4
153,2018-09-19,CHC,1,1,9,0,79,74,1
154,2018-09-21,COL,1,0,2,6,79,75,-1
155,2018-09-22,COL,1,0,1,5,79,76,-2
156,2018-09-23,COL,1,0,0,2,79,77,-3
157,2018-09-24,LAD,1,0,4,7,79,78,-4
158,2018-09-25,LAD,1,1,4,3,80,78,1
159,2018-09-26,LAD,1,1,7,2,81,78,2
160,2018-09-28,SDP,0,0,2,3,81,79,-1
161,2018-09-29,SDP,0,1,5,4,82,79,1
162,2018-09-30,SDP,0,0,3,4,82,80,-1
