Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,PHI,1,1,8,5,1,0,1
2,2018-03-30,PHI,1,0,4,5,1,1,-1
3,2018-03-31,PHI,1,1,15,2,2,1,1
4,2018-04-02,WSN,1,0,1,8,2,2,-1
5,2018-04-03,WSN,1,1,13,6,3,2,1
6,2018-04-04,WSN,1,1,7,1,4,2,2
7,2018-04-06,COL,0,1,8,3,5,2,3
8,2018-04-07,COL,0,0,2,3,5,3,-1
9,2018-04-08,COL,0,1,4,0,6,3,1
10,2018-04-09,WSN,0,0,0,2,6,4,-1
11,2018-04-10,WSN,0,0,1,4,6,5,-2
12,2018-04-11,WSN,0,1,5,3,7,5,1
13,2018-04-13,CHC,0,1,4,0,8,5,2
14,2018-04-14,CHC,0,0,10,14,8,6,-1
15,2018-04-16,PHI,1,1,2,1,9,6,1
16,2018-04-17,PHI,1,0,1,5,9,7,-1
17,2018-04-18,PHI,1,1,7,3,10,7,1
18,2018-04-19,NYM,1,1,12,4,11,7,2
19,2018-04-20,NYM,1,0,3,5,11,8,-1
20,2018-04-21,NYM,1,1,4,3,12,8,1
21,2018-04-23,CIN,0,0,4,10,12,9,-1
22,2018-04-24,CIN,0,0,7,9,12,10,-2
23,2018-04-25,CIN,0,1,5,4,13,10,1
24,2018-04-26,CIN,0,1,7,4,14,10,2
25,2018-04-27,PHI,0,0,3,7,14,11,-1
26,2018-04-28,PHI,0,1,4,1,15,11,1
27,2018-04-29,PHI,0,1,10,1,16,11,2
28,2018-05-01,NYM,0,1,3,2,17,11,3
29,2018-05-02,NYM,0,1,7,0,18,11,4
30,2018-05-03,NYM,0,1,11,0,19,11,5
31,2018-05-04,SFG,1,0,4,9,19,12,-1
32,2018-05-05,SFG,1,0,2,11,19,13,-2
33,2018-05-06,SFG,1,0,3,4,19,14,-3
34,2018-05-08,TBR,0,1,1,0,20,14,1
35,2018-05-09,TBR,0,1,5,2,21,14,2
36,2018-05-10,MIA,0,1,9,2,22,14,3
37,2018-05-11,MIA,0,0,3,6,22,15,-1
38,2018-05-12,MIA,0,1,10,5,23,15,1
39,2018-05-13,MIA,0,1,4,3,24,15,2
40,2018-05-14,CHC,0,1,6,5,25,15,3
41,2018-05-15,CHC,1,0,2,3,25,16,-1
42,2018-05-16,CHC,1,1,4,1,26,16,1
43,2018-05-18,MIA,1,0,0,2,26,17,-1
44,2018-05-19,MIA,1,1,8,1,27,17,1
45,2018-05-20,MIA,1,1,10,9,28,17,2
46,2018-05-21,PHI,0,0,0,3,28,18,-1
47,2018-05-22,PHI,0,1,3,1,29,18,1
48,2018-05-23,PHI,0,0,0,4,29,19,-1
49,2018-05-25,BOS,0,0,2,6,29,20,-2
50,2018-05-26,BOS,0,0,6,8,29,21,-3
51,2018-05-27,BOS,0,1,7,1,30,21,1
52,2018-05-28,NYM,1,1,4,3,31,21,2
53,2018-05-28,NYM,1,0,5,8,31,22,-1
54,2018-05-29,NYM,1,1,7,6,32,22,1
55,2018-05-30,NYM,1,0,1,4,32,23,-1
56,2018-05-31,WSN,1,1,4,2,33,23,1
57,2018-06-01,WSN,1,1,4,0,34,23,2
58,2018-06-02,WSN,1,0,3,5,34,24,-1
59,2018-06-03,WSN,1,1,4,2,35,24,1
60,2018-06-04,SDP,0,0,4,11,35,25,-1
61,2018-06-05,SDP,0,1,14,1,36,25,1
62,2018-06-06,SDP,0,0,1,3,36,26,-1
63,2018-06-08,LAD,0,0,3,7,36,27,-2
64,2018-06-09,LAD,0,1,5,3,37,27,1
65,2018-06-10,LAD,0,0,2,7,37,28,-1
66,2018-06-12,NYM,1,1,8,2,38,28,1
67,2018-06-13,NYM,1,1,2,0,39,28,2
68,2018-06-14,SDP,1,1,4,2,40,28,3
69,2018-06-15,SDP,1,0,3,9,40,29,-1
70,2018-06-16,SDP,1,1,1,0,41,29,1
71,2018-06-17,SDP,1,1,4,1,42,29,2
72,2018-06-19,TOR,0,1,11,4,43,29,3
73,2018-06-20,TOR,0,0,4,5,43,30,-1
74,2018-06-22,BAL,1,0,7,10,43,31,-2
75,2018-06-23,BAL,1,0,5,7,43,32,-3
76,2018-06-24,BAL,1,1,7,3,44,32,1
77,2018-06-25,CIN,1,1,5,4,45,32,2
