Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIN,1,1,3,2,1,0,1
2,2018-03-31,MIN,1,0,2,6,1,1,-1
3,2018-04-01,MIN,1,0,0,7,1,2,-2
4,2018-04-02,HOU,0,0,1,6,1,3,-3
5,2018-04-03,HOU,0,0,6,10,1,4,-4
6,2018-04-04,HOU,0,0,2,3,1,5,-5
7,2018-04-05,NYY,0,1,5,2,2,5,1
8,2018-04-06,NYY,0,1,7,3,3,5,2
9,2018-04-07,NYY,0,0,3,8,3,6,-1
10,2018-04-08,NYY,0,1,8,7,4,6,1
11,2018-04-09,TOR,1,0,1,7,4,7,-1
12,2018-04-10,TOR,1,0,1,2,4,8,-2
13,2018-04-11,TOR,1,1,5,3,5,8,1
14,2018-04-13,BOS,0,0,3,7,5,9,-1
15,2018-04-14,BOS,0,0,3,10,5,10,-2
16,2018-04-15,BOS,0,0,1,3,5,11,-3
17,2018-04-17,DET,0,0,2,4,5,12,-4
18,2018-04-18,DET,0,0,5,6,5,13,-5
19,2018-04-19,DET,0,0,8,13,5,14,-6
20,2018-04-20,CLE,1,1,3,1,6,14,1
21,2018-04-21,CLE,1,0,0,4,6,15,-1
22,2018-04-22,CLE,1,0,3,7,6,16,-2
23,2018-04-23,CLE,1,0,1,2,6,17,-3
24,2018-04-25,TBR,1,0,4,8,6,18,-4
25,2018-04-26,TBR,1,0,5,9,6,19,-5
26,2018-04-27,DET,1,1,6,0,7,19,1
27,2018-04-28,DET,1,0,5,9,7,20,-1
28,2018-04-29,DET,1,1,5,3,8,20,1
29,2018-05-01,LAA,0,0,2,3,8,21,-1
30,2018-05-02,LAA,0,0,7,10,8,22,-2
31,2018-05-03,LAA,0,0,3,12,8,23,-3
32,2018-05-04,OAK,0,0,4,6,8,24,-4
33,2018-05-05,OAK,0,0,0,2,8,25,-5
34,2018-05-06,OAK,0,0,1,2,8,26,-6
35,2018-05-08,KCR,1,0,7,15,8,27,-7
36,2018-05-09,KCR,1,1,5,3,9,27,1
37,2018-05-10,KCR,1,1,11,6,10,27,2
38,2018-05-11,TBR,1,1,9,4,11,27,3
39,2018-05-12,TBR,1,1,6,3,12,27,4
40,2018-05-12,TBR,1,0,3,10,12,28,-1
41,2018-05-13,TBR,1,1,17,1,13,28,1
42,2018-05-16,PHI,1,0,1,4,13,29,-1
43,2018-05-17,BOS,0,0,2,6,13,30,-2
44,2018-05-18,BOS,0,1,7,4,14,30,1
45,2018-05-19,BOS,0,0,3,6,14,31,-1
46,2018-05-20,BOS,0,0,0,5,14,32,-2
47,2018-05-21,CHW,0,1,3,2,15,32,1
48,2018-05-22,CHW,0,0,2,3,15,33,-1
49,2018-05-23,CHW,0,0,1,11,15,34,-2
50,2018-05-24,CHW,0,1,9,3,16,34,1
51,2018-05-25,TBR,0,1,2,0,17,34,2
52,2018-05-26,TBR,0,0,1,5,17,35,-1
53,2018-05-27,TBR,0,0,3,8,17,36,-2
54,2018-05-28,WSN,1,0,0,6,17,37,-3
55,2018-05-29,WSN,1,0,2,3,17,38,-4
56,2018-05-30,WSN,1,0,0,2,17,39,-5
57,2018-06-01,NYY,1,0,1,4,17,40,-6
58,2018-06-02,NYY,1,0,5,8,17,41,-7
59,2018-06-05,NYM,0,1,2,1,18,41,1
60,2018-06-06,NYM,0,1,1,0,19,41,2
61,2018-06-07,TOR,0,0,4,5,19,42,-1
62,2018-06-08,TOR,0,0,1,5,19,43,-2
63,2018-06-09,TOR,0,0,3,4,19,44,-3
64,2018-06-10,TOR,0,0,3,13,19,45,-4
65,2018-06-11,BOS,1,0,0,2,19,46,-5
66,2018-06-12,BOS,1,0,4,6,19,47,-6
67,2018-06-13,BOS,1,0,1,5,19,48,-7
68,2018-06-15,MIA,1,0,0,2,19,49,-8
69,2018-06-16,MIA,1,0,4,5,19,50,-9
70,2018-06-17,MIA,1,1,10,4,20,50,1
71,2018-06-19,WSN,0,0,7,9,20,51,-1
72,2018-06-20,WSN,0,1,3,0,21,51,1
