Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TBR,0,0,4,6,0,1,-1
2,2018-03-30,TBR,0,1,1,0,1,1,1
3,2018-03-31,TBR,0,1,3,2,2,1,2
4,2018-04-01,TBR,0,1,2,1,3,1,3
5,2018-04-02,MIA,0,1,7,3,4,1,4
6,2018-04-03,MIA,0,1,4,2,5,1,5
7,2018-04-05,TBR,1,1,3,2,6,1,6
8,2018-04-07,TBR,1,1,10,3,7,1,7
9,2018-04-08,TBR,1,1,8,7,8,1,8
10,2018-04-10,NYY,1,1,14,1,9,1,9
11,2018-04-11,NYY,1,0,7,10,9,2,-1
12,2018-04-12,NYY,1,1,6,3,10,2,1
13,2018-04-13,BAL,1,1,7,3,11,2,2
14,2018-04-14,BAL,1,1,10,3,12,2,3
15,2018-04-15,BAL,1,1,3,1,13,2,4
16,2018-04-17,LAA,0,1,10,1,14,2,5
17,2018-04-18,LAA,0,1,9,0,15,2,6
18,2018-04-19,LAA,0,1,8,2,16,2,7
19,2018-04-20,OAK,0,1,7,3,17,2,8
20,2018-04-21,OAK,0,0,0,3,17,3,-1
21,2018-04-22,OAK,0,0,1,4,17,4,-2
22,2018-04-24,TOR,0,0,3,4,17,5,-3
23,2018-04-25,TOR,0,1,4,3,18,5,1
24,2018-04-26,TOR,0,1,5,4,19,5,2
25,2018-04-27,TBR,1,0,3,4,19,6,-1
26,2018-04-28,TBR,1,0,6,12,19,7,-2
27,2018-04-29,TBR,1,1,4,3,20,7,1
28,2018-04-30,KCR,1,1,10,6,21,7,2
29,2018-05-01,KCR,1,0,6,7,21,8,-1
30,2018-05-02,KCR,1,1,5,4,22,8,1
31,2018-05-03,TEX,0,0,5,11,22,9,-1
32,2018-05-04,TEX,0,1,5,1,23,9,1
33,2018-05-05,TEX,0,1,6,5,24,9,2
34,2018-05-06,TEX,0,1,6,1,25,9,3
35,2018-05-08,NYY,0,0,2,3,25,10,-1
36,2018-05-09,NYY,0,0,6,9,25,11,-2
37,2018-05-10,NYY,0,1,5,4,26,11,1
38,2018-05-11,TOR,0,0,3,5,26,12,-1
39,2018-05-12,TOR,0,1,5,2,27,12,1
40,2018-05-13,TOR,0,1,5,3,28,12,2
41,2018-05-14,OAK,1,0,5,6,28,13,-1
42,2018-05-15,OAK,1,0,3,5,28,14,-2
43,2018-05-16,OAK,1,1,6,4,29,14,1
44,2018-05-17,BAL,1,1,6,2,30,14,2
45,2018-05-18,BAL,1,0,4,7,30,15,-1
46,2018-05-19,BAL,1,1,6,3,31,15,1
47,2018-05-20,BAL,1,1,5,0,32,15,2
48,2018-05-22,TBR,0,1,4,2,33,15,3
49,2018-05-23,TBR,0,1,4,1,34,15,4
50,2018-05-24,TBR,0,0,3,6,34,16,-1
51,2018-05-25,ATL,1,1,6,2,35,16,1
52,2018-05-26,ATL,1,1,8,6,36,16,2
53,2018-05-27,ATL,1,0,1,7,36,17,-1
54,2018-05-28,TOR,1,1,8,3,37,17,1
55,2018-05-29,TOR,1,1,8,3,38,17,2
56,2018-05-30,TOR,1,1,6,4,39,17,3
57,2018-05-31,HOU,0,0,2,4,39,18,-1
58,2018-06-01,HOU,0,0,3,7,39,19,-2
59,2018-06-02,HOU,0,1,5,4,40,19,1
60,2018-06-03,HOU,0,1,9,3,41,19,2
61,2018-06-05,DET,1,1,6,0,42,19,3
62,2018-06-06,DET,1,1,7,1,43,19,4
63,2018-06-07,DET,1,0,2,7,43,20,-1
64,2018-06-08,CHW,1,0,0,1,43,21,-2
65,2018-06-09,CHW,1,1,4,2,44,21,1
66,2018-06-10,CHW,1,0,2,5,44,22,-1
67,2018-06-11,BAL,0,1,2,0,45,22,1
