Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIA,0,1,8,4,1,0,1
2,2018-03-30,MIA,0,0,1,2,1,1,-1
3,2018-03-31,MIA,0,1,10,6,2,1,1
4,2018-04-01,MIA,0,0,0,6,2,2,-1
5,2018-04-02,CIN,0,0,0,1,2,3,-2
6,2018-04-05,MIL,0,1,8,0,3,3,1
7,2018-04-06,MIL,0,0,4,5,3,4,-1
8,2018-04-07,MIL,0,1,5,2,4,4,1
9,2018-04-08,MIL,0,1,3,0,5,4,2
10,2018-04-10,PIT,1,0,5,8,5,5,-1
11,2018-04-11,PIT,1,1,13,5,6,5,1
12,2018-04-12,PIT,1,0,1,6,6,6,-1
13,2018-04-13,ATL,1,0,0,4,6,7,-2
14,2018-04-14,ATL,1,1,14,10,7,7,1
15,2018-04-17,STL,1,0,3,5,7,8,-1
16,2018-04-19,STL,1,1,8,5,8,8,1
17,2018-04-20,COL,0,1,16,5,9,8,2
18,2018-04-21,COL,0,0,2,5,9,9,-1
19,2018-04-22,COL,0,1,9,7,10,9,1
20,2018-04-24,CLE,0,1,10,3,11,9,2
21,2018-04-25,CLE,0,0,1,4,11,10,-1
22,2018-04-26,MIL,1,1,1,0,12,10,1
23,2018-04-27,MIL,1,1,3,2,13,10,2
24,2018-04-28,MIL,1,1,3,0,14,10,3
25,2018-04-29,MIL,1,1,2,0,15,10,4
26,2018-04-30,COL,1,1,3,2,16,10,5
27,2018-05-01,COL,1,0,1,3,16,11,-1
28,2018-05-02,COL,1,0,2,11,16,12,-2
29,2018-05-04,STL,0,0,2,3,16,13,-3
30,2018-05-05,STL,0,0,6,8,16,14,-4
31,2018-05-06,STL,0,0,3,4,16,15,-5
32,2018-05-07,MIA,1,1,14,2,17,15,1
33,2018-05-08,MIA,1,1,4,3,18,15,2
34,2018-05-09,MIA,1,1,13,4,19,15,3
35,2018-05-11,CHW,1,1,11,2,20,15,4
36,2018-05-12,CHW,1,1,8,4,21,15,5
37,2018-05-13,CHW,1,0,3,5,21,16,-1
38,2018-05-14,ATL,1,0,5,6,21,17,-2
39,2018-05-15,ATL,0,1,3,2,22,17,1
40,2018-05-16,ATL,0,0,1,4,22,18,-1
41,2018-05-18,CIN,0,1,8,1,23,18,1
42,2018-05-19,CIN,0,0,4,5,23,19,-1
43,2018-05-19,CIN,0,1,10,0,24,19,1
44,2018-05-20,CIN,0,1,6,1,25,19,2
45,2018-05-22,CLE,1,0,1,10,25,20,-1
46,2018-05-23,CLE,1,0,0,1,25,21,-2
47,2018-05-25,SFG,1,1,6,2,26,21,1
48,2018-05-26,SFG,1,0,4,5,26,22,-1
49,2018-05-27,SFG,1,1,8,3,27,22,1
50,2018-05-28,PIT,0,1,7,0,28,22,2
51,2018-05-29,PIT,0,1,8,6,29,22,3
52,2018-05-30,PIT,0,0,1,2,29,23,-1
53,2018-05-31,NYM,0,1,5,1,30,23,1
54,2018-06-01,NYM,0,1,7,4,31,23,2
55,2018-06-02,NYM,0,1,7,1,32,23,3
56,2018-06-03,NYM,0,1,2,0,33,23,4
57,2018-06-05,PHI,1,0,1,6,33,24,-1
58,2018-06-06,PHI,1,1,7,5,34,24,1
59,2018-06-07,PHI,1,1,4,3,35,24,2
60,2018-06-08,PIT,1,1,3,1,36,24,3
61,2018-06-09,PIT,1,1,2,0,37,24,4
62,2018-06-10,PIT,1,0,1,7,37,25,-1
63,2018-06-11,MIL,0,1,7,2,38,25,1
64,2018-06-12,MIL,0,0,0,4,38,26,-1
65,2018-06-13,MIL,0,0,0,1,38,27,-2
66,2018-06-15,STL,0,1,13,5,39,27,1
67,2018-06-16,STL,0,1,6,3,40,27,2
68,2018-06-17,STL,0,0,0,5,40,28,-1
69,2018-06-19,LAD,1,0,3,4,40,29,-2
70,2018-06-19,LAD,1,1,2,1,41,29,1
71,2018-06-20,LAD,1,1,4,0,42,29,2
72,2018-06-21,CIN,0,0,2,6,42,30,-1
73,2018-06-22,CIN,0,0,3,6,42,31,-2
74,2018-06-23,CIN,0,0,2,11,42,32,-3
75,2018-06-24,CIN,0,0,6,8,42,33,-4
76,2018-06-25,LAD,0,0,1,2,42,34,-5
77,2018-06-26,LAD,0,1,9,4,43,34,1
78,2018-06-27,LAD,0,0,5,7,43,35,-1
79,2018-06-28,LAD,0,1,11,5,44,35,1
80,2018-06-29,MIN,1,1,10,6,45,35,2
81,2018-06-30,MIN,1,1,14,9,46,35,3
82,2018-07-01,MIN,1,1,11,10,47,35,4
83,2018-07-03,DET,1,1,5,3,48,35,5
84,2018-07-04,DET,1,1,5,2,49,35,6
85,2018-07-06,CIN,1,0,2,3,49,36,-1
86,2018-07-07,CIN,1,1,8,7,50,36,1
87,2018-07-08,CIN,1,1,6,5,51,36,2
88,2018-07-09,SFG,0,0,1,2,51,37,-1
89,2018-07-10,SFG,0,1,2,0,52,37,1
90,2018-07-11,SFG,0,0,4,5,52,38,-1
91,2018-07-13,SDP,0,1,5,4,53,38,1
92,2018-07-14,SDP,0,1,11,6,54,38,2
93,2018-07-15,SDP,0,1,7,4,55,38,3
94,2018-07-19,STL,1,1,9,6,56,38,4
95,2018-07-20,STL,1,0,5,18,56,39,-1
96,2018-07-21,STL,1,1,7,2,57,39,1
97,2018-07-21,STL,1,0,3,6,57,40,-1
98,2018-07-22,STL,1,1,7,2,58,40,1
99,2018-07-23,ARI,1,0,1,7,58,41,-1
100,2018-07-24,ARI,1,0,1,5,58,42,-2
101,2018-07-25,ARI,1,1,2,1,59,42,1
102,2018-07-26,ARI,1,1,7,6,60,42,2
103,2018-07-27,STL,0,0,2,5,60,43,-1
104,2018-07-28,STL,0,0,2,6,60,44,-2
105,2018-07-29,STL,0,1,5,2,61,44,1
106,2018-07-31,PIT,0,0,4,5,61,45,-1
107,2018-08-01,PIT,0,1,9,2,62,45,1
108,2018-08-02,SDP,1,0,1,6,62,46,-1
109,2018-08-03,SDP,1,1,5,4,63,46,1
110,2018-08-04,SDP,1,1,5,4,64,46,2
111,2018-08-05,SDP,1,0,6,10,64,47,-1
112,2018-08-06,KCR,0,1,3,1,65,47,1
113,2018-08-07,KCR,0,1,5,0,66,47,2
114,2018-08-08,KCR,0,0,0,9,66,48,-1
115,2018-08-10,WSN,1,1,3,2,67,48,1
116,2018-08-11,WSN,1,0,4,9,67,49,-1
117,2018-08-12,WSN,1,1,4,3,68,49,1
118,2018-08-14,MIL,1,0,0,7,68,50,-1
119,2018-08-15,MIL,1,1,8,4,69,50,1
120,2018-08-16,PIT,0,1,1,0,70,50,2
121,2018-08-17,PIT,0,1,1,0,71,50,3
122,2018-08-18,PIT,0,0,1,3,71,51,-1
123,2018-08-19,PIT,0,0,1,2,71,52,-2
124,2018-08-21,DET,0,0,1,2,71,53,-3
125,2018-08-22,DET,0,1,8,2,72,53,1
126,2018-08-23,CIN,1,1,7,1,73,53,2
127,2018-08-24,CIN,1,1,3,2,74,53,3
128,2018-08-25,CIN,1,1,10,6,75,53,4
