Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,KCR,0,1,14,7,1,0,1
2,2018-03-31,KCR,0,1,4,3,2,0,2
3,2018-04-02,TOR,0,0,2,4,2,1,-1
4,2018-04-03,TOR,0,0,5,14,2,2,-2
5,2018-04-04,TOR,0,1,4,3,3,2,1
6,2018-04-05,DET,1,0,7,9,3,3,-1
7,2018-04-07,DET,1,0,1,6,3,4,-2
8,2018-04-08,DET,1,0,0,1,3,5,-3
9,2018-04-09,TBR,1,0,4,5,3,6,-4
10,2018-04-10,TBR,1,0,5,6,3,7,-5
11,2018-04-11,TBR,1,1,2,1,4,7,1
12,2018-04-12,MIN,0,0,0,4,4,8,-1
13,2018-04-16,OAK,0,0,1,8,4,9,-2
14,2018-04-17,OAK,0,0,2,10,4,10,-3
15,2018-04-18,OAK,0,0,11,12,4,11,-4
16,2018-04-20,HOU,1,0,0,10,4,12,-5
17,2018-04-21,HOU,1,0,1,10,4,13,-6
18,2018-04-22,HOU,1,0,1,7,4,14,-7
19,2018-04-23,SEA,1,1,10,4,5,14,1
20,2018-04-24,SEA,1,0,0,1,5,15,-1
21,2018-04-25,SEA,1,0,3,4,5,16,-2
22,2018-04-26,KCR,0,1,6,3,6,16,1
23,2018-04-27,KCR,0,1,7,4,7,16,2
24,2018-04-28,KCR,0,1,8,0,8,16,3
25,2018-04-28,KCR,0,0,2,5,8,17,-1
26,2018-04-29,KCR,0,0,4,5,8,18,-2
27,2018-05-01,STL,0,0,2,3,8,19,-3
28,2018-05-02,STL,0,0,2,3,8,20,-4
29,2018-05-03,MIN,1,1,6,5,9,20,1
30,2018-05-04,MIN,1,0,4,6,9,21,-1
31,2018-05-05,MIN,1,0,4,8,9,22,-2
32,2018-05-06,MIN,1,0,3,5,9,23,-3
33,2018-05-08,PIT,1,0,6,10,9,24,-4
34,2018-05-09,PIT,1,0,5,6,9,25,-5
35,2018-05-11,CHC,0,0,2,11,9,26,-6
36,2018-05-12,CHC,0,0,4,8,9,27,-7
37,2018-05-13,CHC,0,1,5,3,10,27,1
38,2018-05-15,PIT,0,0,0,7,10,28,-1
39,2018-05-16,PIT,0,0,2,3,10,29,-2
40,2018-05-17,TEX,1,1,4,2,11,29,1
41,2018-05-18,TEX,1,0,5,12,11,30,-1
42,2018-05-19,TEX,1,1,5,3,12,30,1
43,2018-05-20,TEX,1,1,3,0,13,30,2
44,2018-05-21,BAL,1,0,2,3,13,31,-1
45,2018-05-22,BAL,1,1,3,2,14,31,1
46,2018-05-23,BAL,1,1,11,1,15,31,2
47,2018-05-24,BAL,1,0,3,9,15,32,-1
48,2018-05-25,DET,0,0,4,5,15,33,-2
49,2018-05-26,DET,0,1,8,4,16,33,1
50,2018-05-27,DET,0,0,2,3,16,34,-1
51,2018-05-28,CLE,0,0,6,9,16,35,-2
52,2018-05-29,CLE,0,0,3,7,16,36,-3
53,2018-05-30,CLE,0,0,1,9,16,37,-4
54,2018-06-01,MIL,1,1,8,3,17,37,1
55,2018-06-02,MIL,1,0,0,5,17,38,-1
56,2018-06-03,MIL,1,1,6,1,18,38,1
57,2018-06-05,MIN,0,0,2,4,18,39,-1
58,2018-06-05,MIN,0,1,6,3,19,39,1
59,2018-06-06,MIN,0,1,5,2,20,39,2
60,2018-06-07,MIN,0,0,2,7,20,40,-1
61,2018-06-08,BOS,0,1,1,0,21,40,1
62,2018-06-09,BOS,0,0,2,4,21,41,-1
63,2018-06-10,BOS,0,1,5,2,22,41,1
64,2018-06-11,CLE,1,0,0,4,22,42,-1
65,2018-06-12,CLE,1,1,5,1,23,42,1
66,2018-06-13,CLE,1,1,3,2,24,42,2
67,2018-06-14,CLE,1,0,2,5,24,43,-1
68,2018-06-15,DET,1,0,3,4,24,44,-2
69,2018-06-16,DET,1,0,5,7,24,45,-3
70,2018-06-17,DET,1,0,1,3,24,46,-4
71,2018-06-18,CLE,0,0,2,6,24,47,-5
72,2018-06-19,CLE,0,0,3,6,24,48,-6
73,2018-06-20,CLE,0,0,0,12,24,49,-7
74,2018-06-22,OAK,1,0,2,11,24,50,-8
75,2018-06-22,OAK,1,1,6,4,25,50,1
76,2018-06-23,OAK,1,0,6,7,25,51,-1
77,2018-06-24,OAK,1,1,10,3,26,51,1
78,2018-06-26,MIN,1,1,8,4,27,51,2
79,2018-06-27,MIN,1,1,6,1,28,51,3
80,2018-06-28,MIN,1,0,1,2,28,52,-1
81,2018-06-29,TEX,0,0,3,11,28,53,-2
82,2018-06-30,TEX,0,0,4,13,28,54,-3
83,2018-07-01,TEX,0,1,10,5,29,54,1
84,2018-07-02,CIN,0,0,3,5,29,55,-1
85,2018-07-03,CIN,0,1,12,8,30,55,1
86,2018-07-04,CIN,0,0,4,7,30,56,-1
87,2018-07-05,HOU,0,0,3,4,30,57,-2
88,2018-07-06,HOU,0,0,4,11,30,58,-3
89,2018-07-07,HOU,0,0,6,12,30,59,-4
90,2018-07-08,HOU,0,0,1,2,30,60,-5
91,2018-07-10,STL,1,0,2,14,30,61,-6
92,2018-07-11,STL,1,1,4,0,31,61,1
93,2018-07-13,KCR,1,1,9,6,32,61,2
94,2018-07-14,KCR,1,0,0,5,32,62,-1
95,2018-07-15,KCR,1,1,10,1,33,62,1
96,2018-07-20,SEA,0,0,1,3,33,63,-1
97,2018-07-21,SEA,0,1,5,0,34,63,1
98,2018-07-22,SEA,0,0,2,8,34,64,-1
99,2018-07-23,LAA,0,1,5,3,35,64,1
100,2018-07-24,LAA,0,1,4,2,36,64,2
101,2018-07-25,LAA,0,0,3,11,36,65,-1
102,2018-07-26,LAA,0,0,8,12,36,66,-2
103,2018-07-27,TOR,1,0,5,10,36,67,-3
104,2018-07-28,TOR,1,1,9,5,37,67,1
105,2018-07-29,TOR,1,0,4,7,37,68,-1
106,2018-07-31,KCR,1,0,2,4,37,69,-2
107,2018-08-01,KCR,1,0,5,10,37,70,-3
108,2018-08-02,KCR,1,1,6,4,38,70,1
109,2018-08-03,TBR,0,1,3,2,39,70,2
110,2018-08-04,TBR,0,1,2,1,40,70,3
111,2018-08-05,TBR,0,1,8,7,41,70,4
112,2018-08-06,NYY,1,0,0,7,41,71,-1
113,2018-08-07,NYY,1,0,3,4,41,72,-2
114,2018-08-08,NYY,1,0,3,7,41,73,-3
115,2018-08-10,CLE,1,1,1,0,42,73,1
116,2018-08-11,CLE,1,0,1,3,42,74,-1
117,2018-08-12,CLE,1,0,7,9,42,75,-2
118,2018-08-13,DET,0,0,5,9,42,76,-3
119,2018-08-14,DET,0,1,6,3,43,76,1
120,2018-08-15,DET,0,1,6,5,44,76,2
121,2018-08-17,KCR,1,1,9,3,45,76,3
122,2018-08-18,KCR,1,0,1,3,45,77,-1
123,2018-08-19,KCR,1,1,7,6,46,77,1
124,2018-08-20,MIN,0,1,8,5,47,77,2
125,2018-08-21,MIN,1,0,2,5,47,78,-1
126,2018-08-22,MIN,1,1,7,3,48,78,1
127,2018-08-23,DET,0,0,2,7,48,79,-1
128,2018-08-24,DET,0,1,6,3,49,79,1
129,2018-08-25,DET,0,1,6,1,50,79,2
130,2018-08-26,DET,0,1,7,2,51,79,3
131,2018-08-27,NYY,0,1,6,2,52,79,4
132,2018-08-28,NYY,0,0,4,5,52,80,-1
133,2018-08-29,NYY,0,1,4,1,53,80,1
134,2018-08-30,BOS,1,0,4,9,53,81,-1
135,2018-08-31,BOS,1,1,6,1,54,81,1
136,2018-09-01,BOS,1,0,1,6,54,82,-1
137,2018-09-02,BOS,1,1,8,0,55,82,1
138,2018-09-03,DET,1,1,4,2,56,82,2
139,2018-09-04,DET,1,0,3,8,56,83,-1
140,2018-09-05,DET,1,0,2,10,56,84,-2
141,2018-09-07,LAA,1,0,2,5,56,85,-3
142,2018-09-08,LAA,1,0,3,12,56,86,-4
143,2018-09-09,LAA,1,0,0,1,56,87,-5
144,2018-09-10,KCR,0,0,3,4,56,88,-6
145,2018-09-11,KCR,0,0,3,6,56,89,-7
146,2018-09-12,KCR,0,1,4,2,57,89,1
147,2018-09-14,BAL,0,1,8,6,58,89,2
148,2018-09-15,BAL,0,1,2,0,59,89,3
149,2018-09-16,BAL,0,0,4,8,59,90,-1
150,2018-09-18,CLE,0,0,3,5,59,91,-2
151,2018-09-19,CLE,0,0,1,4,59,92,-3
152,2018-09-20,CLE,0,1,5,4,60,92,1
153,2018-09-21,CHC,1,1,10,4,61,92,2
154,2018-09-22,CHC,1,0,3,8,61,93,-1
155,2018-09-23,CHC,1,0,1,6,61,94,-2
156,2018-09-24,CLE,1,0,0,4,61,95,-3
157,2018-09-25,CLE,1,1,5,4,62,95,1
158,2018-09-26,CLE,1,0,2,10,62,96,-1
159,2018-09-28,MIN,0,0,1,2,62,97,-2
160,2018-09-28,MIN,0,0,4,12,62,98,-3
161,2018-09-29,MIN,0,0,3,8,62,99,-4
162,2018-09-30,MIN,0,0,4,5,62,100,-5
