Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,WSN,1,0,0,2,0,1,-1
2,2018-03-31,WSN,1,0,7,13,0,2,-2
3,2018-04-01,WSN,1,0,5,6,0,3,-3
4,2018-04-02,CHC,1,1,1,0,1,3,1
5,2018-04-05,PIT,0,0,2,5,1,4,-1
6,2018-04-06,PIT,0,0,3,14,1,5,-2
7,2018-04-07,PIT,0,1,7,4,2,5,1
8,2018-04-08,PIT,0,0,0,5,2,6,-1
9,2018-04-09,PHI,0,0,5,6,2,7,-2
10,2018-04-10,PHI,0,0,1,6,2,8,-3
11,2018-04-11,PHI,0,0,3,4,2,9,-4
12,2018-04-12,STL,1,0,4,13,2,10,-5
13,2018-04-13,STL,1,0,3,5,2,11,-6
14,2018-04-14,STL,1,0,1,6,2,12,-7
15,2018-04-15,STL,1,0,2,3,2,13,-8
16,2018-04-16,MIL,0,1,10,4,3,13,1
17,2018-04-17,MIL,0,0,0,2,3,14,-1
18,2018-04-18,MIL,0,0,0,2,3,15,-2
19,2018-04-20,STL,0,0,2,4,3,16,-3
20,2018-04-21,STL,0,0,3,4,3,17,-4
21,2018-04-22,STL,0,0,2,9,3,18,-5
22,2018-04-23,ATL,1,1,10,4,4,18,1
23,2018-04-24,ATL,1,1,9,7,5,18,2
24,2018-04-25,ATL,1,0,4,5,5,19,-1
25,2018-04-26,ATL,1,0,4,7,5,20,-2
26,2018-04-27,MIN,0,1,15,9,6,20,1
27,2018-04-28,MIN,0,0,1,3,6,21,-1
28,2018-04-29,MIN,0,1,8,2,7,21,1
29,2018-04-30,MIL,1,0,5,6,7,22,-1
30,2018-05-01,MIL,1,0,6,7,7,23,-2
31,2018-05-02,MIL,1,0,1,3,7,24,-3
32,2018-05-04,MIA,1,1,4,1,8,24,1
33,2018-05-05,MIA,1,0,0,6,8,25,-1
34,2018-05-06,MIA,1,0,5,8,8,26,-2
35,2018-05-07,NYM,1,0,6,7,8,27,-3
36,2018-05-08,NYM,1,1,7,2,9,27,1
37,2018-05-09,NYM,1,1,2,1,10,27,2
38,2018-05-10,LAD,0,1,4,1,11,27,3
39,2018-05-11,LAD,0,1,6,2,12,27,4
40,2018-05-12,LAD,0,1,5,3,13,27,5
41,2018-05-13,LAD,0,1,5,3,14,27,6
42,2018-05-14,SFG,0,0,7,10,14,28,-1
43,2018-05-15,SFG,0,0,3,5,14,29,-2
44,2018-05-16,SFG,0,1,6,3,15,29,1
45,2018-05-18,CHC,1,0,1,8,15,30,-1
46,2018-05-19,CHC,1,1,5,4,16,30,1
47,2018-05-19,CHC,1,0,0,10,16,31,-1
48,2018-05-20,CHC,1,0,1,6,16,32,-2
49,2018-05-22,PIT,1,1,7,2,17,32,1
50,2018-05-23,PIT,1,0,4,5,17,33,-1
51,2018-05-24,PIT,1,1,5,4,18,33,1
52,2018-05-25,COL,0,0,4,5,18,34,-1
53,2018-05-26,COL,0,1,6,5,19,34,1
54,2018-05-27,COL,0,0,2,8,19,35,-1
55,2018-05-28,ARI,0,0,5,12,19,36,-2
56,2018-05-29,ARI,0,0,2,5,19,37,-3
57,2018-05-30,ARI,0,1,7,4,20,37,1
58,2018-06-01,SDP,0,1,7,2,21,37,2
59,2018-06-02,SDP,0,0,2,8,21,38,-1
60,2018-06-03,SDP,0,0,3,6,21,39,-2
61,2018-06-05,COL,1,0,6,9,21,40,-3
62,2018-06-06,COL,1,0,3,6,21,41,-4
63,2018-06-07,COL,1,1,7,5,22,41,1
64,2018-06-08,STL,1,0,6,7,22,42,-1
65,2018-06-09,STL,1,0,4,6,22,43,-2
66,2018-06-10,STL,1,1,6,3,23,43,1
67,2018-06-12,KCR,0,1,5,1,24,43,2
68,2018-06-13,KCR,0,1,7,0,25,43,3
69,2018-06-15,PIT,0,0,2,3,25,44,-1
70,2018-06-16,PIT,0,0,2,6,25,45,-2
71,2018-06-17,PIT,0,1,8,6,26,45,1
72,2018-06-19,DET,1,1,9,5,27,45,2
73,2018-06-20,DET,1,1,5,3,28,45,3
74,2018-06-21,CHC,1,1,6,2,29,45,4
75,2018-06-22,CHC,1,1,6,3,30,45,5
76,2018-06-23,CHC,1,1,11,2,31,45,6
77,2018-06-24,CHC,1,1,8,6,32,45,7
78,2018-06-25,ATL,0,0,4,5,32,46,-1
79,2018-06-26,ATL,0,1,5,3,33,46,1
