Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SEA,0,0,1,2,0,1,-1
2,2018-03-31,SEA,0,1,6,5,1,1,1
3,2018-04-01,SEA,0,0,4,5,1,2,-1
4,2018-04-02,LAA,0,1,6,0,2,2,1
5,2018-04-03,LAA,0,0,2,13,2,3,-1
6,2018-04-04,LAA,0,0,2,3,2,4,-2
7,2018-04-06,KCR,1,1,3,2,3,4,1
8,2018-04-07,KCR,1,0,0,1,3,5,-1
9,2018-04-08,KCR,1,1,3,1,4,5,1
10,2018-04-09,DET,1,1,2,0,5,5,2
11,2018-04-10,DET,1,1,2,1,6,5,3
12,2018-04-11,DET,1,1,5,1,7,5,4
13,2018-04-12,DET,1,1,9,3,8,5,5
14,2018-04-13,TOR,1,0,4,8,8,6,-1
15,2018-04-17,MIN,0,1,6,1,9,6,1
16,2018-04-18,MIN,0,0,1,2,9,7,-1
17,2018-04-20,BAL,0,0,1,3,9,8,-2
18,2018-04-21,BAL,0,1,4,0,10,8,1
19,2018-04-22,BAL,0,1,7,3,11,8,2
20,2018-04-23,BAL,0,1,2,1,12,8,3
21,2018-04-24,CHC,1,0,3,10,12,9,-1
22,2018-04-25,CHC,1,1,4,1,13,9,1
23,2018-04-26,SEA,1,0,4,5,13,10,-1
24,2018-04-27,SEA,1,1,6,5,14,10,1
25,2018-04-28,SEA,1,0,4,12,14,11,-1
26,2018-04-29,SEA,1,0,4,10,14,12,-2
27,2018-04-30,TEX,1,1,7,5,15,12,1
28,2018-05-01,TEX,1,0,6,8,15,13,-1
29,2018-05-02,TEX,1,1,12,4,16,13,1
30,2018-05-03,TOR,1,0,11,13,16,14,-1
31,2018-05-03,TOR,1,1,13,4,17,14,1
32,2018-05-04,NYY,0,0,6,7,17,15,-1
33,2018-05-05,NYY,0,0,2,5,17,16,-2
34,2018-05-06,NYY,0,0,4,7,17,17,-3
35,2018-05-08,MIL,0,0,2,3,17,18,-4
36,2018-05-09,MIL,0,1,6,2,18,18,1
37,2018-05-11,KCR,1,0,9,10,18,19,-1
38,2018-05-12,KCR,1,1,6,2,19,19,1
39,2018-05-13,KCR,1,1,11,2,20,19,2
40,2018-05-14,DET,0,0,3,6,20,20,-1
41,2018-05-15,DET,0,0,8,9,20,21,-2
42,2018-05-16,DET,0,1,6,0,21,21,1
43,2018-05-18,HOU,0,0,1,4,21,22,-1
44,2018-05-19,HOU,0,1,5,4,22,22,1
45,2018-05-20,HOU,0,0,1,3,22,23,-1
46,2018-05-22,CHC,0,1,10,1,23,23,1
47,2018-05-23,CHC,0,1,1,0,24,23,2
48,2018-05-24,HOU,1,0,2,8,24,24,-1
49,2018-05-25,HOU,1,0,2,11,24,25,-2
50,2018-05-26,HOU,1,1,8,6,25,25,1
51,2018-05-27,HOU,1,1,10,9,26,25,2
52,2018-05-28,CHW,1,1,9,6,27,25,3
53,2018-05-29,CHW,1,1,7,3,28,25,4
54,2018-05-30,CHW,1,1,9,1,29,25,5
55,2018-05-31,MIN,0,1,9,8,30,25,6
56,2018-06-01,MIN,0,0,4,7,30,26,-1
57,2018-06-02,MIN,0,0,1,7,30,27,-2
58,2018-06-03,MIN,0,0,5,7,30,28,-3
59,2018-06-05,MIL,1,1,3,2,31,28,1
60,2018-06-06,MIL,1,1,3,1,32,28,2
61,2018-06-08,DET,0,1,4,1,33,28,3
62,2018-06-09,DET,0,0,2,4,33,29,-1
63,2018-06-10,DET,0,1,9,2,34,29,1
64,2018-06-11,CHW,0,1,4,0,35,29,2
65,2018-06-12,CHW,0,0,1,5,35,30,-1
66,2018-06-13,CHW,0,0,2,3,35,31,-2
