Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,ARI,0,0,2,8,0,1,-1
2,2018-03-30,ARI,0,0,8,9,0,2,-2
3,2018-03-31,ARI,0,1,2,1,1,2,1
4,2018-04-02,SDP,0,1,7,4,2,2,2
5,2018-04-03,SDP,0,0,4,8,2,3,-1
6,2018-04-04,SDP,0,1,5,2,3,3,1
7,2018-04-05,SDP,0,1,3,1,4,3,2
8,2018-04-06,ATL,1,0,3,8,4,4,-1
9,2018-04-07,ATL,1,1,3,2,5,4,1
10,2018-04-08,ATL,1,0,0,4,5,5,-1
11,2018-04-09,SDP,1,0,6,7,5,6,-2
12,2018-04-10,SDP,1,0,2,5,5,7,-3
13,2018-04-11,SDP,1,1,6,4,6,7,1
14,2018-04-12,WSN,0,1,5,1,7,7,2
15,2018-04-13,WSN,0,1,2,1,8,7,3
16,2018-04-14,WSN,0,0,2,6,8,8,-1
17,2018-04-15,WSN,0,1,6,5,9,8,1
18,2018-04-16,PIT,0,1,6,2,10,8,2
19,2018-04-17,PIT,0,1,2,0,11,8,3
20,2018-04-18,PIT,0,0,2,10,11,9,-1
21,2018-04-20,CHC,1,0,5,16,11,10,-2
22,2018-04-21,CHC,1,1,5,2,12,10,1
23,2018-04-22,CHC,1,0,7,9,12,11,-1
24,2018-04-23,SDP,1,0,5,13,12,12,-2
25,2018-04-24,SDP,1,1,8,0,13,12,1
26,2018-04-25,SDP,1,1,5,2,14,12,2
27,2018-04-27,MIA,0,1,1,0,15,12,3
28,2018-04-28,MIA,0,0,1,4,15,13,-1
29,2018-04-29,MIA,0,0,0,3,15,14,-2
30,2018-04-30,CHC,0,0,2,3,15,15,-3
31,2018-05-01,CHC,0,1,3,1,16,15,1
32,2018-05-02,CHC,0,1,11,2,17,15,2
33,2018-05-04,NYM,0,1,8,7,18,15,3
34,2018-05-05,NYM,0,1,2,0,19,15,4
35,2018-05-06,NYM,0,1,3,2,20,15,5
36,2018-05-08,LAA,1,1,4,2,21,15,6
37,2018-05-09,LAA,1,0,0,8,21,16,-1
38,2018-05-10,MIL,1,0,2,5,21,17,-2
39,2018-05-11,MIL,1,0,10,11,21,18,-3
40,2018-05-12,MIL,1,1,4,0,22,18,1
41,2018-05-13,MIL,1,0,3,7,22,19,-1
42,2018-05-14,SDP,0,1,6,4,23,19,1
43,2018-05-15,SDP,0,0,0,4,23,20,-1
44,2018-05-17,SFG,0,1,5,3,24,20,1
45,2018-05-18,SFG,0,1,6,1,25,20,2
46,2018-05-19,SFG,0,0,4,9,25,21,-1
47,2018-05-20,SFG,0,0,5,9,25,22,-2
48,2018-05-21,LAD,0,1,2,1,26,22,1
49,2018-05-22,LAD,0,0,3,5,26,23,-1
50,2018-05-23,LAD,0,0,0,3,26,24,-2
51,2018-05-25,CIN,1,1,5,4,27,24,1
52,2018-05-26,CIN,1,0,5,6,27,25,-1
53,2018-05-27,CIN,1,1,8,2,28,25,1
54,2018-05-28,SFG,1,1,6,5,29,25,2
55,2018-05-29,SFG,1,1,11,4,30,25,3
56,2018-05-30,SFG,1,0,4,7,30,26,-1
57,2018-06-01,LAD,1,0,8,11,30,27,-2
58,2018-06-02,LAD,1,0,4,12,30,28,-3
59,2018-06-03,LAD,1,0,7,10,30,29,-4
60,2018-06-05,CIN,0,1,9,6,31,29,1
61,2018-06-06,CIN,0,1,6,3,32,29,2
62,2018-06-07,CIN,0,0,5,7,32,30,-1
63,2018-06-08,ARI,1,0,4,9,32,31,-2
64,2018-06-09,ARI,1,0,7,12,32,32,-3
65,2018-06-10,ARI,1,0,3,8,32,33,-4
66,2018-06-12,PHI,0,0,4,5,32,34,-5
67,2018-06-13,PHI,0,1,7,2,33,34,1
68,2018-06-14,PHI,0,0,3,9,33,35,-1
69,2018-06-15,TEX,0,1,9,5,34,35,1
70,2018-06-16,TEX,0,0,2,5,34,36,-1
71,2018-06-17,TEX,0,0,12,13,34,37,-2
72,2018-06-18,NYM,1,0,2,12,34,38,-3
73,2018-06-19,NYM,1,1,10,8,35,38,1
74,2018-06-20,NYM,1,1,10,8,36,38,2
75,2018-06-21,NYM,1,1,6,4,37,38,3
76,2018-06-22,MIA,1,1,11,3,38,38,4
77,2018-06-23,MIA,1,0,2,6,38,39,-1
78,2018-06-24,MIA,1,0,5,8,38,40,-2
79,2018-06-26,SFG,0,0,2,3,38,41,-3
80,2018-06-27,SFG,0,0,0,1,38,42,-4
81,2018-06-28,SFG,0,1,9,8,39,42,1
