Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,PIT,1,0,10,13,0,1,-1
2,2018-04-01,PIT,1,0,0,1,0,2,-2
3,2018-04-01,PIT,1,0,6,8,0,3,-3
4,2018-04-02,KCR,1,1,6,1,1,3,1
5,2018-04-03,KCR,1,0,0,1,1,4,-1
6,2018-04-05,CHW,0,1,9,7,2,4,1
7,2018-04-07,CHW,0,1,6,1,3,4,2
8,2018-04-08,CHW,0,1,1,0,4,4,3
9,2018-04-09,CLE,0,0,0,2,4,5,-1
10,2018-04-10,CLE,0,0,1,2,4,6,-2
11,2018-04-11,CLE,0,0,1,5,4,7,-3
12,2018-04-12,CLE,0,0,3,9,4,8,-4
13,2018-04-13,NYY,1,0,6,8,4,9,-5
14,2018-04-17,BAL,1,1,4,2,5,9,1
15,2018-04-18,BAL,1,1,6,5,6,9,2
16,2018-04-19,BAL,1,1,13,8,7,9,3
17,2018-04-20,KCR,1,1,3,2,8,9,4
18,2018-04-20,KCR,1,0,2,3,8,10,-1
19,2018-04-21,KCR,1,1,12,4,9,10,1
20,2018-04-22,KCR,1,0,5,8,9,11,-1
21,2018-04-25,PIT,0,1,13,10,10,11,1
22,2018-04-25,PIT,0,0,3,8,10,12,-1
23,2018-04-26,PIT,0,0,0,1,10,13,-2
24,2018-04-27,BAL,0,0,0,6,10,14,-3
25,2018-04-28,BAL,0,1,9,5,11,14,1
26,2018-04-29,BAL,0,0,3,5,11,15,-1
27,2018-04-30,TBR,1,0,2,3,11,16,-2
28,2018-05-01,TBR,1,1,2,1,12,16,1
29,2018-05-02,TBR,1,1,3,2,13,16,2
30,2018-05-03,KCR,0,0,6,10,13,17,-1
31,2018-05-04,KCR,0,0,2,4,13,18,-2
32,2018-05-05,KCR,0,1,3,2,14,18,1
33,2018-05-06,KCR,0,0,2,4,14,19,-1
34,2018-05-07,TEX,0,0,6,7,14,20,-2
35,2018-05-08,TEX,0,1,7,4,15,20,1
36,2018-05-09,TEX,0,0,4,5,15,21,-1
37,2018-05-12,SEA,1,1,4,3,16,21,1
38,2018-05-12,SEA,1,0,5,9,16,22,-1
39,2018-05-13,SEA,1,1,5,4,17,22,1
40,2018-05-14,CLE,1,1,6,3,18,22,2
41,2018-05-15,CLE,1,1,9,8,19,22,3
42,2018-05-16,CLE,1,0,0,6,19,23,-1
43,2018-05-17,SEA,0,1,3,2,20,23,1
44,2018-05-18,SEA,0,0,4,5,20,24,-1
45,2018-05-19,SEA,0,0,2,7,20,25,-2
46,2018-05-20,SEA,0,0,2,3,20,26,-3
47,2018-05-21,MIN,0,0,2,4,20,27,-4
48,2018-05-22,MIN,0,0,0,6,20,28,-5
49,2018-05-23,MIN,0,1,4,1,21,28,1
50,2018-05-25,CHW,1,1,5,4,22,28,2
51,2018-05-26,CHW,1,0,4,8,22,29,-1
52,2018-05-27,CHW,1,1,3,2,23,29,1
53,2018-05-28,LAA,1,1,9,3,24,29,2
54,2018-05-29,LAA,1,0,2,9,24,30,-1
55,2018-05-30,LAA,1,1,6,1,25,30,1
56,2018-05-31,LAA,1,1,6,2,26,30,2
57,2018-06-01,TOR,1,1,5,2,27,30,3
