Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TEX,0,1,4,1,1,0,1
2,2018-03-30,TEX,0,0,1,5,1,1,-1
3,2018-03-31,TEX,0,1,9,3,2,1,1
4,2018-04-01,TEX,0,1,8,2,3,1,2
5,2018-04-02,BAL,1,1,6,1,4,1,3
6,2018-04-03,BAL,1,1,10,6,5,1,4
7,2018-04-04,BAL,1,1,3,2,6,1,5
8,2018-04-06,SDP,1,0,1,4,6,2,-1
9,2018-04-07,SDP,1,1,1,0,7,2,1
10,2018-04-08,SDP,1,1,4,1,8,2,2
11,2018-04-09,MIN,0,1,2,0,9,2,3
12,2018-04-10,MIN,0,0,1,4,9,3,-1
13,2018-04-11,MIN,0,0,8,9,9,4,-2
14,2018-04-13,TEX,1,1,3,2,10,4,1
15,2018-04-14,TEX,1,0,5,6,10,5,-1
16,2018-04-15,TEX,1,0,1,3,10,6,-2
17,2018-04-16,SEA,0,0,1,2,10,7,-3
18,2018-04-17,SEA,0,1,4,1,11,7,1
19,2018-04-18,SEA,0,1,7,1,12,7,2
20,2018-04-19,SEA,0,1,9,2,13,7,3
21,2018-04-20,CHW,0,1,10,0,14,7,4
22,2018-04-21,CHW,0,1,10,1,15,7,5
23,2018-04-22,CHW,0,1,7,1,16,7,6
24,2018-04-23,LAA,1,0,0,2,16,8,-1
25,2018-04-24,LAA,1,0,7,8,16,9,-2
26,2018-04-25,LAA,1,1,5,2,17,9,1
27,2018-04-27,OAK,1,0,1,8,17,10,-1
28,2018-04-28,OAK,1,1,11,0,18,10,1
29,2018-04-29,OAK,1,1,8,4,19,10,2
30,2018-04-30,NYY,1,1,2,1,20,10,3
31,2018-05-01,NYY,1,0,0,4,20,11,-1
32,2018-05-02,NYY,1,0,0,4,20,12,-2
33,2018-05-03,NYY,1,0,5,6,20,13,-3
34,2018-05-04,ARI,0,1,8,0,21,13,1
35,2018-05-05,ARI,0,0,3,4,21,14,-1
36,2018-05-06,ARI,0,0,1,3,21,15,-2
37,2018-05-07,OAK,0,1,16,2,22,15,1
38,2018-05-08,OAK,0,1,4,2,23,15,2
39,2018-05-09,OAK,0,1,4,1,24,15,3
40,2018-05-11,TEX,1,0,0,1,24,16,-1
41,2018-05-12,TEX,1,1,6,1,25,16,1
42,2018-05-13,TEX,1,1,6,1,26,16,2
43,2018-05-14,LAA,0,0,1,2,26,17,-1
44,2018-05-15,LAA,0,1,5,3,27,17,1
45,2018-05-16,LAA,0,1,2,0,28,17,2
46,2018-05-18,CLE,1,1,4,1,29,17,3
47,2018-05-19,CLE,1,0,4,5,29,18,-1
48,2018-05-20,CLE,1,1,3,1,30,18,1
49,2018-05-22,SFG,1,1,11,2,31,18,2
50,2018-05-23,SFG,1,1,4,1,32,18,3
51,2018-05-24,CLE,0,1,8,2,33,18,4
52,2018-05-25,CLE,0,1,11,2,34,18,5
53,2018-05-26,CLE,0,0,6,8,34,19,-1
54,2018-05-27,CLE,0,0,9,10,34,20,-2
55,2018-05-28,NYY,0,1,5,1,35,20,1
56,2018-05-29,NYY,0,0,5,6,35,21,-1
57,2018-05-30,NYY,0,0,3,5,35,22,-2
58,2018-05-31,BOS,1,1,4,2,36,22,1
59,2018-06-01,BOS,1,1,7,3,37,22,2
60,2018-06-02,BOS,1,0,4,5,37,23,-1
61,2018-06-03,BOS,1,0,3,9,37,24,-2
62,2018-06-05,SEA,1,0,1,7,37,25,-3
63,2018-06-06,SEA,1,1,7,5,38,25,1
64,2018-06-07,TEX,0,1,5,2,39,25,2
65,2018-06-08,TEX,0,1,7,3,40,25,3
66,2018-06-09,TEX,0,1,4,3,41,25,4
67,2018-06-10,TEX,0,1,8,7,42,25,5
68,2018-06-12,OAK,0,1,6,3,43,25,6
69,2018-06-13,OAK,0,1,13,5,44,25,7
70,2018-06-14,OAK,0,1,7,3,45,25,8
71,2018-06-15,KCR,0,1,7,3,46,25,9
72,2018-06-16,KCR,0,1,10,2,47,25,10
73,2018-06-17,KCR,0,1,7,4,48,25,11
74,2018-06-18,TBR,1,1,5,4,49,25,12
75,2018-06-19,TBR,1,0,1,2,49,26,-1
76,2018-06-20,TBR,1,1,5,1,50,26,1
77,2018-06-22,KCR,1,0,0,1,50,27,-1
78,2018-06-23,KCR,1,1,4,3,51,27,1
79,2018-06-24,KCR,1,1,11,3,52,27,2
80,2018-06-25,TOR,1,0,3,6,52,28,-1
81,2018-06-26,TOR,1,1,7,0,53,28,1
82,2018-06-27,TOR,1,1,7,6,54,28,2
83,2018-06-28,TBR,0,1,1,0,55,28,3
84,2018-06-29,TBR,0,0,2,3,55,29,-1
85,2018-06-30,TBR,0,0,2,5,55,30,-2
86,2018-07-01,TBR,0,0,2,3,55,31,-3
87,2018-07-03,TEX,0,1,5,3,56,31,1
88,2018-07-04,TEX,0,1,5,4,57,31,2
89,2018-07-05,CHW,1,1,4,3,58,31,3
90,2018-07-06,CHW,1,1,11,4,59,31,4
91,2018-07-07,CHW,1,1,12,6,60,31,5
92,2018-07-08,CHW,1,1,2,1,61,31,6
93,2018-07-09,OAK,1,0,0,2,61,32,-1
94,2018-07-10,OAK,1,1,6,5,62,32,1
95,2018-07-11,OAK,1,0,3,8,62,33,-1
96,2018-07-12,OAK,1,0,4,6,62,34,-2
97,2018-07-13,DET,1,1,3,0,63,34,1
98,2018-07-14,DET,1,1,9,1,64,34,2
99,2018-07-15,DET,1,0,3,6,64,35,-1
100,2018-07-20,LAA,0,1,3,1,65,35,1
101,2018-07-21,LAA,0,1,7,0,66,35,2
102,2018-07-22,LAA,0,0,5,14,66,36,-1
103,2018-07-24,COL,0,1,8,2,67,36,1
