Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CHW,1,0,7,14,0,1,-1
2,2018-03-31,CHW,1,0,3,4,0,2,-2
3,2018-04-02,DET,0,0,1,6,0,3,-3
4,2018-04-03,DET,0,1,1,0,1,3,1
5,2018-04-06,CLE,0,0,2,3,1,4,-1
6,2018-04-07,CLE,0,1,1,0,2,4,1
7,2018-04-08,CLE,0,0,1,3,2,5,-1
8,2018-04-09,SEA,1,1,10,0,3,5,1
9,2018-04-10,SEA,1,0,3,8,3,6,-1
10,2018-04-11,SEA,1,0,2,4,3,7,-2
11,2018-04-12,LAA,1,0,1,7,3,8,-3
12,2018-04-13,LAA,1,0,4,5,3,9,-4
13,2018-04-14,LAA,1,0,3,5,3,10,-5
14,2018-04-17,TOR,0,0,3,11,3,11,-6
15,2018-04-17,TOR,0,0,4,5,3,12,-7
16,2018-04-18,TOR,0,0,5,15,3,13,-8
17,2018-04-20,DET,0,0,2,3,3,14,-9
18,2018-04-20,DET,0,1,3,2,4,14,1
19,2018-04-21,DET,0,0,4,12,4,15,-1
20,2018-04-22,DET,0,1,8,5,5,15,1
21,2018-04-24,MIL,1,0,2,5,5,16,-1
22,2018-04-25,MIL,1,0,2,6,5,17,-2
23,2018-04-26,CHW,1,0,3,6,5,18,-3
24,2018-04-27,CHW,1,0,4,7,5,19,-4
25,2018-04-28,CHW,1,0,0,8,5,20,-5
26,2018-04-28,CHW,1,1,5,2,6,20,1
27,2018-04-29,CHW,1,1,5,4,7,20,2
28,2018-04-30,BOS,0,0,6,10,7,21,-1
29,2018-05-01,BOS,0,1,7,6,8,21,1
30,2018-05-02,BOS,0,0,4,5,8,22,-1
31,2018-05-03,DET,1,1,10,6,9,22,1
32,2018-05-04,DET,1,1,4,2,10,22,2
33,2018-05-05,DET,1,0,2,3,10,23,-1
34,2018-05-06,DET,1,1,4,2,11,23,1
35,2018-05-08,BAL,0,1,15,7,12,23,2
36,2018-05-09,BAL,0,0,3,5,12,24,-1
37,2018-05-10,BAL,0,0,6,11,12,25,-2
38,2018-05-11,CLE,0,1,10,9,13,25,1
39,2018-05-12,CLE,0,0,2,6,13,26,-1
40,2018-05-13,CLE,0,0,2,11,13,27,-2
41,2018-05-14,TBR,1,0,1,2,13,28,-3
42,2018-05-15,TBR,1,0,5,6,13,29,-4
43,2018-05-16,TBR,1,0,3,5,13,30,-5
44,2018-05-18,NYY,1,1,5,2,14,30,1
45,2018-05-19,NYY,1,0,3,8,14,31,-1
46,2018-05-20,NYY,1,0,1,10,14,32,-2
47,2018-05-21,STL,0,0,0,6,14,33,-3
48,2018-05-22,STL,0,1,5,1,15,33,1
