Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,OAK,0,0,5,6,0,1,-1
2,2018-03-30,OAK,0,1,2,1,1,1,1
3,2018-03-31,OAK,0,1,8,3,2,1,2
4,2018-04-01,OAK,0,1,7,4,3,1,3
5,2018-04-02,CLE,1,0,0,6,3,2,-1
6,2018-04-03,CLE,1,1,13,2,4,2,1
7,2018-04-04,CLE,1,1,3,2,5,2,2
8,2018-04-06,OAK,1,1,13,9,6,2,3
9,2018-04-07,OAK,1,0,3,7,6,3,-1
10,2018-04-08,OAK,1,1,6,1,7,3,1
11,2018-04-09,TEX,0,1,8,3,8,3,2
12,2018-04-10,TEX,0,1,11,1,9,3,3
13,2018-04-11,TEX,0,1,7,2,10,3,4
14,2018-04-12,KCR,0,1,7,1,11,3,5
15,2018-04-13,KCR,0,1,5,4,12,3,6
16,2018-04-14,KCR,0,1,5,3,13,3,7
17,2018-04-17,BOS,1,0,1,10,13,4,-1
18,2018-04-18,BOS,1,0,0,9,13,5,-2
19,2018-04-19,BOS,1,0,2,8,13,6,-3
20,2018-04-20,SFG,1,0,1,8,13,7,-4
21,2018-04-21,SFG,1,1,4,3,14,7,1
22,2018-04-22,SFG,1,0,2,4,14,8,-1
23,2018-04-23,HOU,0,1,2,0,15,8,1
24,2018-04-24,HOU,0,1,8,7,16,8,2
25,2018-04-25,HOU,0,0,2,5,16,9,-1
26,2018-04-27,NYY,1,0,3,4,16,10,-2
27,2018-04-28,NYY,1,0,1,11,16,11,-3
28,2018-04-29,NYY,1,0,1,2,16,12,-4
29,2018-05-01,BAL,1,1,3,2,17,12,1
30,2018-05-02,BAL,1,1,10,7,18,12,2
31,2018-05-03,BAL,1,1,12,3,19,12,3
32,2018-05-04,SEA,0,1,5,0,20,12,4
33,2018-05-05,SEA,0,0,8,9,20,13,-1
34,2018-05-06,SEA,0,1,8,2,21,13,1
35,2018-05-08,COL,0,0,2,4,21,14,-1
36,2018-05-09,COL,0,1,8,0,22,14,1
