Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SFG,1,0,0,1,0,1,-1
2,2018-03-30,SFG,1,0,0,1,0,2,-2
3,2018-03-31,SFG,1,1,5,0,1,2,1
4,2018-04-01,SFG,1,1,9,0,2,2,2
5,2018-04-02,ARI,0,0,7,8,2,3,-1
6,2018-04-03,ARI,0,0,1,6,2,4,-2
7,2018-04-04,ARI,0,0,0,3,2,5,-3
8,2018-04-07,SFG,0,0,5,7,2,6,-4
9,2018-04-08,SFG,0,1,2,1,3,6,1
10,2018-04-10,OAK,1,1,4,0,4,6,2
11,2018-04-11,OAK,1,0,6,16,4,7,-1
12,2018-04-13,ARI,1,0,7,8,4,8,-2
13,2018-04-14,ARI,1,0,1,9,4,9,-3
14,2018-04-15,ARI,1,1,7,2,5,9,1
15,2018-04-16,SDP,0,1,10,3,6,9,2
16,2018-04-17,SDP,0,1,7,3,7,9,3
17,2018-04-18,SDP,0,1,13,4,8,9,4
18,2018-04-20,WSN,1,0,2,5,8,10,-1
19,2018-04-21,WSN,1,1,4,0,9,10,1
20,2018-04-22,WSN,1,1,4,3,10,10,2
21,2018-04-23,MIA,1,1,2,1,11,10,3
22,2018-04-24,MIA,1,0,2,3,11,11,-1
23,2018-04-25,MIA,1,0,6,8,11,12,-2
24,2018-04-27,SFG,0,0,4,6,11,13,-3
25,2018-04-28,SFG,0,1,15,6,12,13,1
26,2018-04-28,SFG,0,0,3,8,12,14,-1
27,2018-04-29,SFG,0,0,2,4,12,15,-2
28,2018-04-30,ARI,0,0,5,8,12,16,-3
29,2018-05-01,ARI,0,0,3,4,12,17,-4
30,2018-05-02,ARI,0,1,2,1,13,17,1
31,2018-05-03,ARI,0,1,5,2,14,17,2
32,2018-05-04,SDP,0,1,4,0,15,17,3
33,2018-05-05,SDP,0,0,4,7,15,18,-1
34,2018-05-06,SDP,0,0,0,3,15,19,-2
35,2018-05-08,ARI,1,0,5,8,15,20,-3
36,2018-05-09,ARI,1,1,6,3,16,20,1
37,2018-05-10,CIN,1,0,1,4,16,21,-1
38,2018-05-11,CIN,1,0,2,6,16,22,-2
39,2018-05-12,CIN,1,0,3,5,16,23,-3
40,2018-05-13,CIN,1,0,3,5,16,24,-4
41,2018-05-15,MIA,0,0,2,4,16,25,-5
42,2018-05-16,MIA,0,0,5,6,16,26,-6
43,2018-05-17,MIA,0,1,7,0,17,26,1
44,2018-05-19,WSN,0,1,4,1,18,26,2
45,2018-05-19,WSN,0,1,5,4,19,26,3
46,2018-05-20,WSN,0,1,7,2,20,26,4
47,2018-05-21,COL,1,0,1,2,20,27,-1
48,2018-05-22,COL,1,1,5,3,21,27,1
49,2018-05-23,COL,1,1,3,0,22,27,2
50,2018-05-25,SDP,1,1,4,1,23,27,3
51,2018-05-26,SDP,1,0,5,7,23,28,-1
52,2018-05-27,SDP,1,1,6,1,24,28,1
53,2018-05-28,PHI,1,1,5,4,25,28,2
54,2018-05-29,PHI,1,0,1,6,25,29,-1
55,2018-05-30,PHI,1,1,8,2,26,29,1
56,2018-05-31,PHI,1,0,1,2,26,30,-1
57,2018-06-01,COL,0,1,11,8,27,30,1
58,2018-06-02,COL,0,1,12,4,28,30,2
59,2018-06-03,COL,0,1,10,7,29,30,3
60,2018-06-05,PIT,0,1,5,0,30,30,4
61,2018-06-06,PIT,0,0,9,11,30,31,-1
62,2018-06-07,PIT,0,1,8,7,31,31,1
63,2018-06-08,ATL,1,1,7,3,32,31,2
64,2018-06-09,ATL,1,0,3,5,32,32,-1
65,2018-06-10,ATL,1,1,7,2,33,32,1
66,2018-06-12,TEX,1,1,12,5,34,32,2
67,2018-06-13,TEX,1,1,3,2,35,32,3
68,2018-06-15,SFG,1,1,3,2,36,32,4
69,2018-06-16,SFG,1,1,3,1,37,32,5
70,2018-06-17,SFG,1,0,1,4,37,33,-1
71,2018-06-19,CHC,0,1,4,3,38,33,1
72,2018-06-19,CHC,0,0,1,2,38,34,-1
73,2018-06-20,CHC,0,0,0,4,38,35,-2
74,2018-06-22,NYM,0,1,5,2,39,35,1
75,2018-06-23,NYM,0,1,8,3,40,35,2
76,2018-06-24,NYM,0,1,8,7,41,35,3
77,2018-06-25,CHC,1,1,2,1,42,35,4
78,2018-06-26,CHC,1,0,4,9,42,36,-1
79,2018-06-27,CHC,1,1,7,5,43,36,1
80,2018-06-28,CHC,1,0,5,11,43,37,-1
81,2018-06-29,COL,1,0,1,3,43,38,-2
82,2018-06-30,COL,1,0,1,3,43,39,-3
83,2018-07-01,COL,1,1,6,4,44,39,1
84,2018-07-02,PIT,1,1,17,1,45,39,2
85,2018-07-03,PIT,1,1,8,3,46,39,3
86,2018-07-04,PIT,1,1,6,4,47,39,4
87,2018-07-06,LAA,0,0,2,3,47,40,-1
88,2018-07-07,LAA,0,1,3,1,48,40,1
89,2018-07-08,LAA,0,0,3,4,48,41,-1
90,2018-07-09,SDP,0,1,8,2,49,41,1
91,2018-07-10,SDP,0,0,1,4,49,42,-1
92,2018-07-11,SDP,0,1,4,2,50,42,1
93,2018-07-12,SDP,0,1,3,2,51,42,2
94,2018-07-13,LAA,1,1,3,2,52,42,3
95,2018-07-14,LAA,1,0,4,5,52,43,-1
96,2018-07-15,LAA,1,1,5,3,53,43,1
97,2018-07-20,MIL,0,1,6,4,54,43,2
98,2018-07-21,MIL,0,0,2,4,54,44,-1
99,2018-07-22,MIL,0,1,11,2,55,44,1
100,2018-07-23,PHI,0,1,7,6,56,44,2
