Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CHC,1,0,4,8,0,1,-1
2,2018-03-30,CHC,1,1,2,1,1,1,1
3,2018-03-31,CHC,1,0,6,10,1,2,-1
4,2018-04-01,CHC,1,1,6,0,2,2,1
5,2018-04-02,BOS,1,0,3,7,2,3,-1
6,2018-04-03,BOS,1,0,2,4,2,4,-2
7,2018-04-05,PHI,0,0,0,5,2,5,-3
8,2018-04-07,PHI,0,0,1,20,2,6,-4
9,2018-04-08,PHI,0,1,6,3,3,6,1
10,2018-04-09,NYM,1,0,2,4,3,7,-1
11,2018-04-10,NYM,1,0,6,8,3,8,-2
12,2018-04-11,NYM,1,0,1,4,3,9,-3
13,2018-04-13,PIT,1,1,7,2,4,9,1
14,2018-04-14,PIT,1,0,0,1,4,10,-1
15,2018-04-15,PIT,1,0,3,7,4,11,-2
16,2018-04-16,NYY,0,0,1,12,4,12,-3
17,2018-04-17,NYY,0,1,9,1,5,12,1
18,2018-04-19,MIL,0,0,3,12,5,13,-1
19,2018-04-20,MIL,0,0,0,8,5,14,-2
20,2018-04-21,MIL,0,0,5,6,5,15,-3
21,2018-04-22,MIL,0,0,2,4,5,16,-4
22,2018-04-23,LAD,0,0,1,2,5,17,-5
23,2018-04-24,LAD,0,1,3,2,6,17,1
24,2018-04-25,LAD,0,1,8,6,7,17,2
25,2018-04-27,COL,1,0,0,1,7,18,-1
26,2018-04-28,COL,1,1,4,1,8,18,1
27,2018-04-29,COL,1,1,3,0,9,18,2
28,2018-04-30,PHI,1,1,8,4,10,18,3
29,2018-05-01,PHI,1,1,2,1,11,18,4
30,2018-05-02,PHI,1,0,0,6,11,19,-1
31,2018-05-04,CIN,0,0,1,4,11,20,-2
32,2018-05-05,CIN,0,1,6,0,12,20,1
33,2018-05-06,CIN,0,1,8,5,13,20,2
34,2018-05-07,CHC,0,0,2,14,13,21,-1
35,2018-05-08,CHC,0,0,3,4,13,22,-2
36,2018-05-09,CHC,0,0,4,13,13,23,-3
37,2018-05-10,ATL,1,0,2,9,13,24,-4
38,2018-05-11,ATL,1,1,6,3,14,24,1
39,2018-05-12,ATL,1,0,5,10,14,25,-1
40,2018-05-13,ATL,1,0,3,4,14,26,-2
41,2018-05-15,LAD,1,1,4,2,15,26,1
42,2018-05-16,LAD,1,1,6,5,16,26,2
43,2018-05-17,LAD,1,0,0,7,16,27,-1
44,2018-05-18,ATL,0,1,2,0,17,27,1
45,2018-05-19,ATL,0,0,1,8,17,28,-1
46,2018-05-20,ATL,0,0,9,10,17,29,-2
47,2018-05-21,NYM,0,0,0,2,17,30,-3
48,2018-05-22,NYM,0,1,5,1,18,30,1
49,2018-05-23,NYM,0,1,2,1,19,30,2
50,2018-05-25,WSN,1,0,5,9,19,31,-1
51,2018-05-26,WSN,1,0,1,4,19,32,-2
52,2018-05-27,WSN,1,0,2,5,19,33,-3
53,2018-05-28,SDP,0,1,7,2,20,33,1
54,2018-05-29,SDP,0,0,5,9,20,34,-1
55,2018-05-30,SDP,0,0,2,3,20,35,-2
56,2018-05-31,SDP,0,0,3,8,20,36,-3
57,2018-06-01,ARI,0,0,1,9,20,37,-4
58,2018-06-02,ARI,0,0,2,6,20,38,-5
59,2018-06-03,ARI,0,0,1,6,20,39,-6
60,2018-06-05,STL,0,1,7,4,21,39,1
61,2018-06-06,STL,0,1,11,3,22,39,2
62,2018-06-07,STL,0,0,1,4,22,40,-1
63,2018-06-08,SDP,1,1,4,0,23,40,1
64,2018-06-09,SDP,1,0,4,5,23,41,-1
65,2018-06-10,SDP,1,0,1,3,23,42,-2
66,2018-06-11,SFG,1,1,7,5,24,42,1
67,2018-06-12,SFG,1,1,3,1,25,42,2
68,2018-06-13,SFG,1,1,5,4,26,42,3
69,2018-06-14,SFG,1,0,3,6,26,43,-1
70,2018-06-15,BAL,0,1,2,0,27,43,1
71,2018-06-16,BAL,0,1,5,4,28,43,2
72,2018-06-17,BAL,0,0,4,10,28,44,-1
73,2018-06-18,SFG,0,1,5,4,29,44,1
74,2018-06-19,SFG,0,0,3,6,29,45,-1
75,2018-06-20,SFG,0,0,5,6,29,46,-2
76,2018-06-22,COL,0,0,3,11,29,47,-3
77,2018-06-23,COL,0,1,6,2,30,47,1
78,2018-06-24,COL,0,1,8,5,31,47,2
79,2018-06-25,ARI,1,1,9,5,32,47,3
80,2018-06-26,ARI,1,0,3,5,32,48,-1
81,2018-06-27,ARI,1,0,1,2,32,49,-2
82,2018-06-28,ARI,1,0,0,4,32,50,-3
83,2018-06-29,NYM,1,1,8,2,33,50,1
84,2018-06-30,NYM,1,1,5,2,34,50,2
85,2018-07-01,NYM,1,0,2,5,34,51,-1
86,2018-07-02,TBR,1,1,3,2,35,51,1
87,2018-07-03,TBR,1,0,6,9,35,52,-1
88,2018-07-04,TBR,1,1,3,0,36,52,1
89,2018-07-05,WSN,0,0,12,14,36,53,-1
90,2018-07-06,WSN,0,0,2,3,36,54,-2
91,2018-07-07,WSN,0,0,4,18,36,55,-3
92,2018-07-08,WSN,0,1,10,2,37,55,1
93,2018-07-09,MIL,1,1,4,3,38,55,2
94,2018-07-10,MIL,1,0,4,8,38,56,-1
95,2018-07-11,MIL,1,1,5,4,39,56,1
96,2018-07-13,PHI,1,0,0,2,39,57,-1
97,2018-07-14,PHI,1,1,2,0,40,57,1
98,2018-07-15,PHI,1,1,10,5,41,57,2
99,2018-07-20,TBR,0,1,6,5,42,57,3
100,2018-07-21,TBR,0,1,3,2,43,57,4
101,2018-07-22,TBR,0,0,4,6,43,58,-1
102,2018-07-23,ATL,1,0,1,12,43,59,-2
103,2018-07-24,ATL,1,1,9,3,44,59,1
104,2018-07-26,WSN,1,0,3,10,44,60,-1
105,2018-07-27,WSN,1,0,1,9,44,61,-2
106,2018-07-28,WSN,1,1,2,1,45,61,1
107,2018-07-29,WSN,1,1,5,0,46,61,2
108,2018-07-30,ATL,0,0,3,5,46,62,-1
109,2018-07-31,ATL,0,0,6,11,46,63,-2
110,2018-08-02,PHI,0,0,2,5,46,64,-3
111,2018-08-03,PHI,0,0,1,5,46,65,-4
112,2018-08-04,PHI,0,0,3,8,46,66,-5
113,2018-08-05,PHI,0,0,3,5,46,67,-6
114,2018-08-06,STL,1,1,2,1,47,67,1
115,2018-08-07,STL,1,0,2,3,47,68,-1
116,2018-08-08,STL,1,0,1,7,47,69,-2
117,2018-08-10,NYM,1,0,2,6,47,70,-3
118,2018-08-11,NYM,1,1,4,3,48,70,1
119,2018-08-12,NYM,1,0,3,4,48,71,-1
120,2018-08-13,ATL,0,0,1,9,48,72,-2
121,2018-08-13,ATL,0,0,1,6,48,73,-3
122,2018-08-14,ATL,0,0,6,10,48,74,-4
123,2018-08-15,ATL,0,0,2,5,48,75,-5
124,2018-08-17,WSN,0,0,2,8,48,76,-6
125,2018-08-18,WSN,0,1,7,5,49,76,1
126,2018-08-19,WSN,0,1,12,1,50,76,2
127,2018-08-21,NYY,1,0,1,2,50,77,-1
128,2018-08-22,NYY,1,1,9,3,51,77,1
129,2018-08-23,ATL,1,0,0,5,51,78,-1
130,2018-08-24,ATL,1,1,1,0,52,78,1
131,2018-08-25,ATL,1,1,3,1,53,78,2
132,2018-08-26,ATL,1,0,0,4,53,79,-1
133,2018-08-28,BOS,0,0,7,8,53,80,-2
134,2018-08-29,BOS,0,0,6,14,53,81,-3
135,2018-08-31,TOR,1,0,5,6,53,82,-4
136,2018-09-01,TOR,1,1,6,3,54,82,1
137,2018-09-02,TOR,1,0,1,6,54,83,-1
138,2018-09-03,PHI,1,1,3,1,55,83,1
139,2018-09-04,PHI,1,0,4,9,55,84,-1
140,2018-09-05,PHI,1,1,2,1,56,84,1
141,2018-09-07,PIT,0,0,3,5,56,85,-1
142,2018-09-08,PIT,0,0,1,5,56,86,-2
143,2018-09-11,NYM,0,1,5,3,57,86,1
144,2018-09-12,NYM,0,0,0,13,57,87,-1
145,2018-09-13,NYM,0,0,3,4,57,88,-2
146,2018-09-13,NYM,0,0,2,5,57,89,-3
147,2018-09-14,PHI,0,0,2,14,57,90,-4
148,2018-09-15,PHI,0,0,4,5,57,91,-5
149,2018-09-16,PHI,0,1,6,4,58,91,1
150,2018-09-17,WSN,1,1,8,5,59,91,2
151,2018-09-18,WSN,1,0,2,4,59,92,-1
152,2018-09-20,CIN,1,0,2,4,59,93,-2
153,2018-09-21,CIN,1,1,1,0,60,93,1
154,2018-09-22,CIN,1,1,5,1,61,93,2
155,2018-09-23,CIN,1,1,6,0,62,93,3
156,2018-09-24,WSN,0,0,3,7,62,94,-1
157,2018-09-25,WSN,0,0,4,9,62,95,-2
158,2018-09-26,WSN,0,0,3,9,62,96,-3
159,2018-09-28,NYM,0,1,8,1,63,96,1
160,2018-09-29,NYM,0,0,0,1,63,97,-1
161,2018-09-30,NYM,0,0,0,1,63,98,-2
