Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,SDP,0,1,2,1,1,0,1
2,2018-03-30,SDP,0,1,8,6,2,0,2
3,2018-03-31,SDP,0,1,7,3,3,0,3
4,2018-04-02,STL,1,0,4,8,3,1,-1
5,2018-04-03,STL,1,1,5,4,4,1,1
6,2018-04-04,STL,1,0,0,6,4,2,-1
7,2018-04-05,CHC,1,0,0,8,4,3,-2
8,2018-04-06,CHC,1,1,5,4,5,3,1
9,2018-04-07,CHC,1,0,2,5,5,4,-1
10,2018-04-08,CHC,1,0,0,3,5,5,-2
11,2018-04-09,STL,0,1,5,4,6,5,1
12,2018-04-10,STL,0,0,3,5,6,6,-1
13,2018-04-11,STL,0,1,3,2,7,6,1
14,2018-04-13,NYM,0,0,5,6,7,7,-1
15,2018-04-14,NYM,0,1,5,1,8,7,1
16,2018-04-15,NYM,0,0,2,3,8,8,-1
17,2018-04-16,CIN,1,0,4,10,8,9,-2
18,2018-04-17,CIN,1,1,2,0,9,9,1
19,2018-04-18,CIN,1,1,2,0,10,9,2
20,2018-04-19,MIA,1,1,12,3,11,9,3
21,2018-04-20,MIA,1,1,8,0,12,9,4
22,2018-04-21,MIA,1,1,6,5,13,9,5
23,2018-04-22,MIA,1,1,4,2,14,9,6
24,2018-04-24,KCR,0,1,5,2,15,9,7
25,2018-04-25,KCR,0,1,6,2,16,9,8
26,2018-04-26,CHC,0,0,0,1,16,10,-1
27,2018-04-27,CHC,0,0,2,3,16,11,-2
28,2018-04-28,CHC,0,0,0,3,16,12,-3
29,2018-04-29,CHC,0,0,0,2,16,13,-4
30,2018-04-30,CIN,0,1,6,5,17,13,1
31,2018-05-01,CIN,0,1,7,6,18,13,2
32,2018-05-02,CIN,0,1,3,1,19,13,3
33,2018-05-04,PIT,1,0,4,6,19,14,-1
34,2018-05-05,PIT,1,1,5,3,20,14,1
35,2018-05-06,PIT,1,0,0,9,20,15,-1
36,2018-05-08,CLE,1,1,3,2,21,15,1
37,2018-05-09,CLE,1,0,2,6,21,16,-1
38,2018-05-10,COL,0,1,5,2,22,16,1
39,2018-05-11,COL,0,1,11,10,23,16,2
40,2018-05-12,COL,0,0,0,4,23,17,-1
41,2018-05-13,COL,0,1,7,3,24,17,1
42,2018-05-14,ARI,0,1,7,2,25,17,2
