Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,BAL,0,0,2,3,0,1,-1
2,2018-03-31,BAL,0,1,6,2,1,1,1
3,2018-04-01,BAL,0,1,7,0,2,1,2
4,2018-04-02,PIT,0,0,4,5,2,2,-1
5,2018-04-04,PIT,0,1,7,3,3,2,1
6,2018-04-05,SEA,1,1,4,2,4,2,2
7,2018-04-07,SEA,1,0,4,11,4,3,-1
8,2018-04-09,HOU,1,0,0,2,4,4,-2
9,2018-04-10,HOU,1,1,4,1,5,4,1
10,2018-04-11,HOU,1,1,9,8,6,4,2
11,2018-04-12,CHW,1,1,4,0,7,4,3
12,2018-04-17,CLE,1,0,1,6,7,5,-1
13,2018-04-18,CLE,1,1,2,1,8,5,1
14,2018-04-20,TBR,0,0,7,8,8,6,-1
15,2018-04-21,TBR,0,0,1,10,8,7,-2
16,2018-04-22,TBR,0,0,6,8,8,8,-3
17,2018-04-23,NYY,0,0,1,14,8,9,-4
18,2018-04-24,NYY,0,0,3,8,8,10,-5
19,2018-04-25,NYY,0,0,4,7,8,11,-6
20,2018-04-26,NYY,0,0,3,4,8,12,-7
21,2018-04-27,CIN,1,0,9,15,8,13,-8
22,2018-04-28,CIN,1,1,3,1,9,13,1
23,2018-04-29,CIN,1,0,2,8,9,14,-1
24,2018-04-30,TOR,1,0,5,7,9,15,-2
25,2018-05-01,TOR,1,0,4,7,9,16,-3
26,2018-05-02,TOR,1,1,4,0,10,16,1
27,2018-05-03,CHW,0,0,5,6,10,17,-1
28,2018-05-04,CHW,0,1,6,4,11,17,1
29,2018-05-05,CHW,0,1,8,4,12,17,2
30,2018-05-06,CHW,0,1,5,3,13,17,3
31,2018-05-07,STL,0,1,6,0,14,17,4
32,2018-05-08,STL,0,1,7,1,15,17,5
33,2018-05-10,LAA,0,0,4,7,15,18,-1
34,2018-05-11,LAA,0,1,5,4,16,18,1
35,2018-05-12,LAA,0,1,5,3,17,18,2
36,2018-05-13,LAA,0,0,1,2,17,19,-1
37,2018-05-14,SEA,1,0,0,1,17,20,-2
38,2018-05-15,STL,1,1,4,1,18,20,1
39,2018-05-16,STL,1,0,5,7,18,21,-1
40,2018-05-18,MIL,1,0,3,8,18,22,-2
41,2018-05-19,MIL,1,0,4,5,18,23,-3
42,2018-05-20,MIL,1,1,3,1,19,23,1
43,2018-05-21,DET,1,1,4,2,20,23,2
44,2018-05-22,DET,1,1,6,0,21,23,3
45,2018-05-23,DET,1,0,1,4,21,24,-1
46,2018-05-25,SEA,0,0,1,2,21,25,-2
47,2018-05-26,SEA,0,0,3,4,21,26,-3
48,2018-05-27,SEA,0,0,1,3,21,27,-4
49,2018-05-28,KCR,0,1,8,5,22,27,1
50,2018-05-29,KCR,0,0,1,2,22,28,-1
51,2018-05-30,KCR,0,0,8,11,22,29,-2
52,2018-05-31,CLE,1,0,8,9,22,30,-3
