Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,STL,1,1,9,4,1,0,1
2,2018-03-31,STL,1,1,6,2,2,0,2
3,2018-04-01,STL,1,0,1,5,2,1,-1
4,2018-04-03,PHI,1,1,2,0,3,1,1
5,2018-04-04,PHI,1,1,4,2,4,1,2
6,2018-04-05,WSN,0,1,8,2,5,1,3
7,2018-04-07,WSN,0,1,3,2,6,1,4
8,2018-04-08,WSN,0,1,6,5,7,1,5
9,2018-04-09,MIA,0,1,4,2,8,1,6
10,2018-04-10,MIA,0,1,8,6,9,1,7
11,2018-04-11,MIA,0,1,4,1,10,1,8
12,2018-04-13,MIL,1,1,6,5,11,1,9
13,2018-04-14,MIL,1,0,1,5,11,2,-1
14,2018-04-15,MIL,1,1,3,2,12,2,1
15,2018-04-16,WSN,1,0,6,8,12,3,-1
16,2018-04-17,WSN,1,0,2,5,12,4,-2
17,2018-04-18,WSN,1,1,11,5,13,4,1
18,2018-04-19,ATL,0,0,4,12,13,5,-1
19,2018-04-20,ATL,0,1,5,3,14,5,1
20,2018-04-21,ATL,0,0,3,4,14,6,-1
21,2018-04-24,STL,0,1,6,5,15,6,1
22,2018-04-25,STL,0,0,1,9,15,7,-1
23,2018-04-26,STL,0,0,3,4,15,8,-2
24,2018-04-27,SDP,0,1,5,1,16,8,1
25,2018-04-28,SDP,0,0,2,12,16,9,-1
26,2018-04-29,SDP,0,1,14,2,17,9,1
27,2018-05-01,ATL,1,0,2,3,17,10,-1
28,2018-05-02,ATL,1,0,0,7,17,11,-2
29,2018-05-03,ATL,1,0,0,11,17,12,-3
30,2018-05-04,COL,1,0,7,8,17,13,-4
31,2018-05-05,COL,1,0,0,2,17,14,-5
32,2018-05-06,COL,1,0,2,3,17,15,-6
33,2018-05-07,CIN,0,1,7,6,18,15,1
34,2018-05-08,CIN,0,0,2,7,18,16,-1
35,2018-05-09,CIN,0,0,1,2,18,17,-2
36,2018-05-11,PHI,0,1,3,1,19,17,1
37,2018-05-13,PHI,0,0,2,4,19,18,-1
38,2018-05-15,TOR,1,1,12,2,20,18,1
39,2018-05-16,TOR,1,0,1,12,20,19,-1
40,2018-05-18,ARI,1,1,3,1,21,19,1
41,2018-05-19,ARI,1,1,5,4,22,19,2
42,2018-05-20,ARI,1,1,4,1,23,19,3
43,2018-05-21,MIA,1,1,2,0,24,19,4
44,2018-05-22,MIA,1,0,1,5,24,20,-1
45,2018-05-23,MIA,1,0,1,2,24,21,-2
46,2018-05-24,MIL,0,1,5,0,25,21,1
47,2018-05-25,MIL,0,0,3,4,25,22,-1
48,2018-05-26,MIL,0,0,6,17,25,23,-2
49,2018-05-27,MIL,0,0,7,8,25,24,-3
50,2018-05-28,ATL,0,0,3,4,25,25,-4
51,2018-05-28,ATL,0,1,8,5,26,25,1
52,2018-05-29,ATL,0,0,6,7,26,26,-1
53,2018-05-30,ATL,0,1,4,1,27,26,1
54,2018-05-31,CHC,1,0,1,5,27,27,-1
55,2018-06-01,CHC,1,0,4,7,27,28,-2
