Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,TOR,0,1,6,1,1,0,1
2,2018-03-30,TOR,0,1,4,2,2,0,2
3,2018-03-31,TOR,0,0,3,5,2,1,-1
4,2018-04-01,TOR,0,0,4,7,2,2,-2
5,2018-04-03,TBR,1,1,11,4,3,2,1
6,2018-04-04,TBR,1,1,7,2,4,2,2
7,2018-04-05,BAL,1,0,2,5,4,3,-1
8,2018-04-06,BAL,1,0,3,7,4,4,-2
9,2018-04-07,BAL,1,1,8,3,5,4,1
10,2018-04-08,BAL,1,0,7,8,5,5,-1
11,2018-04-10,BOS,0,0,1,14,5,6,-2
12,2018-04-11,BOS,0,1,10,7,6,6,1
13,2018-04-12,BOS,0,0,3,6,6,7,-1
14,2018-04-13,DET,0,1,8,6,7,7,1
15,2018-04-16,MIA,1,1,12,1,8,7,2
16,2018-04-17,MIA,1,0,1,9,8,8,-1
17,2018-04-19,TOR,1,1,4,3,9,8,1
18,2018-04-20,TOR,1,0,5,8,9,9,-1
19,2018-04-21,TOR,1,1,9,1,10,9,1
20,2018-04-22,TOR,1,1,5,1,11,9,2
21,2018-04-23,MIN,1,1,14,1,12,9,3
22,2018-04-24,MIN,1,1,8,3,13,9,4
23,2018-04-25,MIN,1,1,7,4,14,9,5
24,2018-04-26,MIN,1,1,4,3,15,9,6
25,2018-04-27,LAA,0,1,4,3,16,9,7
26,2018-04-28,LAA,0,1,11,1,17,9,8
27,2018-04-29,LAA,0,1,2,1,18,9,9
28,2018-04-30,HOU,0,0,1,2,18,10,-1
29,2018-05-01,HOU,0,1,4,0,19,10,1
30,2018-05-02,HOU,0,1,4,0,20,10,2
31,2018-05-03,HOU,0,1,6,5,21,10,3
32,2018-05-04,CLE,1,1,7,6,22,10,4
33,2018-05-05,CLE,1,1,5,2,23,10,5
34,2018-05-06,CLE,1,1,7,4,24,10,6
35,2018-05-08,BOS,1,1,3,2,25,10,7
36,2018-05-09,BOS,1,1,9,6,26,10,8
37,2018-05-10,BOS,1,0,4,5,26,11,-1
38,2018-05-11,OAK,1,0,5,10,26,12,-2
39,2018-05-12,OAK,1,1,7,6,27,12,1
40,2018-05-13,OAK,1,1,6,2,28,12,2
41,2018-05-15,WSN,0,0,3,5,28,13,-1
42,2018-05-18,KCR,0,0,2,5,28,14,-2
43,2018-05-19,KCR,0,1,8,3,29,14,1
44,2018-05-20,KCR,0,1,10,1,30,14,2
