Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,LAA,1,1,6,5,1,0,1
2,2018-03-30,LAA,1,0,1,2,1,1,-1
3,2018-03-31,LAA,1,0,3,8,1,2,-2
4,2018-04-01,LAA,1,0,4,7,1,3,-3
5,2018-04-02,TEX,1,1,3,1,2,3,1
6,2018-04-03,TEX,1,0,1,4,2,4,-1
7,2018-04-04,TEX,1,1,6,2,3,4,1
8,2018-04-05,TEX,1,0,3,6,3,5,-1
9,2018-04-06,LAA,0,0,9,13,3,6,-2
10,2018-04-07,LAA,0,1,7,3,4,6,1
11,2018-04-08,LAA,0,0,1,6,4,7,-1
12,2018-04-10,LAD,0,0,0,4,4,8,-2
13,2018-04-11,LAD,0,1,16,6,5,8,1
14,2018-04-13,SEA,0,0,4,7,5,9,-1
15,2018-04-14,SEA,0,0,8,10,5,10,-2
16,2018-04-15,SEA,0,1,2,1,6,10,1
17,2018-04-16,CHW,1,1,8,1,7,10,2
18,2018-04-17,CHW,1,1,10,2,8,10,3
19,2018-04-18,CHW,1,1,12,11,9,10,4
20,2018-04-20,BOS,1,0,3,7,9,11,-1
21,2018-04-21,BOS,1,1,3,0,10,11,1
22,2018-04-22,BOS,1,1,4,1,11,11,2
23,2018-04-23,TEX,0,1,9,4,12,11,3
24,2018-04-24,TEX,0,1,3,2,13,11,4
25,2018-04-25,TEX,0,0,2,4,13,12,-1
26,2018-04-27,HOU,0,1,8,1,14,12,1
27,2018-04-28,HOU,0,0,0,11,14,13,-1
28,2018-04-29,HOU,0,0,4,8,14,14,-2
29,2018-05-01,SEA,0,0,3,6,14,15,-3
30,2018-05-02,SEA,0,1,3,2,15,15,1
31,2018-05-03,SEA,0,0,1,4,15,16,-1
32,2018-05-04,BAL,1,1,6,4,16,16,1
33,2018-05-05,BAL,1,1,2,0,17,16,2
34,2018-05-06,BAL,1,1,2,1,18,16,3
35,2018-05-07,HOU,1,0,2,16,18,17,-1
36,2018-05-08,HOU,1,0,2,4,18,18,-2
37,2018-05-09,HOU,1,0,1,4,18,19,-3
38,2018-05-11,NYY,0,1,10,5,19,19,1
39,2018-05-12,NYY,0,0,6,7,19,20,-1
40,2018-05-13,NYY,0,0,2,6,19,21,-2
41,2018-05-14,BOS,0,1,6,5,20,21,1
42,2018-05-15,BOS,0,1,5,3,21,21,2
43,2018-05-16,BOS,0,0,4,6,21,22,-1
44,2018-05-17,TOR,0,1,10,5,22,22,1
45,2018-05-18,TOR,0,1,3,1,23,22,2
46,2018-05-19,TOR,0,1,5,4,24,22,3
47,2018-05-20,TOR,0,1,9,2,25,22,4
48,2018-05-22,SEA,1,0,2,3,25,23,-1
49,2018-05-23,SEA,1,0,0,1,25,24,-2
50,2018-05-24,SEA,1,1,4,3,26,24,1
51,2018-05-25,ARI,1,0,1,7,26,25,-1
52,2018-05-26,ARI,1,1,3,0,27,25,1
53,2018-05-27,ARI,1,1,2,1,28,25,2
54,2018-05-28,TBR,1,0,0,1,28,26,-1
55,2018-05-29,TBR,1,0,3,4,28,27,-2
56,2018-05-30,TBR,1,0,0,6,28,28,-3
57,2018-05-31,TBR,1,1,7,3,29,28,1
58,2018-06-01,KCR,0,1,16,0,30,28,2
59,2018-06-02,KCR,0,0,4,5,30,29,-1
60,2018-06-03,KCR,0,1,5,1,31,29,1
61,2018-06-05,TEX,0,0,4,7,31,30,-1
62,2018-06-06,TEX,0,0,2,8,31,31,-2
63,2018-06-07,KCR,1,1,4,1,32,31,1
64,2018-06-08,KCR,1,1,7,2,33,31,2
65,2018-06-09,KCR,1,0,0,2,33,32,-1
66,2018-06-10,KCR,1,1,3,2,34,32,1
67,2018-06-12,HOU,1,0,3,6,34,33,-1
68,2018-06-13,HOU,1,0,5,13,34,34,-2
69,2018-06-14,HOU,1,0,3,7,34,35,-3
70,2018-06-15,LAA,1,0,4,8,34,36,-4
71,2018-06-16,LAA,1,1,6,4,35,36,1
72,2018-06-17,LAA,1,1,6,5,36,36,2
73,2018-06-19,SDP,0,1,4,2,37,36,3
74,2018-06-20,SDP,0,1,12,4,38,36,4
75,2018-06-22,CHW,0,1,11,2,39,36,5
76,2018-06-22,CHW,0,0,4,6,39,37,-1
77,2018-06-23,CHW,0,1,7,6,40,37,1
78,2018-06-24,CHW,0,0,3,10,40,38,-1
79,2018-06-25,DET,0,1,5,4,41,38,1
80,2018-06-26,DET,0,1,9,7,42,38,2
81,2018-06-27,DET,0,1,3,0,43,38,3
82,2018-06-28,DET,0,1,4,2,44,38,4
83,2018-06-29,CLE,1,1,3,1,45,38,5
84,2018-06-30,CLE,1,1,7,2,46,38,6
85,2018-07-01,CLE,1,0,3,15,46,39,-1
86,2018-07-03,SDP,1,1,6,2,47,39,1
87,2018-07-04,SDP,1,1,4,2,48,39,2
88,2018-07-06,CLE,0,0,4,10,48,40,-1
89,2018-07-07,CLE,0,1,6,3,49,40,1
90,2018-07-08,CLE,0,1,6,0,50,40,2
91,2018-07-09,HOU,0,1,2,0,51,40,3
92,2018-07-10,HOU,0,0,5,6,51,41,-1
93,2018-07-11,HOU,0,1,8,3,52,41,1
94,2018-07-12,HOU,0,1,6,4,53,41,2
95,2018-07-13,SFG,0,0,1,7,53,42,-1
96,2018-07-14,SFG,0,1,4,3,54,42,1
97,2018-07-15,SFG,0,1,6,2,55,42,2
98,2018-07-20,SFG,1,0,1,5,55,43,-1
99,2018-07-21,SFG,1,1,4,3,56,43,1
100,2018-07-22,SFG,1,1,6,5,57,43,2
101,2018-07-23,TEX,0,1,15,3,58,43,3
102,2018-07-24,TEX,0,1,13,10,59,43,4
103,2018-07-25,TEX,0,1,6,5,60,43,5
104,2018-07-26,TEX,0,1,7,6,61,43,6
105,2018-07-27,COL,0,0,1,3,61,44,-1
106,2018-07-28,COL,0,0,1,4,61,45,-2
107,2018-07-29,COL,0,0,2,3,61,46,-3
108,2018-07-30,TOR,1,1,10,1,62,46,1
109,2018-07-31,TOR,1,1,6,2,63,46,2
110,2018-08-01,TOR,1,1,8,3,64,46,3
111,2018-08-03,DET,1,1,1,0,65,46,4
112,2018-08-04,DET,1,1,2,1,66,46,5
113,2018-08-05,DET,1,1,6,0,67,46,6
114,2018-08-07,LAD,1,0,2,4,67,47,-1
115,2018-08-08,LAD,1,1,3,2,68,47,1
116,2018-08-10,LAA,0,0,3,4,68,48,-1
117,2018-08-11,LAA,0,1,7,0,69,48,1
118,2018-08-12,LAA,0,1,8,7,70,48,2
119,2018-08-13,SEA,1,1,7,6,71,48,3
120,2018-08-14,SEA,1,1,3,2,72,48,4
121,2018-08-15,SEA,1,0,0,2,72,49,-1
122,2018-08-17,HOU,1,1,4,3,73,49,1
123,2018-08-18,HOU,1,1,7,1,74,49,2
124,2018-08-19,HOU,1,0,4,9,74,50,-1
125,2018-08-20,TEX,1,1,9,0,75,50,1
126,2018-08-21,TEX,1,1,6,0,76,50,2
127,2018-08-22,TEX,1,0,2,4,76,51,-1
128,2018-08-23,MIN,0,0,4,6,76,52,-2
129,2018-08-24,MIN,0,1,7,1,77,52,1
130,2018-08-25,MIN,0,1,6,2,78,52,2
131,2018-08-26,MIN,0,1,6,2,79,52,3
132,2018-08-27,HOU,0,0,4,11,79,53,-1
133,2018-08-28,HOU,0,1,4,3,80,53,1
134,2018-08-29,HOU,0,0,4,5,80,54,-1
