Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,ATL,0,0,5,8,0,1,-1
2,2018-03-30,ATL,0,1,5,4,1,1,1
3,2018-03-31,ATL,0,0,2,15,1,2,-1
4,2018-04-03,NYM,0,0,0,2,1,3,-2
5,2018-04-04,NYM,0,0,2,4,1,4,-3
6,2018-04-05,MIA,1,1,5,0,2,4,1
7,2018-04-07,MIA,1,1,20,1,3,4,2
8,2018-04-08,MIA,1,0,3,6,3,5,-1
9,2018-04-09,CIN,1,1,6,5,4,5,1
10,2018-04-10,CIN,1,1,6,1,5,5,2
11,2018-04-11,CIN,1,1,4,3,6,5,3
12,2018-04-13,TBR,0,1,2,1,7,5,4
13,2018-04-14,TBR,0,1,9,4,8,5,5
14,2018-04-15,TBR,0,1,10,4,9,5,6
15,2018-04-16,ATL,0,0,1,2,9,6,-1
16,2018-04-17,ATL,0,1,5,1,10,6,1
17,2018-04-18,ATL,0,0,3,7,10,7,-1
18,2018-04-19,PIT,1,1,7,0,11,7,1
19,2018-04-20,PIT,1,1,2,1,12,7,2
20,2018-04-21,PIT,1,1,6,2,13,7,3
21,2018-04-22,PIT,1,1,3,2,14,7,4
22,2018-04-24,ARI,1,0,4,8,14,8,-1
23,2018-04-25,ARI,1,1,5,3,15,8,1
24,2018-04-26,ARI,1,0,2,8,15,9,-1
25,2018-04-27,ATL,1,1,7,3,16,9,1
26,2018-04-28,ATL,1,0,1,4,16,10,-1
27,2018-04-29,ATL,1,0,1,10,16,11,-2
28,2018-04-30,MIA,0,0,4,8,16,12,-3
29,2018-05-01,MIA,0,0,1,2,16,13,-4
30,2018-05-02,MIA,0,1,6,0,17,13,1
31,2018-05-04,WSN,0,0,3,7,17,14,-1
32,2018-05-05,WSN,0,1,3,1,18,14,1
33,2018-05-06,WSN,0,0,4,5,18,15,-1
34,2018-05-07,SFG,1,1,11,0,19,15,1
35,2018-05-08,SFG,1,1,4,2,20,15,2
36,2018-05-09,SFG,1,1,11,3,21,15,3
37,2018-05-10,SFG,1,1,6,3,22,15,4
38,2018-05-11,NYM,1,0,1,3,22,16,-1
39,2018-05-13,NYM,1,1,4,2,23,16,1
40,2018-05-16,BAL,0,1,4,1,24,16,2
41,2018-05-17,STL,0,1,6,2,25,16,3
42,2018-05-18,STL,0,0,4,12,25,17,-1
43,2018-05-19,STL,0,1,7,6,26,17,1
44,2018-05-20,STL,0,0,1,5,26,18,-1
45,2018-05-21,ATL,1,1,3,0,27,18,1
46,2018-05-22,ATL,1,0,1,3,27,19,-1
47,2018-05-23,ATL,1,1,4,0,28,19,1
48,2018-05-25,TOR,1,0,5,6,28,20,-1
49,2018-05-26,TOR,1,1,2,1,29,20,1
50,2018-05-27,TOR,1,0,3,5,29,21,-1
51,2018-05-28,LAD,0,0,4,5,29,22,-2
52,2018-05-29,LAD,0,1,6,1,30,22,1
53,2018-05-30,LAD,0,0,2,8,30,23,-1
54,2018-05-31,LAD,0,1,2,1,31,23,1
55,2018-06-01,SFG,0,0,0,4,31,24,-1
56,2018-06-02,SFG,0,0,0,2,31,25,-2
57,2018-06-03,SFG,0,0,1,6,31,26,-3
58,2018-06-05,CHC,0,1,6,1,32,26,1
59,2018-06-06,CHC,0,0,5,7,32,27,-1
60,2018-06-07,CHC,0,0,3,4,32,28,-2
61,2018-06-08,MIL,1,0,4,12,32,29,-3
62,2018-06-09,MIL,1,0,3,12,32,30,-4
63,2018-06-10,MIL,1,1,4,3,33,30,1
64,2018-06-12,COL,1,1,5,4,34,30,2
65,2018-06-13,COL,1,0,2,7,34,31,-1
66,2018-06-14,COL,1,1,9,3,35,31,1
67,2018-06-15,MIL,0,0,2,13,35,32,-1
68,2018-06-16,MIL,0,1,4,1,36,32,1
69,2018-06-17,MIL,0,1,10,9,37,32,2
70,2018-06-18,STL,1,1,6,5,38,32,3
71,2018-06-19,STL,1,0,6,7,38,33,-1
72,2018-06-20,STL,1,1,4,3,39,33,1
73,2018-06-22,WSN,0,1,12,2,40,33,2
74,2018-06-23,WSN,0,1,5,3,41,33,3
75,2018-06-24,WSN,0,0,6,8,41,34,-1
76,2018-06-25,NYY,1,0,2,4,41,35,-2
77,2018-06-26,NYY,1,0,0,6,41,36,-3
78,2018-06-27,NYY,1,1,3,0,42,36,1
79,2018-06-28,WSN,1,1,4,3,43,36,2
80,2018-06-29,WSN,1,0,7,17,43,37,-1
81,2018-06-30,WSN,1,1,3,2,44,37,1
82,2018-07-01,WSN,1,1,4,3,45,37,2
83,2018-07-03,BAL,1,1,3,2,46,37,3
84,2018-07-04,BAL,1,1,4,1,47,37,4
85,2018-07-06,PIT,0,1,17,5,48,37,5
86,2018-07-07,PIT,0,1,3,2,49,37,6
87,2018-07-08,PIT,0,0,1,4,49,38,-1
88,2018-07-09,NYM,0,0,3,4,49,39,-2
89,2018-07-09,NYM,0,1,3,1,50,39,1
90,2018-07-10,NYM,0,1,7,3,51,39,2
91,2018-07-11,NYM,0,0,0,3,51,40,-1
92,2018-07-12,BAL,0,1,5,4,52,40,1
93,2018-07-13,MIA,0,1,2,0,53,40,2
94,2018-07-14,MIA,0,0,0,2,53,41,-1
95,2018-07-15,MIA,0,0,5,10,53,42,-2
96,2018-07-20,SDP,1,1,11,5,54,42,1
97,2018-07-22,SDP,1,0,2,10,54,43,-1
98,2018-07-22,SDP,1,1,5,0,55,43,1
99,2018-07-23,LAD,1,0,6,7,55,44,-1
100,2018-07-24,LAD,1,1,7,4,56,44,1
101,2018-07-25,LAD,1,1,7,3,57,44,2
102,2018-07-26,CIN,0,1,9,4,58,44,3
103,2018-07-27,CIN,0,0,4,6,58,45,-1
104,2018-07-28,CIN,0,0,2,6,58,46,-2
105,2018-07-29,CIN,0,0,0,4,58,47,-3
106,2018-07-30,BOS,0,0,1,2,58,48,-4
107,2018-07-31,BOS,0,1,3,1,59,48,1
108,2018-08-02,MIA,1,1,5,2,60,48,2
109,2018-08-03,MIA,1,1,5,1,61,48,3
110,2018-08-04,MIA,1,1,8,3,62,48,4
111,2018-08-05,MIA,1,1,5,3,63,48,5
112,2018-08-06,ARI,0,0,2,3,63,49,-1
113,2018-08-07,ARI,0,1,5,2,64,49,1
114,2018-08-08,ARI,0,0,0,6,64,50,-1
115,2018-08-10,SDP,0,0,0,2,64,51,-2
116,2018-08-11,SDP,0,1,5,1,65,51,1
117,2018-08-12,SDP,0,0,3,9,65,52,-1
118,2018-08-14,BOS,1,0,1,2,65,53,-2
119,2018-08-15,BOS,1,1,7,4,66,53,1
120,2018-08-16,NYM,1,0,4,24,66,54,-1
121,2018-08-16,NYM,1,1,9,6,67,54,1
122,2018-08-17,NYM,1,1,4,2,68,54,2
123,2018-08-18,NYM,1,0,1,3,68,55,-1
124,2018-08-19,NYM,1,0,2,8,68,56,-2
125,2018-08-21,WSN,0,0,4,10,68,57,-3
126,2018-08-22,WSN,0,0,7,8,68,58,-4
127,2018-08-23,WSN,0,1,2,0,69,58,1
128,2018-08-24,TOR,0,0,2,4,69,59,-1
129,2018-08-25,TOR,0,0,6,8,69,60,-2
130,2018-08-26,TOR,0,1,8,3,70,60,1
131,2018-08-27,WSN,1,0,3,5,70,61,-1
132,2018-08-28,WSN,1,0,4,5,70,62,-2
133,2018-08-29,WSN,1,1,8,6,71,62,1
134,2018-08-31,CHC,1,1,2,1,72,62,2
135,2018-09-01,CHC,1,0,1,7,72,63,-1
136,2018-09-02,CHC,1,0,1,8,72,64,-2
137,2018-09-03,MIA,0,0,1,3,72,65,-3
138,2018-09-04,MIA,0,1,9,4,73,65,1
139,2018-09-05,MIA,0,0,1,2,73,66,-1
140,2018-09-07,NYM,0,1,4,3,74,66,1
141,2018-09-08,NYM,0,0,5,10,74,67,-1
142,2018-09-09,NYM,0,0,4,6,74,68,-2
143,2018-09-11,WSN,1,0,1,3,74,69,-3
144,2018-09-11,WSN,1,0,6,7,74,70,-4
145,2018-09-12,WSN,1,0,1,5,74,71,-5
146,2018-09-14,MIA,1,1,14,2,75,71,1
147,2018-09-15,MIA,1,1,5,4,76,71,2
148,2018-09-16,MIA,1,0,4,6,76,72,-1
149,2018-09-17,NYM,1,0,4,9,76,73,-2
150,2018-09-18,NYM,1,1,5,2,77,73,1
151,2018-09-19,NYM,1,1,4,0,78,73,2
152,2018-09-20,ATL,0,0,3,8,78,74,-1
153,2018-09-21,ATL,0,0,5,6,78,75,-2
154,2018-09-22,ATL,0,0,3,5,78,76,-3
155,2018-09-23,ATL,0,0,1,2,78,77,-4
156,2018-09-24,COL,0,0,1,10,78,78,-5
157,2018-09-25,COL,0,0,3,10,78,79,-6
158,2018-09-26,COL,0,0,0,14,78,80,-7
159,2018-09-27,COL,0,0,3,5,78,81,-8
160,2018-09-28,ATL,1,0,2,10,78,82,-9
161,2018-09-29,ATL,1,1,3,0,79,82,1
162,2018-09-30,ATL,1,1,3,1,80,82,2
