Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,DET,0,1,13,10,1,0,1
2,2018-04-01,DET,0,1,1,0,2,0,2
3,2018-04-01,DET,0,1,8,6,3,0,3
4,2018-04-02,MIN,1,1,5,4,4,0,4
5,2018-04-04,MIN,1,0,3,7,4,1,-1
6,2018-04-05,CIN,1,1,5,2,5,1,1
7,2018-04-06,CIN,1,1,14,3,6,1,2
8,2018-04-07,CIN,1,0,4,7,6,2,-1
9,2018-04-08,CIN,1,1,5,0,7,2,1
10,2018-04-10,CHC,0,1,8,5,8,2,2
11,2018-04-11,CHC,0,0,5,13,8,3,-1
12,2018-04-12,CHC,0,1,6,1,9,3,1
13,2018-04-13,MIA,0,0,2,7,9,4,-1
14,2018-04-14,MIA,0,1,1,0,10,4,1
15,2018-04-15,MIA,0,1,7,3,11,4,2
16,2018-04-16,COL,1,0,2,6,11,5,-1
17,2018-04-17,COL,1,0,0,2,11,6,-2
18,2018-04-18,COL,1,1,10,2,12,6,1
19,2018-04-19,PHI,0,0,0,7,12,7,-1
20,2018-04-20,PHI,0,0,1,2,12,8,-2
21,2018-04-21,PHI,0,0,2,6,12,9,-3
22,2018-04-22,PHI,0,0,2,3,12,10,-4
23,2018-04-25,DET,1,0,10,13,12,11,-5
24,2018-04-25,DET,1,1,8,3,13,11,1
25,2018-04-26,DET,1,1,1,0,14,11,2
26,2018-04-27,STL,1,1,6,5,15,11,3
27,2018-04-28,STL,1,1,6,2,16,11,4
28,2018-04-29,STL,1,1,5,0,17,11,5
29,2018-04-30,WSN,0,0,2,3,17,12,-1
30,2018-05-01,WSN,0,0,4,12,17,13,-2
31,2018-05-02,WSN,0,0,3,9,17,14,-3
32,2018-05-03,WSN,0,0,1,3,17,15,-4
33,2018-05-04,MIL,0,1,6,4,18,15,1
34,2018-05-05,MIL,0,0,3,5,18,16,-1
35,2018-05-06,MIL,0,1,9,0,19,16,1
36,2018-05-08,CHW,0,1,10,6,20,16,2
37,2018-05-09,CHW,0,1,6,5,21,16,3
38,2018-05-11,SFG,1,1,11,2,22,16,4
39,2018-05-12,SFG,1,1,6,5,23,16,5
40,2018-05-13,SFG,1,0,0,5,23,17,-1
41,2018-05-15,CHW,1,1,7,0,24,17,1
42,2018-05-16,CHW,1,1,3,2,25,17,2
43,2018-05-17,SDP,1,1,5,4,26,17,3
44,2018-05-18,SDP,1,0,2,3,26,18,-1
45,2018-05-19,SDP,1,0,2,6,26,19,-2
46,2018-05-20,SDP,1,0,5,8,26,20,-3
47,2018-05-22,CIN,0,0,2,7,26,21,-4
48,2018-05-23,CIN,0,1,5,4,27,21,1
49,2018-05-24,CIN,0,0,4,5,27,22,-1
50,2018-05-25,STL,1,1,8,1,28,22,1
51,2018-05-26,STL,1,0,1,4,28,23,-1
52,2018-05-27,STL,1,0,4,6,28,24,-2
53,2018-05-28,CHC,1,0,0,7,28,25,-3
54,2018-05-29,CHC,1,0,6,8,28,26,-4
55,2018-05-30,CHC,1,1,2,1,29,26,1
56,2018-05-31,STL,0,0,8,10,29,27,-1
57,2018-06-01,STL,0,1,4,0,30,27,1
58,2018-06-02,STL,0,0,2,3,30,28,-1
59,2018-06-03,STL,0,0,0,5,30,29,-2
60,2018-06-05,LAD,1,0,0,5,30,30,-3
61,2018-06-06,LAD,1,1,11,9,31,30,1
62,2018-06-07,LAD,1,0,7,8,31,31,-1
63,2018-06-08,CHC,0,0,1,3,31,32,-2
64,2018-06-09,CHC,0,0,0,2,31,33,-3
65,2018-06-10,CHC,0,1,7,1,32,33,1
66,2018-06-11,ARI,0,0,5,9,32,34,-1
67,2018-06-12,ARI,0,0,8,13,32,35,-2
68,2018-06-13,ARI,0,1,5,4,33,35,1
69,2018-06-15,CIN,1,1,3,2,34,35,2
70,2018-06-16,CIN,1,1,6,2,35,35,3
71,2018-06-17,CIN,1,0,6,8,35,36,-1
72,2018-06-18,MIL,1,1,1,0,36,36,1
73,2018-06-19,MIL,1,0,2,3,36,37,-1
74,2018-06-21,ARI,1,0,3,9,36,38,-2
75,2018-06-22,ARI,1,0,1,2,36,39,-3
76,2018-06-23,ARI,1,0,2,7,36,40,-4
77,2018-06-24,ARI,1,0,0,3,36,41,-5
78,2018-06-25,NYM,0,1,6,4,37,41,1
79,2018-06-26,NYM,0,0,3,4,37,42,-1
80,2018-06-27,NYM,0,1,5,3,38,42,1
81,2018-06-29,SDP,0,1,6,3,39,42,2
82,2018-06-30,SDP,0,0,3,4,39,43,-1
83,2018-07-01,SDP,0,1,7,5,40,43,1
84,2018-07-02,LAD,0,0,1,17,40,44,-1
85,2018-07-03,LAD,0,0,3,8,40,45,-2
86,2018-07-04,LAD,0,0,4,6,40,46,-3
87,2018-07-06,PHI,1,0,5,17,40,47,-4
88,2018-07-07,PHI,1,0,2,3,40,48,-5
89,2018-07-08,PHI,1,1,4,1,41,48,1
90,2018-07-09,WSN,1,1,6,3,42,48,2
91,2018-07-10,WSN,1,0,1,5,42,49,-1
92,2018-07-11,WSN,1,1,2,0,43,49,1
93,2018-07-12,MIL,1,1,6,3,44,49,2
94,2018-07-13,MIL,1,1,7,3,45,49,3
95,2018-07-14,MIL,1,1,2,1,46,49,4
96,2018-07-14,MIL,1,1,6,2,47,49,5
97,2018-07-15,MIL,1,1,7,6,48,49,6
98,2018-07-20,CIN,0,1,12,1,49,49,7
99,2018-07-21,CIN,0,1,6,2,50,49,8
100,2018-07-22,CIN,0,1,9,2,51,49,9
101,2018-07-23,CLE,0,1,7,0,52,49,10
102,2018-07-24,CLE,0,1,9,4,53,49,11
103,2018-07-25,CLE,0,0,0,4,53,50,-1
104,2018-07-26,NYM,1,0,6,12,53,51,-2
105,2018-07-27,NYM,1,1,5,4,54,51,1
106,2018-07-28,NYM,1,1,5,0,55,51,2
107,2018-07-29,NYM,1,0,0,1,55,52,-1
108,2018-07-31,CHC,1,1,5,4,56,52,1
109,2018-08-01,CHC,1,0,2,9,56,53,-1
110,2018-08-03,STL,1,1,7,6,57,53,1
111,2018-08-04,STL,1,0,4,8,57,54,-1
112,2018-08-05,STL,1,0,1,2,57,55,-2
113,2018-08-06,COL,0,0,0,2,57,56,-3
114,2018-08-07,COL,0,1,10,2,58,56,1
115,2018-08-08,COL,0,1,4,3,59,56,2
116,2018-08-09,SFG,0,1,10,5,60,56,3
117,2018-08-10,SFG,0,0,10,13,60,57,-1
118,2018-08-11,SFG,0,1,4,0,61,57,1
119,2018-08-12,SFG,0,0,3,4,61,58,-1
120,2018-08-14,MIN,0,0,2,5,61,59,-2
121,2018-08-15,MIN,0,0,4,6,61,60,-3
122,2018-08-16,CHC,1,0,0,1,61,61,-4
123,2018-08-17,CHC,1,0,0,1,61,62,-5
124,2018-08-18,CHC,1,1,3,1,62,62,1
125,2018-08-19,CHC,1,1,2,1,63,62,2
126,2018-08-20,ATL,1,0,0,1,63,63,-1
127,2018-08-21,ATL,1,0,1,6,63,64,-2
128,2018-08-22,ATL,1,0,1,2,63,65,-3
129,2018-08-24,MIL,0,0,6,7,63,66,-4
130,2018-08-25,MIL,0,1,9,1,64,66,1
131,2018-08-26,MIL,0,0,4,7,64,67,-1
132,2018-08-28,STL,0,0,2,5,64,68,-2
133,2018-08-29,STL,0,1,2,0,65,68,1
134,2018-08-30,STL,0,0,0,5,65,69,-1
135,2018-08-31,ATL,0,1,3,2,66,69,1
136,2018-09-01,ATL,0,0,3,5,66,70,-1
137,2018-09-02,ATL,0,0,1,5,66,71,-2
138,2018-09-03,CIN,1,1,5,1,67,71,1
139,2018-09-04,CIN,1,1,7,3,68,71,2
140,2018-09-05,CIN,1,1,3,2,69,71,3
141,2018-09-07,MIA,1,1,5,3,70,71,4
142,2018-09-08,MIA,1,1,5,1,71,71,5
143,2018-09-10,STL,0,0,7,8,71,72,-1
144,2018-09-11,STL,0,0,5,11,71,73,-2
145,2018-09-12,STL,0,1,4,3,72,73,1
146,2018-09-14,MIL,0,0,4,7,72,74,-1
147,2018-09-15,MIL,0,1,3,1,73,74,1
148,2018-09-16,MIL,0,1,3,2,74,74,2
149,2018-09-17,KCR,1,1,7,6,75,74,3
150,2018-09-18,KCR,1,1,2,1,76,74,4
151,2018-09-19,KCR,1,1,2,1,77,74,5
152,2018-09-21,MIL,1,0,3,8,77,75,-1
153,2018-09-22,MIL,1,1,3,0,78,75,1
154,2018-09-23,MIL,1,0,6,13,78,76,-1
155,2018-09-24,CHC,0,1,5,1,79,76,1
156,2018-09-25,CHC,0,1,6,0,80,76,2
157,2018-09-26,CHC,0,0,6,7,80,77,-1
158,2018-09-27,CHC,0,0,0,3,80,78,-2
159,2018-09-28,CIN,0,1,8,4,81,78,1
160,2018-09-29,CIN,0,0,0,3,81,79,-1
161,2018-09-30,CIN,0,1,6,5,82,79,1
