Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,MIL,1,0,1,2,0,1,-1
2,2018-03-30,MIL,1,0,6,8,0,2,-2
3,2018-03-31,MIL,1,0,3,7,0,3,-3
4,2018-04-02,COL,1,0,4,7,0,4,-4
5,2018-04-03,COL,1,1,8,4,1,4,1
6,2018-04-04,COL,1,0,2,5,1,5,-1
7,2018-04-05,COL,1,0,1,3,1,6,-2
8,2018-04-06,HOU,0,1,4,1,2,6,1
9,2018-04-07,HOU,0,0,0,1,2,7,-1
10,2018-04-08,HOU,0,0,1,4,2,8,-2
11,2018-04-09,COL,0,1,7,6,3,8,1
12,2018-04-10,COL,0,1,5,2,4,8,2
13,2018-04-11,COL,0,0,4,6,4,9,-1
14,2018-04-12,SFG,1,0,0,7,4,10,-2
15,2018-04-13,SFG,1,1,5,1,5,10,1
16,2018-04-14,SFG,1,1,5,4,6,10,2
17,2018-04-15,SFG,1,1,10,1,7,10,3
18,2018-04-16,LAD,1,0,3,10,7,11,-1
19,2018-04-17,LAD,1,0,3,7,7,12,-2
20,2018-04-18,LAD,1,0,4,13,7,13,-3
21,2018-04-20,ARI,0,1,4,1,8,13,1
22,2018-04-21,ARI,0,0,2,6,8,14,-1
23,2018-04-22,ARI,0,0,2,4,8,15,-2
24,2018-04-23,COL,0,1,13,5,9,15,1
25,2018-04-24,COL,0,0,0,8,9,16,-1
26,2018-04-25,COL,0,0,2,5,9,17,-2
27,2018-04-27,NYM,1,0,1,5,9,18,-3
28,2018-04-28,NYM,1,1,12,2,10,18,1
29,2018-04-29,NYM,1,0,2,14,10,19,-1
30,2018-04-30,SFG,0,0,5,6,10,20,-2
31,2018-05-01,SFG,0,1,3,2,11,20,1
32,2018-05-02,SFG,0,0,4,9,11,21,-1
33,2018-05-04,LAD,1,0,0,4,11,22,-2
34,2018-05-05,LAD,1,1,7,4,12,22,1
35,2018-05-06,LAD,1,1,3,0,13,22,2
36,2018-05-07,WSN,1,0,5,8,13,23,-1
37,2018-05-08,WSN,1,0,0,4,13,24,-2
38,2018-05-09,WSN,1,1,2,1,14,24,1
39,2018-05-10,STL,1,0,1,2,14,25,-1
40,2018-05-11,STL,1,0,5,9,14,26,-2
41,2018-05-12,STL,1,1,2,1,15,26,1
42,2018-05-13,STL,1,1,5,3,16,26,2
43,2018-05-14,COL,1,0,4,6,16,27,-1
44,2018-05-15,COL,1,1,4,0,17,27,1
45,2018-05-17,PIT,0,0,4,5,17,28,-1
46,2018-05-18,PIT,0,1,3,2,18,28,1
47,2018-05-19,PIT,0,1,6,2,19,28,2
48,2018-05-20,PIT,0,1,8,5,20,28,3
49,2018-05-21,WSN,0,0,2,10,20,29,-1
50,2018-05-22,WSN,0,0,1,2,20,30,-2
51,2018-05-23,WSN,0,1,3,1,21,30,1
52,2018-05-25,LAD,0,0,1,4,21,31,-1
53,2018-05-26,LAD,0,1,7,5,22,31,1
54,2018-05-27,LAD,0,0,1,6,22,32,-1
55,2018-05-28,MIA,1,0,2,7,22,33,-2
56,2018-05-29,MIA,1,1,9,5,23,33,1
57,2018-05-30,MIA,1,1,3,2,24,33,2
58,2018-05-31,MIA,1,1,8,3,25,33,3
59,2018-06-01,CIN,1,0,2,7,25,34,-1
60,2018-06-02,CIN,1,1,8,2,26,34,1
61,2018-06-03,CIN,1,1,6,3,27,34,2
62,2018-06-04,ATL,1,1,11,4,28,34,3
63,2018-06-05,ATL,1,0,1,14,28,35,-1
64,2018-06-06,ATL,1,1,3,1,29,35,1
65,2018-06-08,MIA,0,0,0,4,29,36,-1
66,2018-06-09,MIA,0,1,5,4,30,36,1
67,2018-06-10,MIA,0,1,3,1,31,36,2
68,2018-06-11,STL,0,0,2,5,31,37,-1
69,2018-06-12,STL,0,1,4,2,32,37,1
70,2018-06-13,STL,0,1,4,2,33,37,2
71,2018-06-14,ATL,0,0,2,4,33,38,-1
72,2018-06-15,ATL,0,1,9,3,34,38,1
73,2018-06-16,ATL,0,0,0,1,34,39,-1
74,2018-06-17,ATL,0,0,1,4,34,40,-2
75,2018-06-19,OAK,1,0,2,4,34,41,-3
76,2018-06-20,OAK,1,0,4,12,34,42,-4
77,2018-06-21,SFG,0,0,0,3,34,43,-5
78,2018-06-22,SFG,0,1,6,2,35,43,1
79,2018-06-23,SFG,0,0,3,5,35,44,-1
80,2018-06-24,SFG,0,0,2,3,35,45,-2
81,2018-06-25,TEX,0,0,4,7,35,46,-3
82,2018-06-26,TEX,0,1,3,2,36,46,1
83,2018-06-27,TEX,0,0,2,5,36,47,-1
84,2018-06-29,PIT,1,0,3,6,36,48,-2
85,2018-06-30,PIT,1,1,4,3,37,48,1
86,2018-07-01,PIT,1,0,5,7,37,49,-1
87,2018-07-03,OAK,0,0,2,6,37,50,-2
88,2018-07-04,OAK,0,0,2,4,37,51,-3
89,2018-07-05,ARI,0,1,6,3,38,51,1
90,2018-07-06,ARI,0,0,1,3,38,52,-1
91,2018-07-07,ARI,0,0,5,20,38,53,-2
92,2018-07-08,ARI,0,1,4,3,39,53,1
93,2018-07-09,LAD,1,0,2,8,39,54,-1
94,2018-07-10,LAD,1,1,4,1,40,54,1
95,2018-07-11,LAD,1,0,2,4,40,55,-1
96,2018-07-12,LAD,1,0,2,3,40,56,-2
97,2018-07-13,CHC,1,0,4,5,40,57,-3
98,2018-07-14,CHC,1,0,6,11,40,58,-4
99,2018-07-15,CHC,1,0,4,7,40,59,-5
100,2018-07-20,PHI,0,0,5,11,40,60,-6
101,2018-07-22,PHI,0,1,10,2,41,60,1
102,2018-07-22,PHI,0,0,0,5,41,61,-1
103,2018-07-23,NYM,0,1,3,2,42,61,1
104,2018-07-24,NYM,0,0,3,6,42,62,-1
105,2018-07-25,NYM,0,0,4,6,42,63,-2
106,2018-07-27,ARI,1,0,2,6,42,64,-3
107,2018-07-28,ARI,1,0,4,9,42,65,-4
108,2018-07-29,ARI,1,0,4,5,42,66,-5
109,2018-07-30,SFG,1,0,3,5,42,67,-6
110,2018-07-31,SFG,1,0,2,3,42,68,-7
111,2018-08-02,CHC,0,1,6,1,43,68,1
112,2018-08-03,CHC,0,0,4,5,43,69,-1
113,2018-08-04,CHC,0,0,4,5,43,70,-2
114,2018-08-05,CHC,0,1,10,6,44,70,1
115,2018-08-07,MIL,0,1,11,5,45,70,2
116,2018-08-08,MIL,0,0,4,8,45,71,-1
117,2018-08-09,MIL,0,1,8,4,46,71,1
118,2018-08-10,PHI,1,1,2,0,47,71,2
119,2018-08-11,PHI,1,0,1,5,47,72,-1
120,2018-08-12,PHI,1,1,9,3,48,72,1
121,2018-08-13,LAA,1,0,3,6,48,73,-1
122,2018-08-14,LAA,1,0,3,7,48,74,-2
123,2018-08-15,LAA,1,0,2,3,48,75,-3
124,2018-08-16,ARI,1,0,1,5,48,76,-4
