Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,CLE,1,1,2,1,1,0,1
2,2018-03-31,CLE,1,0,5,6,1,1,-1
3,2018-04-01,CLE,1,1,5,4,2,1,1
4,2018-04-03,SFG,0,1,6,4,3,1,2
5,2018-04-04,SFG,0,0,1,10,3,2,-1
6,2018-04-05,MIN,0,0,2,4,3,3,-2
7,2018-04-07,MIN,0,1,11,4,4,3,1
8,2018-04-09,KCR,0,0,0,10,4,4,-1
9,2018-04-10,KCR,0,1,8,3,5,4,1
10,2018-04-11,KCR,0,1,4,2,6,4,2
11,2018-04-13,OAK,1,1,7,4,7,4,3
12,2018-04-14,OAK,1,1,10,8,8,4,4
13,2018-04-15,OAK,1,0,1,2,8,5,-1
14,2018-04-16,HOU,1,1,2,1,9,5,1
15,2018-04-17,HOU,1,0,1,4,9,6,-1
16,2018-04-18,HOU,1,0,1,7,9,7,-2
17,2018-04-19,HOU,1,0,2,9,9,8,-3
18,2018-04-20,TEX,0,1,6,2,10,8,1
19,2018-04-21,TEX,0,1,9,7,11,8,2
20,2018-04-22,TEX,0,0,4,7,11,9,-1
21,2018-04-23,CHW,0,0,4,10,11,10,-2
22,2018-04-24,CHW,0,1,1,0,12,10,1
23,2018-04-25,CHW,0,1,4,3,13,10,2
24,2018-04-26,CLE,0,1,5,4,14,10,3
25,2018-04-27,CLE,0,0,5,6,14,11,-1
26,2018-04-28,CLE,0,1,12,4,15,11,1
27,2018-04-29,CLE,0,1,10,4,16,11,2
28,2018-05-01,OAK,1,1,6,3,17,11,3
29,2018-05-02,OAK,1,0,2,3,17,12,-1
30,2018-05-03,OAK,1,1,4,1,18,12,1
31,2018-05-04,LAA,1,0,0,5,18,13,-1
32,2018-05-05,LAA,1,1,9,8,19,13,1
33,2018-05-06,LAA,1,0,2,8,19,14,-1
34,2018-05-08,TOR,0,1,5,0,20,14,1
35,2018-05-09,TOR,0,0,2,5,20,15,-1
36,2018-05-10,TOR,0,1,9,3,21,15,1
37,2018-05-12,DET,0,0,3,4,21,16,-1
38,2018-05-12,DET,0,1,9,5,22,16,1
39,2018-05-13,DET,0,0,4,5,22,17,-1
40,2018-05-14,MIN,0,1,1,0,23,17,1
41,2018-05-15,TEX,1,1,9,8,24,17,2
42,2018-05-16,TEX,1,0,1,5,24,18,-1
43,2018-05-17,DET,1,0,2,3,24,19,-2
44,2018-05-18,DET,1,1,5,4,25,19,1
45,2018-05-19,DET,1,1,7,2,26,19,2
46,2018-05-20,DET,1,1,3,2,27,19,3
47,2018-05-22,OAK,0,1,3,2,28,19,4
48,2018-05-23,OAK,0,1,1,0,29,19,5
49,2018-05-24,OAK,0,0,3,4,29,20,-1
50,2018-05-25,MIN,1,1,2,1,30,20,1
51,2018-05-26,MIN,1,1,4,3,31,20,2
52,2018-05-27,MIN,1,1,3,1,32,20,3
53,2018-05-28,TEX,1,1,2,1,33,20,4
54,2018-05-29,TEX,1,0,5,9,33,21,-1
55,2018-05-30,TEX,1,0,6,7,33,22,-2
56,2018-05-31,TEX,1,1,6,1,34,22,1
