Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,LAD,0,1,1,0,1,0,1
2,2018-03-30,LAD,0,1,1,0,2,0,2
3,2018-03-31,LAD,0,0,0,5,2,1,-1
4,2018-04-01,LAD,0,0,0,9,2,2,-2
5,2018-04-03,SEA,1,0,4,6,2,3,-3
6,2018-04-04,SEA,1,1,10,1,3,3,1
7,2018-04-07,LAD,1,1,7,5,4,3,2
8,2018-04-08,LAD,1,0,1,2,4,4,-1
9,2018-04-09,ARI,1,0,1,2,4,5,-2
10,2018-04-10,ARI,1,1,5,4,5,5,1
11,2018-04-11,ARI,1,0,3,7,5,6,-1
12,2018-04-12,SDP,0,1,7,0,6,6,1
13,2018-04-13,SDP,0,0,1,5,6,7,-1
14,2018-04-14,SDP,0,0,4,5,6,8,-2
15,2018-04-15,SDP,0,0,1,10,6,9,-3
16,2018-04-17,ARI,0,0,0,1,6,10,-4
17,2018-04-18,ARI,0,1,4,3,7,10,1
18,2018-04-19,ARI,0,0,1,3,7,11,-1
19,2018-04-20,LAA,0,1,8,1,8,11,1
20,2018-04-21,LAA,0,0,3,4,8,12,-1
21,2018-04-22,LAA,0,1,4,2,9,12,1
22,2018-04-23,WSN,1,1,4,2,10,12,2
23,2018-04-24,WSN,1,1,4,3,11,12,3
24,2018-04-25,WSN,1,0,2,15,11,13,-1
25,2018-04-27,LAD,1,1,6,4,12,13,1
26,2018-04-28,LAD,1,0,6,15,12,14,-1
27,2018-04-28,LAD,1,1,8,3,13,14,1
28,2018-04-29,LAD,1,1,4,2,14,14,2
29,2018-04-30,SDP,1,1,6,5,15,14,3
30,2018-05-01,SDP,1,0,2,3,15,15,-1
31,2018-05-02,SDP,1,1,9,4,16,15,1
32,2018-05-04,ATL,0,1,9,4,17,15,2
33,2018-05-05,ATL,0,1,11,2,18,15,3
34,2018-05-06,ATL,0,1,4,3,19,15,4
35,2018-05-07,PHI,0,0,0,11,19,16,-1
36,2018-05-08,PHI,0,0,2,4,19,17,-2
