Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,NYM,0,0,4,9,0,1,-1
2,2018-03-31,NYM,0,0,2,6,0,2,-2
3,2018-04-01,NYM,0,1,5,1,1,2,1
4,2018-04-02,MIL,0,1,8,4,2,2,2
5,2018-04-03,MIL,0,0,4,5,2,3,-1
6,2018-04-04,MIL,0,1,6,0,3,3,1
7,2018-04-05,ARI,1,0,1,3,3,4,-1
8,2018-04-07,ARI,1,1,5,3,4,4,1
9,2018-04-08,ARI,1,0,1,4,4,5,-1
10,2018-04-09,MIL,1,0,4,5,4,6,-2
11,2018-04-10,MIL,1,1,5,3,5,6,1
12,2018-04-11,MIL,1,0,2,3,5,7,-1
13,2018-04-12,CIN,0,1,13,4,6,7,1
14,2018-04-13,CIN,0,1,5,3,7,7,2
15,2018-04-14,CIN,0,1,6,1,8,7,3
16,2018-04-15,CIN,0,1,3,2,9,7,4
17,2018-04-17,CHC,0,1,5,3,10,7,5
18,2018-04-19,CHC,0,0,5,8,10,8,-1
19,2018-04-20,CIN,1,1,4,2,11,8,1
20,2018-04-21,CIN,1,1,4,3,12,8,2
21,2018-04-22,CIN,1,1,9,2,13,8,3
22,2018-04-24,NYM,1,0,5,6,13,9,-1
23,2018-04-25,NYM,1,1,9,1,14,9,1
24,2018-04-26,NYM,1,1,4,3,15,9,2
25,2018-04-27,PIT,0,0,5,6,15,10,-1
26,2018-04-28,PIT,0,0,2,6,15,11,-2
27,2018-04-29,PIT,0,0,0,5,15,12,-3
28,2018-05-01,CHW,1,1,3,2,16,12,1
29,2018-05-02,CHW,1,1,3,2,17,12,2
30,2018-05-04,CHC,1,1,3,2,18,12,3
31,2018-05-05,CHC,1,1,8,6,19,12,4
32,2018-05-06,CHC,1,1,4,3,20,12,5
33,2018-05-07,MIN,1,0,0,6,20,13,-1
34,2018-05-08,MIN,1,0,1,7,20,14,-2
35,2018-05-10,SDP,0,1,2,1,21,14,1
36,2018-05-11,SDP,0,1,9,5,22,14,2
37,2018-05-12,SDP,0,0,1,2,22,15,-1
38,2018-05-13,SDP,0,0,3,5,22,16,-2
39,2018-05-15,MIN,0,0,1,4,22,17,-3
40,2018-05-16,MIN,0,1,7,5,23,17,1
41,2018-05-17,PHI,1,0,2,6,23,18,-1
42,2018-05-18,PHI,1,1,12,4,24,18,1
43,2018-05-19,PHI,1,0,6,7,24,19,-1
44,2018-05-20,PHI,1,1,5,1,25,19,1
45,2018-05-21,KCR,1,1,6,0,26,19,2
46,2018-05-22,KCR,1,0,1,5,26,20,-1
47,2018-05-23,KCR,1,0,2,5,26,21,-2
