Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,BOS,1,1,6,4,1,0,1
2,2018-03-30,BOS,1,0,0,1,1,1,-1
3,2018-03-31,BOS,1,0,2,3,1,2,-2
4,2018-04-01,BOS,1,0,1,2,1,3,-3
5,2018-04-03,NYY,0,0,4,11,1,4,-4
6,2018-04-04,NYY,0,0,2,7,1,5,-5
7,2018-04-05,BOS,0,0,2,3,1,6,-6
8,2018-04-07,BOS,0,0,3,10,1,7,-7
9,2018-04-08,BOS,0,0,7,8,1,8,-8
10,2018-04-09,CHW,0,1,5,4,2,8,1
11,2018-04-10,CHW,0,1,6,5,3,8,2
12,2018-04-11,CHW,0,0,1,2,3,9,-1
13,2018-04-13,PHI,1,0,1,2,3,10,-2
14,2018-04-14,PHI,1,0,4,9,3,11,-3
15,2018-04-15,PHI,1,0,4,10,3,12,-4
16,2018-04-16,TEX,1,1,8,4,4,12,1
17,2018-04-17,TEX,1,0,2,7,4,13,-1
18,2018-04-18,TEX,1,1,4,2,5,13,1
19,2018-04-20,MIN,1,1,8,7,6,13,2
20,2018-04-21,MIN,1,1,10,1,7,13,3
21,2018-04-22,MIN,1,1,8,6,8,13,4
22,2018-04-25,BAL,0,1,8,4,9,13,5
23,2018-04-26,BAL,0,1,9,5,10,13,6
24,2018-04-27,BOS,0,1,4,3,11,13,7
25,2018-04-28,BOS,0,1,12,6,12,13,8
26,2018-04-29,BOS,0,0,3,4,12,14,-1
27,2018-04-30,DET,0,1,3,2,13,14,1
28,2018-05-01,DET,0,0,1,2,13,15,-1
29,2018-05-02,DET,0,0,2,3,13,16,-2
30,2018-05-04,TOR,1,1,6,2,14,16,1
31,2018-05-05,TOR,1,1,5,3,15,16,2
32,2018-05-06,TOR,1,0,1,2,15,17,-1
33,2018-05-08,ATL,1,0,0,1,15,18,-2
34,2018-05-09,ATL,1,0,2,5,15,19,-3
35,2018-05-11,BAL,0,0,4,9,15,20,-4
36,2018-05-12,BAL,0,0,3,6,15,21,-5
37,2018-05-12,BAL,0,1,10,3,16,21,1
38,2018-05-13,BAL,0,0,1,17,16,22,-1
39,2018-05-14,KCR,0,1,2,1,17,22,1
40,2018-05-15,KCR,0,1,6,5,18,22,2
41,2018-05-16,KCR,0,1,5,3,19,22,3
42,2018-05-17,LAA,0,1,7,1,20,22,4
43,2018-05-18,LAA,0,1,8,3,21,22,5
44,2018-05-19,LAA,0,1,5,3,22,22,6
45,2018-05-20,LAA,0,0,2,5,22,23,-1
46,2018-05-22,BOS,1,0,2,4,22,24,-2
47,2018-05-23,BOS,1,0,1,4,22,25,-3
48,2018-05-24,BOS,1,1,6,3,23,25,1
49,2018-05-25,BAL,1,0,0,2,23,26,-1
50,2018-05-26,BAL,1,1,5,1,24,26,1
51,2018-05-27,BAL,1,1,8,3,25,26,2
52,2018-05-28,OAK,0,1,1,0,26,26,3
53,2018-05-29,OAK,0,1,4,3,27,26,4
54,2018-05-30,OAK,0,1,6,0,28,26,5
55,2018-05-31,OAK,0,0,3,7,28,27,-1
56,2018-06-01,SEA,0,0,3,4,28,28,-2
57,2018-06-02,SEA,0,0,1,3,28,29,-3
58,2018-06-03,SEA,0,0,1,2,28,30,-4
59,2018-06-05,WSN,0,0,2,4,28,31,-5
60,2018-06-06,WSN,0,0,2,11,28,32,-6
61,2018-06-07,SEA,1,0,4,5,28,33,-7
62,2018-06-08,SEA,1,0,3,4,28,34,-8
63,2018-06-09,SEA,1,1,7,3,29,34,1
64,2018-06-10,SEA,1,0,4,5,29,35,-1
65,2018-06-11,TOR,1,1,8,4,30,35,1
66,2018-06-12,TOR,1,1,4,1,31,35,2
67,2018-06-13,TOR,1,1,1,0,32,35,3
68,2018-06-14,NYY,0,0,3,4,32,36,-1
69,2018-06-15,NYY,0,0,0,5,32,37,-2
70,2018-06-16,NYY,0,0,1,4,32,38,-3
71,2018-06-17,NYY,0,1,3,1,33,38,1
72,2018-06-18,HOU,0,0,4,5,33,39,-1
73,2018-06-19,HOU,0,1,2,1,34,39,1
74,2018-06-20,HOU,0,0,1,5,34,40,-1
75,2018-06-22,NYY,1,1,2,1,35,40,1
76,2018-06-23,NYY,1,1,4,0,36,40,2
77,2018-06-24,NYY,1,1,7,6,37,40,3
78,2018-06-25,WSN,1,1,11,0,38,40,4
79,2018-06-26,WSN,1,1,1,0,39,40,5
80,2018-06-28,HOU,1,0,0,1,39,41,-1
81,2018-06-29,HOU,1,1,3,2,40,41,1
82,2018-06-30,HOU,1,1,5,2,41,41,2
83,2018-07-01,HOU,1,1,3,2,42,41,3
84,2018-07-02,MIA,0,0,2,3,42,42,-1
85,2018-07-03,MIA,0,1,9,6,43,42,1
86,2018-07-04,MIA,0,0,0,3,43,43,-1
87,2018-07-06,NYM,0,0,1,5,43,44,-2
88,2018-07-07,NYM,0,1,3,0,44,44,1
89,2018-07-08,NYM,0,1,9,0,45,44,2
90,2018-07-09,DET,1,1,10,9,46,44,3
91,2018-07-10,DET,1,1,5,2,47,44,4
92,2018-07-11,DET,1,1,4,2,48,44,5
93,2018-07-12,MIN,0,0,1,5,48,45,-1
94,2018-07-13,MIN,0,0,8,11,48,46,-2
95,2018-07-14,MIN,0,1,19,6,49,46,1
96,2018-07-15,MIN,0,0,7,11,49,47,-1
97,2018-07-20,MIA,1,0,5,6,49,48,-2
98,2018-07-21,MIA,1,0,2,3,49,49,-3
99,2018-07-22,MIA,1,1,6,4,50,49,1
100,2018-07-23,NYY,1,1,7,6,51,49,2
101,2018-07-24,NYY,1,0,0,4,51,50,-1
102,2018-07-25,NYY,1,1,3,2,52,50,1
103,2018-07-26,BAL,0,1,4,3,53,50,2
104,2018-07-27,BAL,0,0,5,15,53,51,-1
105,2018-07-28,BAL,0,0,2,11,53,52,-2
106,2018-07-29,BAL,0,0,5,11,53,53,-3
107,2018-07-31,LAA,1,1,10,6,54,53,1
108,2018-08-01,LAA,1,1,7,2,55,53,2
109,2018-08-02,LAA,1,1,4,2,56,53,3
110,2018-08-03,CHW,1,0,2,3,56,54,-1
111,2018-08-04,CHW,1,0,1,2,56,55,-2
112,2018-08-05,CHW,1,0,7,8,56,56,-3
113,2018-08-07,BAL,1,1,4,3,57,56,1
114,2018-08-08,BAL,1,0,4,5,57,57,-1
115,2018-08-09,BAL,1,1,5,4,58,57,1
116,2018-08-10,TOR,0,1,7,0,59,57,2
117,2018-08-11,TOR,0,1,3,1,60,57,3
118,2018-08-12,TOR,0,0,1,2,60,58,-1
119,2018-08-14,NYY,0,0,1,4,60,59,-2
120,2018-08-15,NYY,0,1,6,1,61,59,1
121,2018-08-16,NYY,0,1,3,1,62,59,2
