Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,HOU,1,0,1,4,0,1,-1
2,2018-03-30,HOU,1,1,5,1,1,1,1
3,2018-03-31,HOU,1,0,3,9,1,2,-1
4,2018-04-01,HOU,1,0,2,8,1,3,-2
5,2018-04-02,OAK,0,0,1,3,1,4,-3
6,2018-04-03,OAK,0,1,4,1,2,4,1
7,2018-04-04,OAK,0,0,2,6,2,5,-1
8,2018-04-05,OAK,0,1,6,3,3,5,1
9,2018-04-06,TOR,1,0,5,8,3,6,-1
10,2018-04-07,TOR,1,1,5,1,4,6,1
11,2018-04-08,TOR,1,0,4,7,4,7,-1
12,2018-04-09,LAA,1,0,3,8,4,8,-2
13,2018-04-10,LAA,1,0,1,11,4,9,-3
14,2018-04-11,LAA,1,0,2,7,4,10,-4
15,2018-04-13,HOU,0,0,2,3,4,11,-5
16,2018-04-14,HOU,0,1,6,5,5,11,1
17,2018-04-15,HOU,0,1,3,1,6,11,2
18,2018-04-16,TBR,0,0,4,8,6,12,-1
19,2018-04-17,TBR,0,1,7,2,7,12,1
20,2018-04-18,TBR,0,0,2,4,7,13,-1
21,2018-04-20,SEA,1,0,2,6,7,14,-2
22,2018-04-21,SEA,1,0,7,9,7,15,-3
23,2018-04-22,SEA,1,1,7,4,8,15,1
24,2018-04-23,OAK,1,0,4,9,8,16,-1
25,2018-04-24,OAK,1,0,2,3,8,17,-2
26,2018-04-25,OAK,1,1,4,2,9,17,1
27,2018-04-27,TOR,0,1,6,4,10,17,2
28,2018-04-28,TOR,0,1,7,4,11,17,3
29,2018-04-29,TOR,0,0,2,7,11,18,-1
30,2018-04-30,CLE,0,0,5,7,11,19,-2
31,2018-05-01,CLE,0,1,8,6,12,19,1
32,2018-05-02,CLE,0,0,4,12,12,20,-1
33,2018-05-03,BOS,1,1,11,5,13,20,1
34,2018-05-04,BOS,1,0,1,5,13,21,-1
35,2018-05-05,BOS,1,0,5,6,13,22,-2
36,2018-05-06,BOS,1,0,1,6,13,23,-3
37,2018-05-07,DET,1,1,7,6,14,23,1
38,2018-05-08,DET,1,0,4,7,14,24,-1
39,2018-05-09,DET,1,1,5,4,15,24,1
40,2018-05-11,HOU,0,1,1,0,16,24,2
41,2018-05-12,HOU,0,0,1,6,16,25,-1
42,2018-05-13,HOU,0,0,1,6,16,26,-2
43,2018-05-15,SEA,0,0,8,9,16,27,-3
44,2018-05-16,SEA,0,1,5,1,17,27,1
45,2018-05-17,CHW,0,0,2,4,17,28,-1
46,2018-05-18,CHW,0,1,12,5,18,28,1
47,2018-05-19,CHW,0,0,3,5,18,29,-1
