Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,NYY,1,0,1,6,0,1,-1
2,2018-03-30,NYY,1,0,2,4,0,2,-2
3,2018-03-31,NYY,1,1,5,3,1,2,1
4,2018-04-01,NYY,1,1,7,4,2,2,2
5,2018-04-02,CHW,1,1,4,2,3,2,3
6,2018-04-03,CHW,1,1,14,5,4,2,4
7,2018-04-04,CHW,1,0,3,4,4,3,-1
8,2018-04-06,TEX,0,1,8,5,5,3,1
9,2018-04-07,TEX,0,0,1,5,5,4,-1
10,2018-04-08,TEX,0,1,7,4,6,4,1
11,2018-04-09,BAL,0,1,7,1,7,4,2
12,2018-04-10,BAL,0,1,2,1,8,4,3
13,2018-04-11,BAL,0,0,3,5,8,5,-1
14,2018-04-13,CLE,0,1,8,4,9,5,1
15,2018-04-17,KCR,1,1,11,3,10,5,2
16,2018-04-17,KCR,1,1,5,4,11,5,3
17,2018-04-18,KCR,1,1,15,5,12,5,4
18,2018-04-19,NYY,0,0,3,4,12,6,-1
19,2018-04-20,NYY,0,1,8,5,13,6,1
20,2018-04-21,NYY,0,0,1,9,13,7,-1
21,2018-04-22,NYY,0,0,1,5,13,8,-2
22,2018-04-24,BOS,1,1,4,3,14,8,1
23,2018-04-25,BOS,1,0,3,4,14,9,-1
24,2018-04-26,BOS,1,0,4,5,14,10,-2
25,2018-04-27,TEX,1,0,4,6,14,11,-3
26,2018-04-28,TEX,1,0,4,7,14,12,-4
27,2018-04-29,TEX,1,1,7,2,15,12,1
28,2018-04-30,MIN,0,1,7,5,16,12,2
29,2018-05-01,MIN,0,1,7,4,17,12,3
30,2018-05-02,MIN,0,0,0,4,17,13,-1
31,2018-05-03,CLE,0,1,13,11,18,13,1
32,2018-05-03,CLE,0,0,4,13,18,14,-1
33,2018-05-04,TBR,0,0,2,6,18,15,-2
34,2018-05-05,TBR,0,0,3,5,18,16,-3
35,2018-05-06,TBR,0,1,2,1,19,16,1
36,2018-05-08,SEA,1,0,0,5,19,17,-1
37,2018-05-09,SEA,1,1,5,2,20,17,1
38,2018-05-10,SEA,1,0,3,9,20,18,-1
39,2018-05-11,BOS,1,1,5,3,21,18,1
40,2018-05-12,BOS,1,0,2,5,21,19,-1
41,2018-05-13,BOS,1,0,3,5,21,20,-2
42,2018-05-15,NYM,0,0,2,12,21,21,-3
43,2018-05-16,NYM,0,1,12,1,22,21,1
44,2018-05-17,OAK,1,0,5,10,22,22,-1
45,2018-05-18,OAK,1,0,1,3,22,23,-2
46,2018-05-19,OAK,1,0,4,5,22,24,-3
47,2018-05-20,OAK,1,0,2,9,22,25,-4
48,2018-05-22,LAA,1,1,5,3,23,25,1
49,2018-05-23,LAA,1,0,4,5,23,26,-1
50,2018-05-24,LAA,1,0,1,8,23,27,-2
51,2018-05-25,PHI,0,1,6,5,24,27,1
52,2018-05-26,PHI,0,0,1,2,24,28,-1
53,2018-05-27,PHI,0,1,5,3,25,28,1
54,2018-05-28,BOS,0,0,3,8,25,29,-1
55,2018-05-29,BOS,0,0,3,8,25,30,-2
56,2018-05-30,BOS,0,0,4,6,25,31,-3
57,2018-06-01,DET,0,0,2,5,25,32,-4
58,2018-06-02,DET,0,0,4,7,25,33,-5
59,2018-06-03,DET,0,1,8,4,26,33,1
60,2018-06-05,NYY,1,0,2,7,26,34,-1
61,2018-06-06,NYY,1,0,0,3,26,35,-2
62,2018-06-07,BAL,1,1,5,4,27,35,1
63,2018-06-08,BAL,1,1,5,1,28,35,2
64,2018-06-09,BAL,1,1,4,3,29,35,3
65,2018-06-10,BAL,1,1,13,3,30,35,4
66,2018-06-11,TBR,0,0,4,8,30,36,-1
67,2018-06-12,TBR,0,0,1,4,30,37,-2
68,2018-06-13,TBR,0,0,0,1,30,38,-3
69,2018-06-15,WSN,1,1,6,5,31,38,1
70,2018-06-16,WSN,1,1,2,0,32,38,2
71,2018-06-17,WSN,1,1,8,6,33,38,3
72,2018-06-19,ATL,1,0,4,11,33,39,-1
73,2018-06-20,ATL,1,1,5,4,34,39,1
74,2018-06-21,LAA,0,0,5,8,34,40,-1
75,2018-06-22,LAA,0,0,1,2,34,41,-2
76,2018-06-23,LAA,0,1,4,1,35,41,1
77,2018-06-24,LAA,0,1,7,6,36,41,2
78,2018-06-25,HOU,0,1,6,3,37,41,3
79,2018-06-26,HOU,0,0,0,7,37,42,-1
80,2018-06-27,HOU,0,0,6,7,37,43,-2
81,2018-06-29,DET,1,1,3,2,38,43,1
82,2018-06-30,DET,1,1,4,3,39,43,2
83,2018-07-01,DET,1,0,1,9,39,44,-1
84,2018-07-02,DET,1,0,2,3,39,45,-2
85,2018-07-03,NYM,1,1,8,6,40,45,1
86,2018-07-04,NYM,1,0,3,6,40,46,-1
87,2018-07-06,NYY,1,1,6,2,41,46,1
88,2018-07-07,NYY,1,0,5,8,41,47,-1
89,2018-07-08,NYY,1,0,1,2,41,48,-2
90,2018-07-10,ATL,0,1,6,2,42,48,1
91,2018-07-11,ATL,0,0,5,9,42,49,-1
92,2018-07-12,BOS,0,0,4,6,42,50,-2
93,2018-07-13,BOS,0,1,13,7,43,50,1
94,2018-07-14,BOS,0,0,2,6,43,51,-1
95,2018-07-15,BOS,0,0,2,5,43,52,-2
96,2018-07-20,BAL,1,1,8,7,44,52,1
97,2018-07-21,BAL,1,1,4,1,45,52,2
98,2018-07-22,BAL,1,1,5,4,46,52,3
99,2018-07-23,MIN,1,0,3,8,46,53,-1
100,2018-07-24,MIN,1,0,0,5,46,54,-2
101,2018-07-25,MIN,1,0,6,12,46,55,-3
102,2018-07-27,CHW,0,1,10,5,47,55,1
103,2018-07-28,CHW,0,0,5,9,47,56,-1
104,2018-07-29,CHW,0,1,7,4,48,56,1
105,2018-07-30,OAK,0,0,1,10,48,57,-1
106,2018-07-31,OAK,0,0,2,6,48,58,-2
107,2018-08-01,OAK,0,0,3,8,48,59,-3
108,2018-08-02,SEA,0,1,7,3,49,59,1
109,2018-08-03,SEA,0,1,7,2,50,59,2
110,2018-08-04,SEA,0,1,5,1,51,59,3
111,2018-08-05,SEA,0,0,3,6,51,60,-1
112,2018-08-07,BOS,1,0,7,10,51,61,-2
113,2018-08-08,BOS,1,0,5,10,51,62,-3
114,2018-08-09,BOS,1,1,8,5,52,62,1
115,2018-08-10,TBR,1,0,0,7,52,63,-1
116,2018-08-11,TBR,1,0,1,3,52,64,-2
117,2018-08-12,TBR,1,1,2,1,53,64,1
118,2018-08-13,KCR,0,0,1,3,53,65,-1
119,2018-08-14,KCR,0,1,6,5,54,65,1
120,2018-08-15,KCR,0,1,6,5,55,65,2
121,2018-08-16,KCR,0,0,2,6,55,66,-1
122,2018-08-17,NYY,0,0,5,7,55,67,-2
123,2018-08-18,NYY,0,0,6,11,55,68,-3
124,2018-08-19,NYY,0,0,2,10,55,69,-4
125,2018-08-20,BAL,1,1,5,3,56,69,1
126,2018-08-21,BAL,1,1,8,2,57,69,2
127,2018-08-22,BAL,1,1,6,0,58,69,3
128,2018-08-24,PHI,1,1,4,2,59,69,4
129,2018-08-25,PHI,1,1,8,6,60,69,5
130,2018-08-26,PHI,1,0,3,8,60,70,-1
131,2018-08-27,BAL,0,0,0,7,60,71,-2
132,2018-08-28,BAL,0,0,5,12,60,72,-3
133,2018-08-29,BAL,0,0,5,10,60,73,-4
134,2018-08-31,MIA,0,1,6,5,61,73,1
135,2018-09-01,MIA,0,0,3,6,61,74,-1
136,2018-09-02,MIA,0,1,6,1,62,74,1
137,2018-09-03,TBR,1,0,1,7,62,75,-1
138,2018-09-04,TBR,1,0,0,4,62,76,-2
139,2018-09-05,TBR,1,1,10,3,63,76,1
140,2018-09-06,CLE,1,0,4,9,63,77,-1
141,2018-09-07,CLE,1,1,3,2,64,77,1
142,2018-09-08,CLE,1,0,8,9,64,78,-1
143,2018-09-09,CLE,1,1,6,2,65,78,1
144,2018-09-11,BOS,0,0,2,7,65,79,-1
145,2018-09-12,BOS,0,0,0,1,65,80,-2
146,2018-09-13,BOS,0,0,3,4,65,81,-3
147,2018-09-14,NYY,0,0,0,11,65,82,-4
148,2018-09-15,NYY,0,1,8,7,66,82,1
149,2018-09-16,NYY,0,1,3,2,67,82,2
150,2018-09-17,BAL,0,1,5,0,68,82,3
151,2018-09-18,BAL,0,1,6,4,69,82,4
152,2018-09-19,BAL,0,0,1,2,69,83,-1
153,2018-09-20,TBR,1,1,9,8,70,83,1
154,2018-09-21,TBR,1,0,3,11,70,84,-1
155,2018-09-22,TBR,1,1,5,2,71,84,1
156,2018-09-23,TBR,1,0,2,5,71,85,-1
157,2018-09-24,HOU,1,0,3,5,71,86,-2
158,2018-09-25,HOU,1,0,1,4,71,87,-3
159,2018-09-26,HOU,1,1,3,1,72,87,1
160,2018-09-28,TBR,0,1,7,6,73,87,2
161,2018-09-29,TBR,0,0,3,4,73,88,-1
162,2018-09-30,TBR,0,0,4,9,73,89,-2
