Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-30,CIN,0,1,2,0,1,0,1
2,2018-03-31,CIN,0,1,13,7,2,0,2
3,2018-04-01,CIN,0,1,6,5,3,0,3
4,2018-04-02,ATL,0,1,8,1,4,0,4
5,2018-04-03,ATL,0,0,6,13,4,1,-1
6,2018-04-04,ATL,0,0,1,7,4,2,-2
7,2018-04-05,NYM,1,0,2,8,4,3,-3
8,2018-04-07,NYM,1,0,2,3,4,4,-4
9,2018-04-08,NYM,1,0,5,6,4,5,-5
10,2018-04-09,ATL,1,1,2,0,5,5,1
11,2018-04-10,ATL,1,1,4,1,6,5,2
12,2018-04-11,ATL,1,0,3,5,6,6,-1
13,2018-04-12,COL,1,0,1,5,6,7,-2
14,2018-04-13,COL,1,0,1,2,6,8,-3
15,2018-04-14,COL,1,1,6,2,7,8,1
16,2018-04-15,COL,1,0,5,6,7,9,-1
17,2018-04-16,NYM,0,1,8,6,8,9,1
18,2018-04-17,NYM,0,1,5,2,9,9,2
19,2018-04-18,NYM,0,0,5,11,9,10,-1
20,2018-04-20,LAD,0,1,5,2,10,10,1
21,2018-04-21,LAD,0,0,0,4,10,11,-1
22,2018-04-22,LAD,0,0,3,4,10,12,-2
23,2018-04-23,SFG,0,0,2,4,10,13,-3
24,2018-04-24,SFG,0,0,3,4,10,14,-4
25,2018-04-25,SFG,0,1,15,2,11,14,1
26,2018-04-27,ARI,1,0,4,5,11,15,-1
27,2018-04-28,ARI,1,0,3,4,11,16,-2
28,2018-04-29,ARI,1,1,3,1,12,16,1
29,2018-04-30,PIT,1,1,3,2,13,16,2
30,2018-05-01,PIT,1,1,12,4,14,16,3
31,2018-05-02,PIT,1,1,9,3,15,16,4
32,2018-05-03,PIT,1,1,3,1,16,16,5
33,2018-05-04,PHI,1,1,7,3,17,16,6
34,2018-05-05,PHI,1,0,1,3,17,17,-1
35,2018-05-06,PHI,1,1,5,4,18,17,1
36,2018-05-07,SDP,0,1,8,5,19,17,2
37,2018-05-08,SDP,0,1,4,0,20,17,3
38,2018-05-09,SDP,0,0,1,2,20,18,-1
39,2018-05-10,ARI,0,1,2,1,21,18,1
40,2018-05-11,ARI,0,1,3,1,22,18,2
41,2018-05-12,ARI,0,1,2,1,23,18,3
42,2018-05-13,ARI,0,1,6,4,24,18,4
43,2018-05-15,NYY,1,1,5,3,25,18,5
44,2018-05-19,LAD,1,0,1,4,25,19,-1
45,2018-05-19,LAD,1,0,4,5,25,20,-2
46,2018-05-20,LAD,1,0,2,7,25,21,-3
47,2018-05-21,SDP,1,1,10,2,26,21,1
48,2018-05-22,SDP,1,1,2,1,27,21,2
49,2018-05-23,SDP,1,0,1,3,27,22,-1
50,2018-05-25,MIA,0,1,9,5,28,22,1
51,2018-05-26,MIA,0,1,4,1,29,22,2
52,2018-05-27,MIA,0,1,5,2,30,22,3
53,2018-05-28,BAL,0,1,6,0,31,22,4
54,2018-05-29,BAL,0,1,3,2,32,22,5
55,2018-05-30,BAL,0,1,2,0,33,22,6
56,2018-05-31,ATL,0,0,2,4,33,23,-1
57,2018-06-01,ATL,0,0,0,4,33,24,-2
58,2018-06-02,ATL,0,1,5,3,34,24,1
59,2018-06-03,ATL,0,0,2,4,34,25,-1
60,2018-06-05,TBR,1,1,4,2,35,25,1
61,2018-06-06,TBR,1,1,11,2,36,25,2
62,2018-06-08,SFG,1,0,5,9,36,26,-1
63,2018-06-09,SFG,1,1,7,5,37,26,1
64,2018-06-10,SFG,1,0,0,2,37,27,-1
65,2018-06-12,NYY,0,0,0,3,37,28,-2
66,2018-06-13,NYY,0,1,5,4,38,28,1
67,2018-06-15,TOR,0,0,5,6,38,29,-1
68,2018-06-16,TOR,0,0,0,2,38,30,-2
69,2018-06-17,TOR,0,0,6,8,38,31,-3
70,2018-06-18,NYY,1,0,2,4,38,32,-4
71,2018-06-19,BAL,1,1,9,7,39,32,1
72,2018-06-20,BAL,1,0,0,3,39,33,-1
73,2018-06-21,BAL,1,1,4,2,40,33,1
74,2018-06-22,PHI,1,0,2,12,40,34,-1
75,2018-06-23,PHI,1,0,3,5,40,35,-2
76,2018-06-24,PHI,1,1,8,6,41,35,1
77,2018-06-25,TBR,0,0,0,11,41,36,-1
78,2018-06-26,TBR,0,0,0,1,41,37,-2
79,2018-06-28,PHI,0,0,3,4,41,38,-3
80,2018-06-29,PHI,0,1,17,7,42,38,1
81,2018-06-30,PHI,0,0,2,3,42,39,-1
82,2018-07-01,PHI,0,0,3,4,42,40,-2
83,2018-07-02,BOS,1,0,3,4,42,41,-3
84,2018-07-03,BOS,1,0,4,11,42,42,-4
85,2018-07-04,BOS,1,0,0,3,42,43,-5
86,2018-07-05,MIA,1,1,14,12,43,43,1
87,2018-07-06,MIA,1,1,3,2,44,43,2
88,2018-07-07,MIA,1,1,18,4,45,43,3
89,2018-07-08,MIA,1,0,2,10,45,44,-1
90,2018-07-09,PIT,0,0,3,6,45,45,-2
91,2018-07-10,PIT,0,1,5,1,46,45,1
92,2018-07-11,PIT,0,0,0,2,46,46,-1
93,2018-07-12,NYM,0,1,5,4,47,46,1
94,2018-07-13,NYM,0,0,2,4,47,47,-1
95,2018-07-14,NYM,0,0,4,7,47,48,-2
96,2018-07-15,NYM,0,1,6,1,48,48,1
97,2018-07-20,ATL,1,0,5,8,48,49,-1
98,2018-07-22,ATL,1,1,6,2,49,49,1
99,2018-07-23,MIL,0,0,1,6,49,50,-1
100,2018-07-24,MIL,0,0,4,5,49,51,-2
101,2018-07-25,MIL,0,1,7,3,50,51,1
102,2018-07-26,MIA,0,1,10,3,51,51,2
103,2018-07-27,MIA,0,1,9,1,52,51,3
104,2018-07-28,MIA,0,0,1,2,52,52,-1
105,2018-07-29,MIA,0,0,0,5,52,53,-2
