id,name,state,dist,tmax,tmax_sflag,tmin,tmin_sflag,prcp,prcp_sflag,date
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.0,C,1.0,C,312.0,C,2018-03-01
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.5,C,-1.5,C,0.0,C,2018-03-02
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,4.0,C,-2.5,C,0.0,C,2018-03-03
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.0,C,-2.5,C,0.0,C,2018-03-04
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.5,C,-5.0,C,0.0,C,2018-03-05
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.0,C,-4.0,C,0.0,C,2018-03-06
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,-2.0,C,2.0,C,2018-03-07
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,0.5,C,-5.5,C,0.0,C,2018-03-08
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.5,C,-3.5,C,0.0,C,2018-03-09
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.5,C,-3.5,C,0.0,C,2018-03-10
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.5,C,-5.5,C,0.0,C,2018-03-11
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,0.5,C,-2.0,C,16.0,C,2018-03-12
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.0,C,-7.5,C,34.0,C,2018-03-13
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.5,C,-2.5,C,0.0,C,2018-03-14
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,4.0,C,-5.0,C,0.0,C,2018-03-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,0.5,C,-6.5,C,0.0,C,2018-03-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,7.0,C,-6.0,C,0.0,C,2018-03-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,11.0,C,-6.0,C,0.0,C,2018-03-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,-1.0,C,-3.5,C,0.0,C,2018-03-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,0.5,C,-5.5,C,0.0,C,2018-03-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.5,C,-2.0,C,0.0,C,2018-03-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,-3.5,C,0.0,C,2018-03-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,-4.5,C,0.0,C,2018-03-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.5,C,-3.5,C,0.0,C,2018-03-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.0,C,-4.5,C,0.0,C,2018-03-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,8.5,C,-2.5,C,0.0,C,2018-03-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,7.5,C,1.5,C,48.0,C,2018-03-27
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,6.5,C,3.0,C,2.0,C,2018-03-28
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,1.5,C,238.0,C,2018-03-29
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,6.5,C,2.5,C,0.0,C,2018-03-30
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,9.5,C,-2.0,C,51.0,C,2018-03-31
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,-2.5,C,0.0,C,2018-04-01
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,8.0,C,-3.0,C,0.0,C,2018-04-02
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,9.0,C,-0.5,C,259.0,C,2018-04-03
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.5,C,-1.5,C,20.0,C,2018-04-04
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.5,C,-5.5,C,2.0,C,2018-04-05
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,6.5,C,-2.5,C,34.0,C,2018-04-06
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.0,C,-5.5,C,0.0,C,2018-04-07
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.5,C,-4.0,C,0.0,C,2018-04-08
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.0,C,-4.0,C,0.0,C,2018-04-09
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,6.0,C,-4.0,C,6.0,C,2018-04-10
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,7.0,C,-1.0,C,0.0,C,2018-04-11
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.5,C,0.5,C,20.0,C,2018-04-12
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,2.5,C,18.0,C,2018-04-13
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.0,C,-3.0,C,278.0,C,2018-04-14
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,1.5,C,-2.5,C,440.0,C,2018-04-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,3.5,C,0.5,C,116.0,C,2018-04-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,2.5,C,-0.5,C,2.0,C,2018-04-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,5.0,C,0.5,C,0.0,C,2018-04-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,4.5,C,0.5,C,0.0,C,2018-04-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,8.0,C,-1.0,C,0.0,C,2018-04-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,14.0,C,-2.0,C,0.0,C,2018-04-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,15.0,C,-1.5,C,0.0,C,2018-04-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,13.0,C,2.5,C,0.0,C,2018-04-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.0,C,5.0,C,122.0,C,2018-04-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,11.0,C,6.0,C,76.0,C,2018-04-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,16.5,C,3.5,C,0.0,C,2018-04-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,13.5,C,3.0,C,24.0,C,2018-04-27
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,7.0,C,3.0,C,82.0,C,2018-04-28
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,11.5,C,0.5,C,0.0,C,2018-04-29
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,19.5,C,0.0,C,0.0,C,2018-04-30
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.0,C,7.5,C,0.0,C,2018-05-01
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,15.5,C,22.0,C,2018-05-02
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.5,C,13.5,C,152.0,C,2018-05-03
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.0,C,9.0,C,4.0,C,2018-05-04
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,25.5,C,8.5,C,0.0,C,2018-05-05
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,19.5,C,9.0,C,44.0,C,2018-05-06
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,16.5,C,7.5,C,0.0,C,2018-05-07
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,17.5,C,6.0,C,0.0,C,2018-05-08
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,22.0,C,8.0,C,70.0,C,2018-05-09
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.5,C,14.0,C,0.0,C,2018-05-10
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,12.0,C,4.0,C,10.0,C,2018-05-11
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,13.5,C,4.5,C,0.0,C,2018-05-12
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,15.0,C,7.0,C,0.0,C,2018-05-13
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,22.5,C,9.0,C,168.0,C,2018-05-14
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.0,C,14.0,C,6.0,C,2018-05-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,17.5,C,7.0,C,0.0,C,2018-05-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,10.0,C,0.0,C,2018-05-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,13.0,C,7.5,C,64.0,C,2018-05-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.0,C,7.5,C,30.0,C,2018-05-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,20.5,C,10.0,C,0.0,C,2018-05-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,20.0,C,7.5,C,94.0,C,2018-05-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.5,C,9.0,C,4.0,C,2018-05-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,11.5,C,0.0,C,2018-05-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.5,C,11.0,C,0.0,C,2018-05-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,14.5,C,0.0,C,2018-05-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,16.0,C,0.0,C,2018-05-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.5,C,13.5,C,0.0,C,2018-05-27
